procID,event_type,cs_clock,real_clock,human_date,anomaly
,START,0,1688293175,2023-07-02 10:19:35,False
61,ACCESS,1,1688293209,2023-07-02 10:20:09,False
61,LEAVE,2,1688293212,2023-07-02 10:20:12,False
6,ACCESS,3,1688293215,2023-07-02 10:20:15,False
6,LEAVE,4,1688293218,2023-07-02 10:20:18,False
7,ACCESS,5,1688293231,2023-07-02 10:20:31,False
7,LEAVE,6,1688293234,2023-07-02 10:20:34,False
37,ACCESS,7,1688293245,2023-07-02 10:20:45,False
37,LEAVE,8,1688293248,2023-07-02 10:20:48,False
49,ACCESS,9,1688293251,2023-07-02 10:20:51,False
49,LEAVE,10,1688293254,2023-07-02 10:20:54,False
51,ACCESS,11,1688293258,2023-07-02 10:20:58,False
51,LEAVE,12,1688293261,2023-07-02 10:21:01,False
99,ACCESS,13,1688293269,2023-07-02 10:21:09,False
99,LEAVE,14,1688293272,2023-07-02 10:21:12,False
46,ACCESS,15,1688293275,2023-07-02 10:21:15,False
46,LEAVE,16,1688293278,2023-07-02 10:21:18,False
54,ACCESS,17,1688293281,2023-07-02 10:21:21,False
54,LEAVE,18,1688293284,2023-07-02 10:21:24,False
65,ACCESS,19,1688293287,2023-07-02 10:21:27,False
65,LEAVE,20,1688293290,2023-07-02 10:21:30,False
87,ACCESS,21,1688293292,2023-07-02 10:21:32,False
87,LEAVE,22,1688293295,2023-07-02 10:21:35,False
77,ACCESS,23,1688293307,2023-07-02 10:21:47,False
77,LEAVE,24,1688293310,2023-07-02 10:21:50,False
10,ACCESS,25,1688293313,2023-07-02 10:21:53,False
10,LEAVE,26,1688293316,2023-07-02 10:21:56,False
35,ACCESS,27,1688293319,2023-07-02 10:21:59,False
35,LEAVE,28,1688293322,2023-07-02 10:22:02,False
17,ACCESS,29,1688293325,2023-07-02 10:22:05,False
17,LEAVE,30,1688293328,2023-07-02 10:22:08,False
50,ACCESS,31,1688293331,2023-07-02 10:22:11,False
50,LEAVE,32,1688293334,2023-07-02 10:22:14,False
45,ACCESS,33,1688293346,2023-07-02 10:22:26,False
45,LEAVE,34,1688293349,2023-07-02 10:22:29,False
72,ACCESS,35,1688293352,2023-07-02 10:22:32,False
72,LEAVE,36,1688293355,2023-07-02 10:22:35,False
76,ACCESS,37,1688293366,2023-07-02 10:22:46,False
76,LEAVE,38,1688293369,2023-07-02 10:22:49,False
31,ACCESS,39,1688293373,2023-07-02 10:22:53,False
31,LEAVE,40,1688293376,2023-07-02 10:22:56,False
58,ACCESS,41,1688293379,2023-07-02 10:22:59,False
58,LEAVE,42,1688293382,2023-07-02 10:23:02,False
88,ACCESS,43,1688293393,2023-07-02 10:23:13,False
88,LEAVE,44,1688293396,2023-07-02 10:23:16,False
11,ACCESS,45,1688293398,2023-07-02 10:23:18,False
11,LEAVE,46,1688293401,2023-07-02 10:23:21,False
27,ACCESS,47,1688293404,2023-07-02 10:23:24,False
27,LEAVE,48,1688293407,2023-07-02 10:23:27,False
55,ACCESS,49,1688293411,2023-07-02 10:23:31,False
55,LEAVE,50,1688293414,2023-07-02 10:23:34,False
95,ACCESS,51,1688293426,2023-07-02 10:23:46,False
95,LEAVE,52,1688293429,2023-07-02 10:23:49,False
34,ACCESS,53,1688293432,2023-07-02 10:23:52,False
34,LEAVE,54,1688293435,2023-07-02 10:23:55,False
12,ACCESS,55,1688293437,2023-07-02 10:23:57,False
12,LEAVE,56,1688293440,2023-07-02 10:24:00,False
60,ACCESS,57,1688293443,2023-07-02 10:24:03,False
60,LEAVE,58,1688293446,2023-07-02 10:24:06,False
75,ACCESS,59,1688293449,2023-07-02 10:24:09,False
75,LEAVE,60,1688293452,2023-07-02 10:24:12,False
69,ACCESS,61,1688293456,2023-07-02 10:24:16,False
69,LEAVE,62,1688293459,2023-07-02 10:24:19,False
52,ACCESS,63,1688293463,2023-07-02 10:24:23,False
52,LEAVE,64,1688293466,2023-07-02 10:24:26,False
4,ACCESS,65,1688293469,2023-07-02 10:24:29,False
4,LEAVE,66,1688293472,2023-07-02 10:24:32,False
