procID,event_type,cs_clock,real_clock,human_date,anomaly
,START,0,1688294794,2023-07-02 10:46:34,False
31,ACCESS,1,1688294911,2023-07-02 10:48:31,False
31,LEAVE,2,1688294914,2023-07-02 10:48:34,False
38,ACCESS,3,1688294972,2023-07-02 10:49:32,False
38,LEAVE,4,1688294975,2023-07-02 10:49:35,False
54,ACCESS,5,1688294990,2023-07-02 10:49:50,False
54,LEAVE,6,1688294993,2023-07-02 10:49:53,False
76,ACCESS,7,1688294995,2023-07-02 10:49:55,False
76,LEAVE,8,1688294998,2023-07-02 10:49:58,False
92,ACCESS,9,1688295000,2023-07-02 10:50:00,False
92,LEAVE,10,1688295003,2023-07-02 10:50:03,False
7,ACCESS,11,1688295005,2023-07-02 10:50:05,False
7,LEAVE,12,1688295008,2023-07-02 10:50:08,False
16,ACCESS,13,1688295009,2023-07-02 10:50:09,False
16,LEAVE,14,1688295012,2023-07-02 10:50:12,False
37,ACCESS,15,1688295014,2023-07-02 10:50:14,False
37,LEAVE,16,1688295017,2023-07-02 10:50:17,False
42,ACCESS,17,1688295018,2023-07-02 10:50:18,False
42,LEAVE,18,1688295021,2023-07-02 10:50:21,False
57,ACCESS,19,1688295023,2023-07-02 10:50:23,False
57,LEAVE,20,1688295026,2023-07-02 10:50:26,False
70,ACCESS,21,1688295027,2023-07-02 10:50:27,False
70,LEAVE,22,1688295030,2023-07-02 10:50:30,False
78,ACCESS,23,1688295032,2023-07-02 10:50:32,False
78,LEAVE,24,1688295035,2023-07-02 10:50:35,False
93,ACCESS,25,1688295036,2023-07-02 10:50:36,False
93,LEAVE,26,1688295039,2023-07-02 10:50:39,False
97,ACCESS,27,1688295041,2023-07-02 10:50:41,False
97,LEAVE,28,1688295044,2023-07-02 10:50:44,False
3,ACCESS,29,1688295046,2023-07-02 10:50:46,False
3,LEAVE,30,1688295049,2023-07-02 10:50:49,False
20,ACCESS,31,1688295051,2023-07-02 10:50:51,False
20,LEAVE,32,1688295054,2023-07-02 10:50:54,False
44,ACCESS,33,1688295056,2023-07-02 10:50:56,False
