procID,event_type,logical_clock,real_clock,msg,msg_receiver,msg_ts
0,START,0,1688415990,,,
25,MSG,1,1688415990,REQUEST,5,0
25,MSG,2,1688415990,REQUEST,15,0
25,MSG,3,1688415990,REQUEST,21,0
25,MSG,4,1688415990,REQUEST,22,0
25,MSG,5,1688415990,REQUEST,23,0
25,MSG,6,1688415990,REQUEST,24,0
25,MSG,7,1688415990,REQUEST,25,0
25,MSG,8,1688415990,REQUEST,26,0
25,MSG,9,1688415990,REQUEST,27,0
25,MSG,10,1688415990,REQUEST,28,0
25,MSG,11,1688415990,REQUEST,29,0
25,MSG,12,1688415990,REQUEST,30,0
25,MSG,13,1688415990,REQUEST,35,0
25,MSG,14,1688415990,REQUEST,45,0
25,MSG,15,1688415990,REQUEST,55,0
25,MSG,16,1688415990,REQUEST,65,0
25,MSG,17,1688415990,REQUEST,75,0
25,MSG,18,1688415990,REQUEST,85,0
25,MSG,19,1688415990,REQUEST,95,0
25,CS_REQUESTED,20,1688415990,,,
22,MSG,21,1688415990,ACK,25,0
95,MSG,22,1688415990,ACK,25,0
5,MSG,23,1688415991,ACK,25,0
85,MSG,24,1688415991,ACK,25,0
24,MSG,25,1688415991,ACK,25,0
45,MSG,26,1688415991,ACK,25,0
78,MSG,27,1688415991,REQUEST,8,0
78,MSG,28,1688415991,REQUEST,18,0
78,MSG,29,1688415991,REQUEST,28,0
78,MSG,30,1688415991,REQUEST,38,0
78,MSG,31,1688415991,REQUEST,48,0
78,MSG,32,1688415991,REQUEST,58,0
78,MSG,33,1688415991,REQUEST,68,0
78,MSG,34,1688415991,REQUEST,71,0
78,MSG,35,1688415991,REQUEST,72,0
78,MSG,36,1688415991,REQUEST,73,0
78,MSG,37,1688415991,REQUEST,74,0
78,MSG,38,1688415991,REQUEST,75,0
78,MSG,39,1688415991,REQUEST,76,0
78,MSG,40,1688415991,REQUEST,77,0
78,MSG,41,1688415991,REQUEST,78,0
78,MSG,42,1688415991,REQUEST,79,0
78,MSG,43,1688415991,REQUEST,80,0
78,MSG,44,1688415991,REQUEST,88,0
78,MSG,45,1688415991,REQUEST,98,0
78,CS_REQUESTED,46,1688415991,,,
58,MSG,47,1688415991,ACK,78,0
35,MSG,48,1688415991,ACK,25,0
21,MSG,49,1688415991,ACK,25,0
65,MSG,50,1688415991,ACK,25,0
23,MSG,51,1688415991,ACK,25,0
30,MSG,52,1688415991,ACK,25,0
73,MSG,53,1688415991,ACK,78,0
28,MSG,54,1688415991,ACK,25,0
75,MSG,55,1688415991,ACK,25,0
89,MSG,56,1688415991,REQUEST,9,0
89,MSG,57,1688415991,REQUEST,19,0
89,MSG,58,1688415991,REQUEST,29,0
89,MSG,59,1688415991,REQUEST,39,0
89,MSG,60,1688415991,REQUEST,49,0
89,MSG,61,1688415991,REQUEST,59,0
89,MSG,62,1688415991,REQUEST,69,0
89,MSG,63,1688415991,REQUEST,79,0
89,MSG,64,1688415991,REQUEST,81,0
89,MSG,65,1688415991,REQUEST,82,0
89,MSG,66,1688415991,REQUEST,83,0
89,MSG,67,1688415991,REQUEST,84,0
89,MSG,68,1688415991,REQUEST,85,0
89,MSG,69,1688415991,REQUEST,86,0
89,MSG,70,1688415991,REQUEST,87,0
89,MSG,71,1688415991,REQUEST,88,0
89,MSG,72,1688415991,REQUEST,89,0
89,MSG,73,1688415991,REQUEST,90,0
89,MSG,74,1688415991,REQUEST,99,0
89,CS_REQUESTED,75,1688415991,,,
99,MSG,76,1688415991,ACK,89,0
26,MSG,77,1688415991,ACK,25,0
98,MSG,78,1688415991,ACK,78,0
69,MSG,79,1688415991,ACK,89,0
82,MSG,80,1688415991,ACK,89,0
80,MSG,81,1688415991,ACK,78,0
27,MSG,82,1688415991,ACK,25,0
8,MSG,83,1688415991,ACK,78,0
87,MSG,84,1688415991,ACK,89,0
15,MSG,85,1688415991,ACK,25,0
25,MSG,86,1688415991,ACK,25,0
29,MSG,87,1688415991,ACK,25,0
39,MSG,88,1688415991,ACK,89,0
77,MSG,89,1688415991,ACK,78,0
76,MSG,90,1688415991,ACK,78,0
9,MSG,91,1688415991,ACK,89,0
55,MSG,92,1688415991,REQUEST,5,0
55,MSG,93,1688415991,REQUEST,15,0
55,MSG,94,1688415991,REQUEST,25,0
68,MSG,95,1688415991,ACK,78,0
55,MSG,96,1688415991,REQUEST,35,0
55,MSG,97,1688415991,REQUEST,45,0
55,MSG,98,1688415991,REQUEST,51,0
55,MSG,99,1688415991,REQUEST,52,0
55,MSG,100,1688415991,REQUEST,53,0
55,MSG,101,1688415991,REQUEST,54,0
55,MSG,102,1688415991,REQUEST,55,0
55,MSG,103,1688415991,REQUEST,56,0
55,MSG,104,1688415991,REQUEST,57,0
55,MSG,105,1688415991,REQUEST,58,0
55,MSG,106,1688415991,REQUEST,59,0
55,MSG,107,1688415991,REQUEST,60,0
55,MSG,108,1688415991,REQUEST,65,0
55,MSG,109,1688415991,REQUEST,75,0
55,MSG,110,1688415991,REQUEST,85,0
55,MSG,111,1688415991,REQUEST,95,0
55,CS_REQUESTED,112,1688415991,,,
55,MSG,113,1688415991,ACK,25,0
71,MSG,114,1688415991,ACK,78,0
79,MSG,115,1688415991,ACK,78,0
48,MSG,116,1688415991,ACK,78,0
57,MSG,117,1688415991,ACK,55,0
72,MSG,118,1688415991,ACK,78,0
54,MSG,119,1688415991,ACK,55,0
86,MSG,120,1688415991,ACK,89,0
38,MSG,121,1688415991,ACK,78,0
56,MSG,122,1688415992,ACK,55,0
19,MSG,123,1688415992,ACK,89,0
60,MSG,124,1688415992,ACK,55,0
53,MSG,125,1688415992,ACK,55,0
83,MSG,126,1688415992,ACK,89,0
51,MSG,127,1688415992,ACK,55,0
18,MSG,128,1688415992,ACK,78,0
74,MSG,129,1688415992,ACK,78,0
59,MSG,130,1688415992,ACK,89,0
88,MSG,131,1688415992,ACK,78,0
78,MSG,132,1688415992,ACK,78,0
49,MSG,133,1688415992,ACK,89,0
90,MSG,134,1688415992,ACK,89,0
81,MSG,135,1688415992,ACK,89,0
84,MSG,136,1688415992,ACK,89,0
89,MSG,137,1688415992,ACK,89,0
52,MSG,138,1688415992,ACK,55,0
3,MSG,139,1688415993,REQUEST,1,0
3,MSG,140,1688415993,REQUEST,2,0
3,MSG,141,1688415993,REQUEST,3,0
3,MSG,142,1688415993,REQUEST,4,0
3,MSG,143,1688415993,REQUEST,5,0
3,MSG,144,1688415993,REQUEST,6,0
3,MSG,145,1688415993,REQUEST,7,0
3,MSG,146,1688415993,REQUEST,8,0
3,MSG,147,1688415993,REQUEST,9,0
