procID,event_type,logical_clock,real_clock,msg,msg_receiver,msg_ts
0,START,0,1688423307,,,
5,MSG,1,1688423307,REQUEST,1,0
5,MSG,2,1688423307,REQUEST,5,0
5,MSG,3,1688423307,REQUEST,6,0
5,MSG,4,1688423307,REQUEST,7,0
5,MSG,5,1688423307,REQUEST,8,0
5,MSG,6,1688423307,REQUEST,9,0
5,MSG,7,1688423307,REQUEST,13,0
5,CS_REQUESTED,8,1688423307,,,
6,MSG,9,1688423307,ACK,5,0
2,MSG,10,1688423307,REQUEST,1,0
2,MSG,11,1688423307,REQUEST,2,0
2,MSG,12,1688423307,REQUEST,3,0
2,MSG,13,1688423307,REQUEST,4,0
2,MSG,14,1688423307,REQUEST,6,0
2,MSG,15,1688423307,REQUEST,10,0
2,MSG,16,1688423307,REQUEST,14,0
2,CS_REQUESTED,17,1688423307,,,
9,MSG,18,1688423307,ACK,5,0
8,MSG,19,1688423307,ACK,5,0
7,MSG,20,1688423307,ACK,5,0
1,MSG,21,1688423307,ACK,5,0
5,MSG,22,1688423308,ACK,5,0
13,MSG,23,1688423308,ACK,5,0
10,MSG,24,1688423308,ACK,2,0
3,MSG,25,1688423308,ACK,2,0
14,MSG,26,1688423308,ACK,2,0
4,MSG,27,1688423308,ACK,2,0
2,MSG,28,1688423308,ACK,2,0
10,MSG,29,1688423309,REQUEST,2,0
10,MSG,30,1688423309,REQUEST,6,0
10,MSG,31,1688423309,REQUEST,9,0
10,MSG,32,1688423309,REQUEST,10,0
10,MSG,33,1688423309,REQUEST,11,0
10,MSG,34,1688423309,REQUEST,12,0
10,MSG,35,1688423309,REQUEST,14,0
10,CS_REQUESTED,36,1688423309,,,
12,MSG,37,1688423309,ACK,10,0
11,MSG,38,1688423310,ACK,10,0
14,MSG,39,1688423314,REQUEST,2,0
14,MSG,40,1688423314,REQUEST,6,0
14,MSG,41,1688423314,REQUEST,10,0
14,MSG,42,1688423314,REQUEST,13,0
14,MSG,43,1688423314,REQUEST,14,0
14,MSG,44,1688423314,REQUEST,15,0
14,MSG,45,1688423314,REQUEST,16,0
14,CS_REQUESTED,46,1688423314,,,
16,MSG,47,1688423314,ACK,14,0
15,MSG,48,1688423314,ACK,14,0
5,CS_ACCESS,49,1688423316,,,
5,MSG,50,1688423318,RELEASE,1,0
5,MSG,51,1688423318,RELEASE,5,0
5,MSG,52,1688423318,RELEASE,6,0
5,MSG,53,1688423318,RELEASE,7,0
5,MSG,54,1688423318,RELEASE,8,0
5,MSG,55,1688423318,RELEASE,9,0
5,MSG,56,1688423318,RELEASE,13,0
5,CS_LEAVE,57,1688423318,,,
13,MSG,58,1688423318,ACK,14,0
6,MSG,59,1688423318,ACK,2,0
9,MSG,60,1688423318,ACK,10,0
1,MSG,61,1688423319,ACK,2,0
2,CS_ACCESS,62,1688423320,,,
2,MSG,63,1688423322,RELEASE,1,0
2,MSG,64,1688423322,RELEASE,2,0
2,MSG,65,1688423322,RELEASE,3,0
2,MSG,66,1688423322,RELEASE,4,0
2,MSG,67,1688423322,RELEASE,6,0
2,MSG,68,1688423322,RELEASE,10,0
2,MSG,69,1688423322,RELEASE,14,0
2,CS_LEAVE,70,1688423322,,,
10,MSG,71,1688423323,ACK,10,0
14,MSG,72,1688423323,ACK,10,0
6,MSG,73,1688423323,ACK,10,0
2,MSG,74,1688423323,ACK,10,0
10,CS_ACCESS,75,1688423328,,,
2,MSG,76,1688423328,REQUEST,1,0
2,MSG,77,1688423328,REQUEST,2,0
2,MSG,78,1688423328,REQUEST,3,0
2,MSG,79,1688423328,REQUEST,4,0
2,MSG,80,1688423328,REQUEST,6,0
2,MSG,81,1688423328,REQUEST,10,0
2,MSG,82,1688423328,REQUEST,14,0
2,CS_REQUESTED,83,1688423328,,,
7,MSG,84,1688423328,REQUEST,3,0
7,MSG,85,1688423328,REQUEST,5,0
7,MSG,86,1688423328,REQUEST,6,0
7,MSG,87,1688423328,REQUEST,7,0
7,MSG,88,1688423328,REQUEST,8,0
7,MSG,89,1688423328,REQUEST,11,0
7,MSG,90,1688423328,REQUEST,15,0
7,CS_REQUESTED,91,1688423328,,,
1,MSG,92,1688423329,ACK,2,0
5,MSG,93,1688423329,ACK,7,0
3,MSG,94,1688423329,ACK,2,0
4,MSG,95,1688423329,ACK,2,0
8,MSG,96,1688423329,ACK,7,0
7,MSG,97,1688423329,ACK,7,0
10,MSG,98,1688423330,RELEASE,2,0
10,MSG,99,1688423330,RELEASE,6,0
10,MSG,100,1688423330,RELEASE,9,0
10,MSG,101,1688423330,RELEASE,10,0
10,MSG,102,1688423330,RELEASE,11,0
10,MSG,103,1688423330,RELEASE,12,0
10,MSG,104,1688423330,RELEASE,14,0
10,CS_LEAVE,105,1688423330,,,
14,MSG,106,1688423330,ACK,14,0
11,MSG,107,1688423331,ACK,7,0
10,MSG,108,1688423331,ACK,14,0
6,MSG,109,1688423331,ACK,14,0
2,MSG,110,1688423333,ACK,14,0
14,CS_ACCESS,111,1688423335,,,
14,MSG,112,1688423337,RELEASE,2,0
14,MSG,113,1688423337,RELEASE,6,0
14,MSG,114,1688423337,RELEASE,10,0
14,MSG,115,1688423337,RELEASE,13,0
14,MSG,116,1688423337,RELEASE,14,0
14,MSG,117,1688423337,RELEASE,15,0
14,MSG,118,1688423337,RELEASE,16,0
14,CS_LEAVE,119,1688423337,,,
6,MSG,120,1688423337,ACK,2,0
2,MSG,121,1688423337,ACK,2,0
15,MSG,122,1688423337,ACK,7,0
5,MSG,123,1688423338,REQUEST,1,0
5,MSG,124,1688423338,REQUEST,5,0
5,MSG,125,1688423338,REQUEST,6,0
5,MSG,126,1688423338,REQUEST,7,0
5,MSG,127,1688423338,REQUEST,8,0
5,MSG,128,1688423338,REQUEST,9,0
5,MSG,129,1688423338,REQUEST,13,0
5,CS_REQUESTED,130,1688423338,,,
10,MSG,131,1688423338,ACK,2,0
14,MSG,132,1688423338,ACK,2,0
9,MSG,133,1688423338,ACK,5,0
13,MSG,134,1688423339,ACK,5,0
2,CS_ACCESS,135,1688423342,,,
2,MSG,136,1688423344,RELEASE,1,0
2,MSG,137,1688423344,RELEASE,2,0
2,MSG,138,1688423344,RELEASE,3,0
2,MSG,139,1688423344,RELEASE,4,0
2,MSG,140,1688423344,RELEASE,6,0
2,MSG,141,1688423344,RELEASE,10,0
2,MSG,142,1688423344,RELEASE,14,0
2,CS_LEAVE,143,1688423344,,,
1,MSG,144,1688423345,ACK,5,0
3,MSG,145,1688423345,ACK,7,0
6,MSG,146,1688423345,ACK,7,0
7,CS_ACCESS,147,1688423347,,,
7,MSG,148,1688423349,RELEASE,3,0
7,MSG,149,1688423349,RELEASE,5,0
7,MSG,150,1688423349,RELEASE,6,0
7,MSG,151,1688423349,RELEASE,7,0
7,MSG,152,1688423349,RELEASE,8,0
7,MSG,153,1688423349,RELEASE,11,0
7,MSG,154,1688423349,RELEASE,15,0
7,CS_LEAVE,155,1688423349,,,
5,MSG,156,1688423350,ACK,5,0
6,MSG,157,1688423350,ACK,5,0
8,MSG,158,1688423350,ACK,5,0
7,MSG,159,1688423350,ACK,5,0
6,MSG,160,1688423354,REQUEST,2,0
6,MSG,161,1688423354,REQUEST,5,0
6,MSG,162,1688423354,REQUEST,6,0
6,MSG,163,1688423354,REQUEST,7,0
6,MSG,164,1688423354,REQUEST,8,0
6,MSG,165,1688423354,REQUEST,10,0
6,MSG,166,1688423354,REQUEST,14,0
6,CS_REQUESTED,167,1688423354,,,
2,MSG,168,1688423354,ACK,6,0
