procID,event_type,logical_clock,real_clock,msg,msg_receiver,msg_ts
0,START,0,1688421716,,,
6,MSG,1,1688421716,REQUEST,1,0
6,MSG,2,1688421716,REQUEST,2,0
6,MSG,3,1688421716,REQUEST,3,0
6,MSG,4,1688421716,REQUEST,4,0
6,MSG,5,1688421716,REQUEST,5,0
6,MSG,6,1688421716,REQUEST,6,0
6,MSG,7,1688421716,REQUEST,12,0
6,MSG,8,1688421716,REQUEST,18,0
6,MSG,9,1688421716,REQUEST,24,0
6,MSG,10,1688421716,REQUEST,30,0
6,MSG,11,1688421716,REQUEST,36,0
6,CS_REQUESTED,12,1688421716,,,
6,MSG,13,1688421716,ACK,6,0
36,MSG,14,1688421716,ACK,6,0
1,MSG,15,1688421716,ACK,6,0
5,MSG,16,1688421716,ACK,6,0
4,MSG,17,1688421716,ACK,6,0
12,MSG,18,1688421716,ACK,6,0
3,MSG,19,1688421716,ACK,6,0
30,MSG,20,1688421717,ACK,6,0
24,MSG,21,1688421717,ACK,6,0
18,MSG,22,1688421717,ACK,6,0
2,MSG,23,1688421717,ACK,6,0
35,MSG,24,1688421720,REQUEST,5,0
35,MSG,25,1688421720,REQUEST,11,0
35,MSG,26,1688421720,REQUEST,17,0
35,MSG,27,1688421720,REQUEST,23,0
35,MSG,28,1688421720,REQUEST,29,0
35,MSG,29,1688421720,REQUEST,31,0
35,MSG,30,1688421720,REQUEST,32,0
35,MSG,31,1688421720,REQUEST,33,0
35,MSG,32,1688421720,REQUEST,34,0
35,MSG,33,1688421720,REQUEST,35,0
35,MSG,34,1688421720,REQUEST,36,0
35,CS_REQUESTED,35,1688421720,,,
32,MSG,36,1688421721,ACK,35,0
31,MSG,37,1688421721,ACK,35,0
11,MSG,38,1688421721,ACK,35,0
29,MSG,39,1688421721,ACK,35,0
33,MSG,40,1688421721,ACK,35,0
34,MSG,41,1688421721,ACK,35,0
23,MSG,42,1688421721,ACK,35,0
17,MSG,43,1688421721,ACK,35,0
35,MSG,44,1688421721,ACK,35,0
27,MSG,45,1688421722,REQUEST,3,0
27,MSG,46,1688421722,REQUEST,9,0
27,MSG,47,1688421722,REQUEST,15,0
27,MSG,48,1688421722,REQUEST,21,0
27,MSG,49,1688421722,REQUEST,25,0
27,MSG,50,1688421722,REQUEST,26,0
27,MSG,51,1688421722,REQUEST,27,0
27,MSG,52,1688421722,REQUEST,28,0
27,MSG,53,1688421722,REQUEST,29,0
27,MSG,54,1688421722,REQUEST,30,0
27,MSG,55,1688421722,REQUEST,33,0
27,CS_REQUESTED,56,1688421722,,,
21,MSG,57,1688421722,ACK,27,0
15,MSG,58,1688421722,ACK,27,0
9,MSG,59,1688421723,ACK,27,0
25,MSG,60,1688421723,ACK,27,0
26,MSG,61,1688421723,ACK,27,0
28,MSG,62,1688421723,ACK,27,0
27,MSG,63,1688421723,ACK,27,0
32,MSG,64,1688421728,REQUEST,2,0
32,MSG,65,1688421728,REQUEST,8,0
32,MSG,66,1688421728,REQUEST,14,0
32,MSG,67,1688421728,REQUEST,20,0
32,MSG,68,1688421728,REQUEST,26,0
32,MSG,69,1688421728,REQUEST,31,0
32,MSG,70,1688421728,REQUEST,32,0
32,MSG,71,1688421728,REQUEST,33,0
32,MSG,72,1688421728,REQUEST,34,0
32,MSG,73,1688421728,REQUEST,35,0
32,MSG,74,1688421728,REQUEST,36,0
