procID,event_type,logical_clock,real_clock,msg,msg_receiver,msg_ts
0,START,0,1688418622,,,
40,MSG,1,1688418622,REQUEST,4,0
40,MSG,2,1688418622,REQUEST,13,0
40,MSG,3,1688418622,REQUEST,22,0
40,MSG,4,1688418622,REQUEST,31,0
40,MSG,5,1688418622,REQUEST,37,0
40,MSG,6,1688418622,REQUEST,38,0
40,MSG,7,1688418622,REQUEST,39,0
40,MSG,8,1688418622,REQUEST,40,0
40,MSG,9,1688418622,REQUEST,41,0
40,MSG,10,1688418622,REQUEST,42,0
40,MSG,11,1688418622,REQUEST,43,0
40,MSG,12,1688418622,REQUEST,44,0
40,MSG,13,1688418622,REQUEST,45,0
40,MSG,14,1688418622,REQUEST,49,0
40,MSG,15,1688418622,REQUEST,58,0
40,MSG,16,1688418622,REQUEST,67,0
40,MSG,17,1688418622,REQUEST,76,0
40,CS_REQUESTED,18,1688418622,,,
45,MSG,19,1688418622,ACK,40,0
76,MSG,20,1688418622,ACK,40,0
38,MSG,21,1688418622,ACK,40,0
37,MSG,22,1688418622,ACK,40,0
39,MSG,23,1688418622,ACK,40,0
41,MSG,24,1688418622,ACK,40,0
43,MSG,25,1688418622,ACK,40,0
31,MSG,26,1688418622,ACK,40,0
42,MSG,27,1688418622,ACK,40,0
58,MSG,28,1688418623,ACK,40,0
13,MSG,29,1688418623,ACK,40,0
40,MSG,30,1688418623,ACK,40,0
67,MSG,31,1688418623,ACK,40,0
44,MSG,32,1688418623,ACK,40,0
49,MSG,33,1688418623,ACK,40,0
22,MSG,34,1688418623,ACK,40,0
4,MSG,35,1688418623,ACK,40,0
37,MSG,36,1688418624,REQUEST,1,0
37,MSG,37,1688418624,REQUEST,10,0
37,MSG,38,1688418624,REQUEST,19,0
37,MSG,39,1688418624,REQUEST,28,0
37,MSG,40,1688418624,REQUEST,37,0
37,MSG,41,1688418624,REQUEST,38,0
37,MSG,42,1688418624,REQUEST,39,0
37,MSG,43,1688418624,REQUEST,40,0
37,MSG,44,1688418624,REQUEST,41,0
37,MSG,45,1688418624,REQUEST,42,0
37,MSG,46,1688418624,REQUEST,43,0
37,MSG,47,1688418624,REQUEST,44,0
37,MSG,48,1688418624,REQUEST,45,0
37,MSG,49,1688418624,REQUEST,46,0
37,MSG,50,1688418624,REQUEST,55,0
37,MSG,51,1688418624,REQUEST,64,0
37,MSG,52,1688418624,REQUEST,73,0
37,CS_REQUESTED,53,1688418624,,,
73,MSG,54,1688418624,ACK,37,0
63,MSG,55,1688418625,REQUEST,9,0
55,MSG,56,1688418625,ACK,37,0
63,MSG,57,1688418625,REQUEST,18,0
63,MSG,58,1688418625,REQUEST,27,0
63,MSG,59,1688418625,REQUEST,36,0
63,MSG,60,1688418625,REQUEST,45,0
63,MSG,61,1688418625,REQUEST,54,0
63,MSG,62,1688418625,REQUEST,55,0
63,MSG,63,1688418625,REQUEST,56,0
63,MSG,64,1688418625,REQUEST,57,0
63,MSG,65,1688418625,REQUEST,58,0
63,MSG,66,1688418625,REQUEST,59,0
63,MSG,67,1688418625,REQUEST,60,0
63,MSG,68,1688418625,REQUEST,61,0
63,MSG,69,1688418625,REQUEST,62,0
63,MSG,70,1688418625,REQUEST,63,0
63,MSG,71,1688418625,REQUEST,72,0
63,MSG,72,1688418625,REQUEST,81,0
63,CS_REQUESTED,73,1688418625,,,
28,MSG,74,1688418625,ACK,37,0
57,MSG,75,1688418625,ACK,63,0
72,MSG,76,1688418625,ACK,63,0
56,MSG,77,1688418625,ACK,63,0
19,MSG,78,1688418625,ACK,37,0
10,MSG,79,1688418625,ACK,37,0
64,MSG,80,1688418625,ACK,37,0
61,MSG,81,1688418625,ACK,63,0
60,MSG,82,1688418625,ACK,63,0
1,MSG,83,1688418625,ACK,37,0
9,MSG,84,1688418625,ACK,63,0
46,MSG,85,1688418625,ACK,37,0
62,MSG,86,1688418625,ACK,63,0
59,MSG,87,1688418625,ACK,63,0
18,MSG,88,1688418625,ACK,63,0
81,MSG,89,1688418625,ACK,63,0
54,MSG,90,1688418625,ACK,63,0
36,MSG,91,1688418625,ACK,63,0
27,MSG,92,1688418626,ACK,63,0
63,MSG,93,1688418626,ACK,63,0
41,MSG,94,1688418628,REQUEST,5,0
41,MSG,95,1688418628,REQUEST,14,0
41,MSG,96,1688418628,REQUEST,23,0
41,MSG,97,1688418628,REQUEST,32,0
41,MSG,98,1688418628,REQUEST,37,0
41,MSG,99,1688418628,REQUEST,38,0
41,MSG,100,1688418628,REQUEST,39,0
41,MSG,101,1688418628,REQUEST,40,0
41,MSG,102,1688418628,REQUEST,41,0
41,MSG,103,1688418628,REQUEST,42,0
41,MSG,104,1688418628,REQUEST,43,0
41,MSG,105,1688418628,REQUEST,44,0
41,MSG,106,1688418628,REQUEST,45,0
41,MSG,107,1688418628,REQUEST,50,0
41,MSG,108,1688418628,REQUEST,59,0
41,MSG,109,1688418628,REQUEST,68,0
41,MSG,110,1688418628,REQUEST,77,0
41,CS_REQUESTED,111,1688418628,,,
28,MSG,112,1688418629,REQUEST,1,0
28,MSG,113,1688418629,REQUEST,10,0
28,MSG,114,1688418629,REQUEST,19,0
28,MSG,115,1688418629,REQUEST,28,0
28,MSG,116,1688418629,REQUEST,29,0
28,MSG,117,1688418629,REQUEST,30,0
28,MSG,118,1688418629,REQUEST,31,0
28,MSG,119,1688418629,REQUEST,32,0
28,MSG,120,1688418629,REQUEST,33,0
28,MSG,121,1688418629,REQUEST,34,0
28,MSG,122,1688418629,REQUEST,35,0
28,MSG,123,1688418629,REQUEST,36,0
28,MSG,124,1688418629,REQUEST,37,0
28,MSG,125,1688418629,REQUEST,46,0
28,MSG,126,1688418629,REQUEST,55,0
28,MSG,127,1688418629,REQUEST,64,0
28,MSG,128,1688418629,REQUEST,73,0
28,CS_REQUESTED,129,1688418629,,,
5,MSG,130,1688418629,ACK,41,0
14,MSG,131,1688418629,ACK,41,0
32,MSG,132,1688418629,ACK,41,0
68,MSG,133,1688418629,ACK,41,0
29,MSG,134,1688418629,ACK,28,0
77,MSG,135,1688418629,ACK,41,0
30,MSG,136,1688418629,ACK,28,0
23,MSG,137,1688418629,ACK,41,0
50,MSG,138,1688418629,ACK,41,0
33,MSG,139,1688418629,ACK,28,0
35,MSG,140,1688418629,ACK,28,0
34,MSG,141,1688418629,ACK,28,0
53,MSG,142,1688418630,REQUEST,8,0
53,MSG,143,1688418630,REQUEST,17,0
53,MSG,144,1688418630,REQUEST,26,0
53,MSG,145,1688418630,REQUEST,35,0
53,MSG,146,1688418630,REQUEST,44,0
53,MSG,147,1688418630,REQUEST,46,0
53,MSG,148,1688418630,REQUEST,47,0
53,MSG,149,1688418630,REQUEST,48,0
53,MSG,150,1688418630,REQUEST,49,0
53,MSG,151,1688418630,REQUEST,50,0
53,MSG,152,1688418630,REQUEST,51,0
53,MSG,153,1688418630,REQUEST,52,0
53,MSG,154,1688418630,REQUEST,53,0
53,MSG,155,1688418630,REQUEST,54,0
53,MSG,156,1688418630,REQUEST,62,0
53,MSG,157,1688418630,REQUEST,71,0
53,MSG,158,1688418630,REQUEST,80,0
53,CS_REQUESTED,159,1688418630,,,
48,MSG,160,1688418630,ACK,53,0
80,MSG,161,1688418630,ACK,53,0
51,MSG,162,1688418630,ACK,53,0
26,MSG,163,1688418630,ACK,53,0
52,MSG,164,1688418630,ACK,53,0
8,MSG,165,1688418630,ACK,53,0
71,MSG,166,1688418630,ACK,53,0
47,MSG,167,1688418630,ACK,53,0
17,MSG,168,1688418631,ACK,53,0
53,MSG,169,1688418631,ACK,53,0
49,MSG,170,1688418632,REQUEST,4,0
49,MSG,171,1688418632,REQUEST,13,0
49,MSG,172,1688418632,REQUEST,22,0
49,MSG,173,1688418632,REQUEST,31,0
49,MSG,174,1688418632,REQUEST,40,0
49,MSG,175,1688418632,REQUEST,46,0
49,MSG,176,1688418632,REQUEST,47,0
49,MSG,177,1688418632,REQUEST,48,0
49,MSG,178,1688418632,REQUEST,49,0
49,MSG,179,1688418632,REQUEST,50,0
49,MSG,180,1688418632,REQUEST,51,0
49,MSG,181,1688418632,REQUEST,52,0
49,MSG,182,1688418632,REQUEST,53,0
49,MSG,183,1688418632,REQUEST,54,0
49,MSG,184,1688418632,REQUEST,58,0
49,MSG,185,1688418632,REQUEST,67,0
49,MSG,186,1688418632,REQUEST,76,0
49,CS_REQUESTED,187,1688418632,,,
67,MSG,188,1688418637,REQUEST,4,0
67,MSG,189,1688418637,REQUEST,13,0
67,MSG,190,1688418637,REQUEST,22,0
67,MSG,191,1688418637,REQUEST,31,0
67,MSG,192,1688418637,REQUEST,40,0
67,MSG,193,1688418637,REQUEST,49,0
67,MSG,194,1688418637,REQUEST,58,0
67,MSG,195,1688418637,REQUEST,64,0
67,MSG,196,1688418637,REQUEST,65,0
67,MSG,197,1688418637,REQUEST,66,0
67,MSG,198,1688418637,REQUEST,67,0
67,MSG,199,1688418637,REQUEST,68,0
67,MSG,200,1688418637,REQUEST,69,0
67,MSG,201,1688418637,REQUEST,70,0
67,MSG,202,1688418637,REQUEST,71,0
67,MSG,203,1688418637,REQUEST,72,0
67,MSG,204,1688418637,REQUEST,76,0
67,CS_REQUESTED,205,1688418637,,,
70,MSG,206,1688418637,ACK,67,0
69,MSG,207,1688418637,ACK,67,0
65,MSG,208,1688418637,ACK,67,0
66,MSG,209,1688418638,ACK,67,0
6,MSG,210,1688418638,REQUEST,1,0
6,MSG,211,1688418638,REQUEST,2,0
6,MSG,212,1688418638,REQUEST,3,0
6,MSG,213,1688418638,REQUEST,4,0
6,MSG,214,1688418638,REQUEST,5,0
6,MSG,215,1688418638,REQUEST,6,0
6,MSG,216,1688418638,REQUEST,7,0
6,MSG,217,1688418638,REQUEST,8,0
6,MSG,218,1688418638,REQUEST,9,0
6,MSG,219,1688418638,REQUEST,15,0
6,MSG,220,1688418638,REQUEST,24,0
6,MSG,221,1688418638,REQUEST,33,0
6,MSG,222,1688418638,REQUEST,42,0
6,MSG,223,1688418638,REQUEST,51,0
6,MSG,224,1688418638,REQUEST,60,0
6,MSG,225,1688418638,REQUEST,69,0
6,MSG,226,1688418638,REQUEST,78,0
6,CS_REQUESTED,227,1688418638,,,
2,MSG,228,1688418638,ACK,6,0
3,MSG,229,1688418638,ACK,6,0
78,MSG,230,1688418638,ACK,6,0
47,MSG,231,1688418638,REQUEST,2,0
47,MSG,232,1688418638,REQUEST,11,0
