procID,event_type,logical_clock,real_clock,msg,msg_receiver,msg_ts
0,START,0,1688424514,,,
1,MSG,1,1688424523,REQUEST,1,0
1,MSG,2,1688424523,REQUEST,2,0
1,MSG,3,1688424523,REQUEST,3,0
1,MSG,4,1688424523,REQUEST,4,0
1,MSG,5,1688424523,REQUEST,7,0
1,CS_REQUESTED,6,1688424523,,,
3,MSG,7,1688424524,ACK,1,0
2,MSG,8,1688424524,ACK,1,0
4,MSG,9,1688424524,ACK,1,0
7,MSG,10,1688424524,ACK,1,0
1,MSG,11,1688424524,ACK,1,0
1,CS_ACCESS,12,1688424530,,,
1,MSG,13,1688424532,RELEASE,1,0
1,MSG,14,1688424532,RELEASE,2,0
1,MSG,15,1688424532,RELEASE,3,0
1,MSG,16,1688424532,RELEASE,4,0
1,MSG,17,1688424532,RELEASE,7,0
1,CS_LEAVE,18,1688424532,,,
8,MSG,19,1688424543,REQUEST,2,0
8,MSG,20,1688424543,REQUEST,5,0
8,MSG,21,1688424543,REQUEST,7,0
8,MSG,22,1688424543,REQUEST,8,0
8,MSG,23,1688424543,REQUEST,9,0
8,CS_REQUESTED,24,1688424543,,,
2,MSG,25,1688424543,ACK,8,0
5,MSG,26,1688424543,ACK,8,0
7,MSG,27,1688424543,ACK,8,0
9,MSG,28,1688424543,ACK,8,0
8,MSG,29,1688424544,ACK,8,0
8,CS_ACCESS,30,1688424550,,,
8,MSG,31,1688424552,RELEASE,2,0
8,MSG,32,1688424552,RELEASE,5,0
8,MSG,33,1688424552,RELEASE,7,0
8,MSG,34,1688424552,RELEASE,8,0
8,MSG,35,1688424552,RELEASE,9,0
8,CS_LEAVE,36,1688424552,,,
3,MSG,37,1688424554,REQUEST,1,0
3,MSG,38,1688424554,REQUEST,2,0
3,MSG,39,1688424554,REQUEST,3,0
3,MSG,40,1688424554,REQUEST,6,0
3,MSG,41,1688424554,REQUEST,9,0
3,CS_REQUESTED,42,1688424554,,,
2,MSG,43,1688424554,ACK,3,0
9,MSG,44,1688424554,ACK,3,0
1,MSG,45,1688424554,ACK,3,0
6,MSG,46,1688424555,ACK,3,0
3,MSG,47,1688424555,ACK,3,0
3,CS_ACCESS,48,1688424561,,,
3,MSG,49,1688424563,RELEASE,1,0
3,MSG,50,1688424563,RELEASE,2,0
3,MSG,51,1688424563,RELEASE,3,0
3,MSG,52,1688424563,RELEASE,6,0
3,MSG,53,1688424563,RELEASE,9,0
3,CS_LEAVE,54,1688424563,,,
5,MSG,55,1688424567,REQUEST,2,0
5,MSG,56,1688424567,REQUEST,4,0
5,MSG,57,1688424567,REQUEST,5,0
5,MSG,58,1688424567,REQUEST,6,0
5,MSG,59,1688424567,REQUEST,8,0
5,CS_REQUESTED,60,1688424567,,,
8,MSG,61,1688424568,ACK,5,0
6,MSG,62,1688424568,ACK,5,0
2,MSG,63,1688424568,ACK,5,0
4,MSG,64,1688424568,ACK,5,0
5,MSG,65,1688424568,ACK,5,0
5,CS_ACCESS,66,1688424574,,,
5,MSG,67,1688424576,RELEASE,2,0
5,MSG,68,1688424576,RELEASE,4,0
5,MSG,69,1688424576,RELEASE,5,0
5,MSG,70,1688424576,RELEASE,6,0
5,MSG,71,1688424576,RELEASE,8,0
5,CS_LEAVE,72,1688424576,,,
7,MSG,73,1688424577,REQUEST,1,0
7,MSG,74,1688424577,REQUEST,4,0
7,MSG,75,1688424577,REQUEST,7,0
7,MSG,76,1688424577,REQUEST,8,0
7,MSG,77,1688424577,REQUEST,9,0
7,CS_REQUESTED,78,1688424577,,,
9,MSG,79,1688424577,ACK,7,0
1,MSG,80,1688424577,ACK,7,0
8,MSG,81,1688424578,ACK,7,0
4,MSG,82,1688424578,ACK,7,0
7,MSG,83,1688424578,ACK,7,0
7,CS_ACCESS,84,1688424584,,,
7,MSG,85,1688424586,RELEASE,1,0
7,MSG,86,1688424586,RELEASE,4,0
7,MSG,87,1688424586,RELEASE,7,0
7,MSG,88,1688424586,RELEASE,8,0
7,MSG,89,1688424586,RELEASE,9,0
7,CS_LEAVE,90,1688424586,,,
5,MSG,91,1688424598,REQUEST,2,0
5,MSG,92,1688424598,REQUEST,4,0
5,MSG,93,1688424598,REQUEST,5,0
5,MSG,94,1688424598,REQUEST,6,0
5,MSG,95,1688424598,REQUEST,8,0
5,CS_REQUESTED,96,1688424598,,,
8,MSG,97,1688424599,ACK,5,0
6,MSG,98,1688424599,ACK,5,0
2,MSG,99,1688424599,ACK,5,0
4,MSG,100,1688424599,ACK,5,0
5,MSG,101,1688424599,ACK,5,0
7,MSG,102,1688424602,REQUEST,1,0
7,MSG,103,1688424602,REQUEST,4,0
7,MSG,104,1688424602,REQUEST,7,0
7,MSG,105,1688424602,REQUEST,8,0
7,MSG,106,1688424602,REQUEST,9,0
7,CS_REQUESTED,107,1688424602,,,
1,MSG,108,1688424602,ACK,7,0
7,MSG,109,1688424603,ACK,7,0
9,MSG,110,1688424603,ACK,7,0
5,CS_ACCESS,111,1688424605,,,
5,MSG,112,1688424607,RELEASE,2,0
5,MSG,113,1688424607,RELEASE,4,0
5,MSG,114,1688424607,RELEASE,5,0
5,MSG,115,1688424607,RELEASE,6,0
5,MSG,116,1688424607,RELEASE,8,0
5,CS_LEAVE,117,1688424607,,,
8,MSG,118,1688424608,ACK,7,0
4,MSG,119,1688424608,ACK,7,0
4,MSG,120,1688424609,REQUEST,1,0
4,MSG,121,1688424609,REQUEST,4,0
4,MSG,122,1688424609,REQUEST,5,0
4,MSG,123,1688424609,REQUEST,6,0
4,MSG,124,1688424609,REQUEST,7,0
4,CS_REQUESTED,125,1688424609,,,
5,MSG,126,1688424609,ACK,4,0
6,MSG,127,1688424610,ACK,4,0
7,CS_ACCESS,128,1688424610,,,
7,MSG,129,1688424612,RELEASE,1,0
7,MSG,130,1688424612,RELEASE,4,0
7,MSG,131,1688424612,RELEASE,7,0
7,MSG,132,1688424612,RELEASE,8,0
7,MSG,133,1688424612,RELEASE,9,0
7,CS_LEAVE,134,1688424612,,,
1,MSG,135,1688424612,ACK,4,0
4,MSG,136,1688424613,ACK,4,0
7,MSG,137,1688424613,ACK,4,0
8,MSG,138,1688424615,REQUEST,2,0
8,MSG,139,1688424615,REQUEST,5,0
8,MSG,140,1688424615,REQUEST,7,0
8,MSG,141,1688424615,REQUEST,8,0
8,MSG,142,1688424615,REQUEST,9,0
8,CS_REQUESTED,143,1688424615,,,
2,MSG,144,1688424615,ACK,8,0
9,MSG,145,1688424615,ACK,8,0
8,MSG,146,1688424616,ACK,8,0
4,CS_ACCESS,147,1688424617,,,
4,MSG,148,1688424619,RELEASE,1,0
4,MSG,149,1688424619,RELEASE,4,0
4,MSG,150,1688424619,RELEASE,5,0
4,MSG,151,1688424619,RELEASE,6,0
4,MSG,152,1688424619,RELEASE,7,0
4,CS_LEAVE,153,1688424619,,,
5,MSG,154,1688424619,ACK,8,0
7,MSG,155,1688424619,ACK,8,0
8,CS_ACCESS,156,1688424622,,,
8,MSG,157,1688424624,RELEASE,2,0
8,MSG,158,1688424624,RELEASE,5,0
8,MSG,159,1688424624,RELEASE,7,0
8,MSG,160,1688424624,RELEASE,8,0
8,MSG,161,1688424624,RELEASE,9,0
8,CS_LEAVE,162,1688424624,,,
3,MSG,163,1688424630,REQUEST,1,0
3,MSG,164,1688424630,REQUEST,2,0
3,MSG,165,1688424630,REQUEST,3,0
3,MSG,166,1688424630,REQUEST,6,0
3,MSG,167,1688424630,REQUEST,9,0
3,CS_REQUESTED,168,1688424630,,,
4,MSG,169,1688424630,REQUEST,1,0
4,MSG,170,1688424630,REQUEST,4,0
4,MSG,171,1688424630,REQUEST,5,0
4,MSG,172,1688424630,REQUEST,6,0
4,MSG,173,1688424630,REQUEST,7,0
4,CS_REQUESTED,174,1688424630,,,
5,MSG,175,1688424630,ACK,4,0
7,MSG,176,1688424630,ACK,4,0
9,MSG,177,1688424630,ACK,3,0
1,MSG,178,1688424630,ACK,3,0
6,MSG,179,1688424631,ACK,3,0
3,MSG,180,1688424631,ACK,3,0
2,MSG,181,1688424631,ACK,3,0
4,MSG,182,1688424631,ACK,4,0
3,CS_ACCESS,183,1688424637,,,
3,MSG,184,1688424639,RELEASE,1,0
3,MSG,185,1688424639,RELEASE,2,0
3,MSG,186,1688424639,RELEASE,3,0
3,MSG,187,1688424639,RELEASE,6,0
3,MSG,188,1688424639,RELEASE,9,0
3,CS_LEAVE,189,1688424639,,,
1,MSG,190,1688424639,ACK,4,0
6,MSG,191,1688424640,ACK,4,0
4,CS_ACCESS,192,1688424642,,,
6,MSG,193,1688424643,REQUEST,3,0
6,MSG,194,1688424643,REQUEST,4,0
6,MSG,195,1688424643,REQUEST,5,0
6,MSG,196,1688424643,REQUEST,6,0
6,MSG,197,1688424643,REQUEST,9,0
6,CS_REQUESTED,198,1688424643,,,
3,MSG,199,1688424643,ACK,6,0
9,MSG,200,1688424643,ACK,6,0
4,MSG,201,1688424644,RELEASE,1,0
4,MSG,202,1688424644,RELEASE,4,0
4,MSG,203,1688424644,RELEASE,5,0
4,MSG,204,1688424644,RELEASE,6,0
4,MSG,205,1688424644,RELEASE,7,0
4,CS_LEAVE,206,1688424644,,,
5,MSG,207,1688424644,ACK,6,0
4,MSG,208,1688424645,ACK,6,0
6,MSG,209,1688424647,ACK,6,0
6,CS_ACCESS,210,1688424651,,,
6,MSG,211,1688424653,RELEASE,3,0
6,MSG,212,1688424653,RELEASE,4,0
6,MSG,213,1688424653,RELEASE,5,0
6,MSG,214,1688424653,RELEASE,6,0
6,MSG,215,1688424653,RELEASE,9,0
6,CS_LEAVE,216,1688424653,,,
9,MSG,217,1688424659,REQUEST,3,0
9,MSG,218,1688424659,REQUEST,6,0
9,MSG,219,1688424659,REQUEST,7,0
9,MSG,220,1688424659,REQUEST,8,0
9,MSG,221,1688424659,REQUEST,9,0
9,CS_REQUESTED,222,1688424659,,,
8,MSG,223,1688424660,ACK,9,0
6,MSG,224,1688424660,ACK,9,0
3,MSG,225,1688424660,ACK,9,0
7,MSG,226,1688424660,ACK,9,0
9,MSG,227,1688424660,ACK,9,0
9,CS_ACCESS,228,1688424666,,,
6,MSG,229,1688424668,REQUEST,3,0
6,MSG,230,1688424668,REQUEST,4,0
6,MSG,231,1688424668,REQUEST,5,0
6,MSG,232,1688424668,REQUEST,6,0
6,MSG,233,1688424668,REQUEST,9,0
6,CS_REQUESTED,234,1688424668,,,
4,MSG,235,1688424668,ACK,6,0
