procID,event_type,logical_clock,real_clock,msg,msg_receiver,msg_ts
0,START,0,1688422533,,,
11,MSG,1,1688422544,REQUEST,1,2
11,MSG,2,1688422544,REQUEST,2,2
11,MSG,3,1688422544,REQUEST,3,2
11,MSG,4,1688422544,REQUEST,4,2
11,MSG,5,1688422544,REQUEST,5,2
11,MSG,6,1688422544,REQUEST,6,2
11,MSG,7,1688422544,REQUEST,7,2
11,MSG,8,1688422544,REQUEST,8,2
11,MSG,9,1688422544,REQUEST,9,2
11,MSG,10,1688422544,REQUEST,10,2
11,MSG,11,1688422544,REQUEST,12,2
11,MSG,12,1688422544,REQUEST,13,2
11,MSG,13,1688422544,REQUEST,14,2
11,MSG,14,1688422544,REQUEST,15,2
11,MSG,15,1688422544,REQUEST,16,2
11,MSG,16,1688422544,REQUEST,17,2
11,MSG,17,1688422544,REQUEST,18,2
11,MSG,18,1688422544,REQUEST,19,2
11,MSG,19,1688422544,REQUEST,20,2
11,MSG,20,1688422544,REQUEST,21,2
11,MSG,21,1688422544,REQUEST,22,2
11,MSG,22,1688422544,REQUEST,23,2
11,MSG,23,1688422544,REQUEST,24,2
11,MSG,24,1688422544,REQUEST,25,2
11,CS_REQUESTED,25,1688422544,,,
12,MSG,26,1688422544,ACK,11,0
16,MSG,27,1688422544,ACK,11,0
19,MSG,28,1688422544,ACK,11,0
21,MSG,29,1688422544,ACK,11,0
10,MSG,30,1688422544,ACK,11,0
25,MSG,31,1688422544,ACK,11,0
24,MSG,32,1688422544,ACK,11,0
8,MSG,33,1688422544,ACK,11,0
1,MSG,34,1688422545,ACK,11,0
23,MSG,35,1688422545,ACK,11,0
3,MSG,36,1688422545,ACK,11,0
17,MSG,37,1688422545,ACK,11,0
2,MSG,38,1688422545,ACK,11,0
5,MSG,39,1688422545,ACK,11,0
15,MSG,40,1688422545,ACK,11,0
7,MSG,41,1688422545,ACK,11,0
22,MSG,42,1688422545,ACK,11,0
13,MSG,43,1688422545,ACK,11,0
9,MSG,44,1688422545,ACK,11,0
20,MSG,45,1688422545,ACK,11,0
14,MSG,46,1688422545,ACK,11,0
4,MSG,47,1688422545,ACK,11,0
6,MSG,48,1688422545,ACK,11,0
18,MSG,49,1688422545,ACK,11,0
15,MSG,50,1688422549,REQUEST,1,3
15,MSG,51,1688422549,REQUEST,2,3
15,MSG,52,1688422549,REQUEST,3,3
15,MSG,53,1688422549,REQUEST,4,3
15,MSG,54,1688422549,REQUEST,5,3
15,MSG,55,1688422549,REQUEST,6,3
15,MSG,56,1688422549,REQUEST,7,3
15,MSG,57,1688422549,REQUEST,8,3
15,MSG,58,1688422549,REQUEST,9,3
15,MSG,59,1688422549,REQUEST,10,3
15,MSG,60,1688422549,REQUEST,11,3
15,MSG,61,1688422549,REQUEST,12,3
15,MSG,62,1688422549,REQUEST,13,3
15,MSG,63,1688422549,REQUEST,14,3
15,MSG,64,1688422549,REQUEST,16,3
15,MSG,65,1688422549,REQUEST,17,3
15,MSG,66,1688422549,REQUEST,18,3
15,MSG,67,1688422549,REQUEST,19,3
15,MSG,68,1688422549,REQUEST,20,3
15,MSG,69,1688422549,REQUEST,21,3
15,MSG,70,1688422549,REQUEST,22,3
15,MSG,71,1688422549,REQUEST,23,3
15,MSG,72,1688422549,REQUEST,24,3
15,MSG,73,1688422549,REQUEST,25,3
15,CS_REQUESTED,74,1688422549,,,
7,MSG,75,1688422549,ACK,15,0
22,MSG,76,1688422549,ACK,15,0
13,MSG,77,1688422549,ACK,15,0
9,MSG,78,1688422549,ACK,15,0
20,MSG,79,1688422549,ACK,15,0
14,MSG,80,1688422549,ACK,15,0
4,MSG,81,1688422549,ACK,15,0
6,MSG,82,1688422549,ACK,15,0
18,MSG,83,1688422549,ACK,15,0
12,MSG,84,1688422549,ACK,15,0
16,MSG,85,1688422549,ACK,15,0
19,MSG,86,1688422549,ACK,15,0
21,MSG,87,1688422549,ACK,15,0
10,MSG,88,1688422549,ACK,15,0
