procID,event_type,logical_clock,real_clock,msg,msg_receiver,msg_ts
0,START,0,1688420634,,,
38,MSG,1,1688420640,REQUEST,1,2
38,MSG,2,1688420640,REQUEST,2,2
38,MSG,3,1688420640,REQUEST,3,2
38,MSG,4,1688420640,REQUEST,4,2
38,MSG,5,1688420640,REQUEST,5,2
38,MSG,6,1688420640,REQUEST,6,2
38,MSG,7,1688420640,REQUEST,7,2
38,MSG,8,1688420640,REQUEST,8,2
38,MSG,9,1688420640,REQUEST,9,2
38,MSG,10,1688420640,REQUEST,10,2
38,MSG,11,1688420640,REQUEST,11,2
38,MSG,12,1688420640,REQUEST,12,2
38,MSG,13,1688420640,REQUEST,13,2
38,MSG,14,1688420640,REQUEST,14,2
38,MSG,15,1688420640,REQUEST,15,2
38,MSG,16,1688420640,REQUEST,16,2
38,MSG,17,1688420640,REQUEST,17,2
38,MSG,18,1688420640,REQUEST,18,2
38,MSG,19,1688420640,REQUEST,19,2
38,MSG,20,1688420640,REQUEST,20,2
38,MSG,21,1688420640,REQUEST,21,2
38,MSG,22,1688420640,REQUEST,22,2
38,MSG,23,1688420640,REQUEST,23,2
38,MSG,24,1688420640,REQUEST,24,2
38,MSG,25,1688420640,REQUEST,25,2
38,MSG,26,1688420640,REQUEST,26,2
38,MSG,27,1688420640,REQUEST,27,2
38,MSG,28,1688420640,REQUEST,28,2
38,MSG,29,1688420640,REQUEST,29,2
38,MSG,30,1688420640,REQUEST,30,2
38,MSG,31,1688420640,REQUEST,31,2
38,MSG,32,1688420640,REQUEST,32,2
38,MSG,33,1688420640,REQUEST,33,2
38,MSG,34,1688420640,REQUEST,34,2
38,MSG,35,1688420640,REQUEST,35,2
38,MSG,36,1688420640,REQUEST,36,2
38,MSG,37,1688420640,REQUEST,37,2
38,MSG,38,1688420640,REQUEST,39,2
38,MSG,39,1688420640,REQUEST,40,2
38,MSG,40,1688420640,REQUEST,41,2
38,MSG,41,1688420640,REQUEST,42,2
38,MSG,42,1688420640,REQUEST,43,2
38,MSG,43,1688420640,REQUEST,44,2
38,MSG,44,1688420640,REQUEST,45,2
38,MSG,45,1688420640,REQUEST,46,2
38,MSG,46,1688420640,REQUEST,47,2
38,MSG,47,1688420640,REQUEST,48,2
38,MSG,48,1688420640,REQUEST,49,2
38,CS_REQUESTED,49,1688420640,,,
10,MSG,50,1688420640,ACK,38,0
6,MSG,51,1688420640,ACK,38,0
40,MSG,52,1688420640,ACK,38,0
49,MSG,53,1688420640,ACK,38,0
24,MSG,54,1688420640,ACK,38,0
16,MSG,55,1688420640,ACK,38,0
18,MSG,56,1688420640,ACK,38,0
20,MSG,57,1688420640,ACK,38,0
48,MSG,58,1688420640,ACK,38,0
35,MSG,59,1688420640,ACK,38,0
46,MSG,60,1688420640,ACK,38,0
30,MSG,61,1688420640,ACK,38,0
43,MSG,62,1688420640,ACK,38,0
17,MSG,63,1688420640,ACK,38,0
33,MSG,64,1688420640,ACK,38,0
28,MSG,65,1688420640,ACK,38,0
42,MSG,66,1688420640,ACK,38,0
37,MSG,67,1688420640,ACK,38,0
45,MSG,68,1688420640,ACK,38,0
36,MSG,69,1688420640,ACK,38,0
2,MSG,70,1688420640,ACK,38,0
26,MSG,71,1688420640,ACK,38,0
27,MSG,72,1688420640,ACK,38,0
25,MSG,73,1688420640,ACK,38,0
41,MSG,74,1688420640,ACK,38,0
11,MSG,75,1688420640,ACK,38,0
8,MSG,76,1688420640,ACK,38,0
14,MSG,77,1688420640,ACK,38,0
13,MSG,78,1688420640,ACK,38,0
1,MSG,79,1688420640,ACK,38,0
9,MSG,80,1688420640,ACK,38,0
21,MSG,81,1688420640,ACK,38,0
12,MSG,82,1688420640,ACK,38,0
31,MSG,83,1688420640,ACK,38,0
34,MSG,84,1688420641,ACK,38,0
3,MSG,85,1688420641,ACK,38,0
19,MSG,86,1688420641,ACK,38,0
32,MSG,87,1688420641,ACK,38,0
15,MSG,88,1688420641,ACK,38,0
4,MSG,89,1688420641,ACK,38,0
5,MSG,90,1688420641,ACK,38,0
7,MSG,91,1688420641,ACK,38,0
47,MSG,92,1688420641,ACK,38,0
29,MSG,93,1688420641,ACK,38,0
22,MSG,94,1688420641,ACK,38,0
44,MSG,95,1688420641,ACK,38,0
39,MSG,96,1688420641,ACK,38,0
23,MSG,97,1688420641,ACK,38,0
32,MSG,98,1688420644,REQUEST,1,3
32,MSG,99,1688420644,REQUEST,2,3
32,MSG,100,1688420644,REQUEST,3,3
32,MSG,101,1688420644,REQUEST,4,3
32,MSG,102,1688420644,REQUEST,5,3
32,MSG,103,1688420644,REQUEST,6,3
32,MSG,104,1688420644,REQUEST,7,3
32,MSG,105,1688420644,REQUEST,8,3
32,MSG,106,1688420644,REQUEST,9,3
32,MSG,107,1688420644,REQUEST,10,3
32,MSG,108,1688420644,REQUEST,11,3
32,MSG,109,1688420644,REQUEST,12,3
32,MSG,110,1688420644,REQUEST,13,3
32,MSG,111,1688420644,REQUEST,14,3
32,MSG,112,1688420644,REQUEST,15,3
32,MSG,113,1688420644,REQUEST,16,3
32,MSG,114,1688420644,REQUEST,17,3
32,MSG,115,1688420644,REQUEST,18,3
32,MSG,116,1688420644,REQUEST,19,3
32,MSG,117,1688420644,REQUEST,20,3
32,MSG,118,1688420644,REQUEST,21,3
32,MSG,119,1688420644,REQUEST,22,3
32,MSG,120,1688420644,REQUEST,23,3
32,MSG,121,1688420644,REQUEST,24,3
32,MSG,122,1688420644,REQUEST,25,3
32,MSG,123,1688420644,REQUEST,26,3
32,MSG,124,1688420644,REQUEST,27,3
32,MSG,125,1688420644,REQUEST,28,3
32,MSG,126,1688420644,REQUEST,29,3
32,MSG,127,1688420644,REQUEST,30,3
32,MSG,128,1688420644,REQUEST,31,3
32,MSG,129,1688420644,REQUEST,33,3
32,MSG,130,1688420644,REQUEST,34,3
32,MSG,131,1688420644,REQUEST,35,3
32,MSG,132,1688420644,REQUEST,36,3
32,MSG,133,1688420644,REQUEST,37,3
32,MSG,134,1688420644,REQUEST,38,3
32,MSG,135,1688420644,REQUEST,39,3
32,MSG,136,1688420644,REQUEST,40,3
32,MSG,137,1688420644,REQUEST,41,3
32,MSG,138,1688420644,REQUEST,42,3
32,MSG,139,1688420644,REQUEST,43,3
32,MSG,140,1688420644,REQUEST,44,3
32,MSG,141,1688420644,REQUEST,45,3
32,MSG,142,1688420644,REQUEST,46,3
32,MSG,143,1688420644,REQUEST,47,3
32,MSG,144,1688420644,REQUEST,48,3
32,MSG,145,1688420644,REQUEST,49,3
32,CS_REQUESTED,146,1688420644,,,
4,MSG,147,1688420644,ACK,32,0
5,MSG,148,1688420644,ACK,32,0
7,MSG,149,1688420644,ACK,32,0
47,MSG,150,1688420644,ACK,32,0
29,MSG,151,1688420644,ACK,32,0
22,MSG,152,1688420644,ACK,32,0
44,MSG,153,1688420644,ACK,32,0
39,MSG,154,1688420644,ACK,32,0
23,MSG,155,1688420644,ACK,32,0
10,MSG,156,1688420644,ACK,32,0
6,MSG,157,1688420644,ACK,32,0
40,MSG,158,1688420644,ACK,32,0
49,MSG,159,1688420644,ACK,32,0
24,MSG,160,1688420644,ACK,32,0
16,MSG,161,1688420644,ACK,32,0
18,MSG,162,1688420644,ACK,32,0
20,MSG,163,1688420644,ACK,32,0
48,MSG,164,1688420644,ACK,32,0
35,MSG,165,1688420644,ACK,32,0
43,MSG,166,1688420644,ACK,32,0
46,MSG,167,1688420644,ACK,32,0
30,MSG,168,1688420644,ACK,32,0
17,MSG,169,1688420644,ACK,32,0
33,MSG,170,1688420644,ACK,32,0
28,MSG,171,1688420644,ACK,32,0
37,MSG,172,1688420644,ACK,32,0
42,MSG,173,1688420644,ACK,32,0
45,MSG,174,1688420644,ACK,32,0
36,MSG,175,1688420644,ACK,32,0
2,MSG,176,1688420644,ACK,32,0
26,MSG,177,1688420644,ACK,32,0
27,MSG,178,1688420644,ACK,32,0
25,MSG,179,1688420644,ACK,32,0
41,MSG,180,1688420644,ACK,32,0
8,MSG,181,1688420644,ACK,32,0
11,MSG,182,1688420644,ACK,32,0
14,MSG,183,1688420644,ACK,32,0
13,MSG,184,1688420644,ACK,32,0
1,MSG,185,1688420644,ACK,32,0
9,MSG,186,1688420644,ACK,32,0
21,MSG,187,1688420644,ACK,32,0
12,MSG,188,1688420644,ACK,32,0
31,MSG,189,1688420645,ACK,32,0
3,MSG,190,1688420645,ACK,32,0
34,MSG,191,1688420645,ACK,32,0
19,MSG,192,1688420645,ACK,32,0
15,MSG,193,1688420645,ACK,32,0
2,MSG,194,1688420650,REQUEST,1,4
2,MSG,195,1688420650,REQUEST,3,4
2,MSG,196,1688420650,REQUEST,4,4
2,MSG,197,1688420650,REQUEST,5,4
2,MSG,198,1688420650,REQUEST,6,4
2,MSG,199,1688420650,REQUEST,7,4
2,MSG,200,1688420650,REQUEST,8,4
2,MSG,201,1688420650,REQUEST,9,4
2,MSG,202,1688420650,REQUEST,10,4
2,MSG,203,1688420650,REQUEST,11,4
2,MSG,204,1688420650,REQUEST,12,4
2,MSG,205,1688420650,REQUEST,13,4
2,MSG,206,1688420650,REQUEST,14,4
2,MSG,207,1688420650,REQUEST,15,4
2,MSG,208,1688420650,REQUEST,16,4
2,MSG,209,1688420650,REQUEST,17,4
2,MSG,210,1688420650,REQUEST,18,4
2,MSG,211,1688420650,REQUEST,19,4
2,MSG,212,1688420650,REQUEST,20,4
2,MSG,213,1688420650,REQUEST,21,4
2,MSG,214,1688420650,REQUEST,22,4
2,MSG,215,1688420650,REQUEST,23,4
2,MSG,216,1688420650,REQUEST,24,4
2,MSG,217,1688420650,REQUEST,25,4
2,MSG,218,1688420650,REQUEST,26,4
2,MSG,219,1688420650,REQUEST,27,4
2,MSG,220,1688420650,REQUEST,28,4
2,MSG,221,1688420650,REQUEST,29,4
2,MSG,222,1688420650,REQUEST,30,4
2,MSG,223,1688420650,REQUEST,31,4
2,MSG,224,1688420650,REQUEST,32,4
2,MSG,225,1688420650,REQUEST,33,4
2,MSG,226,1688420650,REQUEST,34,4
2,MSG,227,1688420650,REQUEST,35,4
2,MSG,228,1688420650,REQUEST,36,4
2,MSG,229,1688420650,REQUEST,37,4
2,MSG,230,1688420650,REQUEST,38,4
2,MSG,231,1688420650,REQUEST,39,4
2,MSG,232,1688420650,REQUEST,40,4
2,MSG,233,1688420650,REQUEST,41,4
2,MSG,234,1688420650,REQUEST,42,4
2,MSG,235,1688420650,REQUEST,43,4
2,MSG,236,1688420650,REQUEST,44,4
2,MSG,237,1688420650,REQUEST,45,4
2,MSG,238,1688420650,REQUEST,46,4
2,MSG,239,1688420650,REQUEST,47,4
2,MSG,240,1688420650,REQUEST,48,4
2,MSG,241,1688420650,REQUEST,49,4
2,CS_REQUESTED,242,1688420650,,,
26,MSG,243,1688420650,ACK,2,0
27,MSG,244,1688420650,ACK,2,0
25,MSG,245,1688420650,REQUEST,1,4
25,MSG,246,1688420650,REQUEST,2,4
25,MSG,247,1688420650,REQUEST,3,4
25,MSG,248,1688420650,REQUEST,4,4
25,MSG,249,1688420650,REQUEST,5,4
25,MSG,250,1688420650,REQUEST,6,4
25,MSG,251,1688420650,REQUEST,7,4
25,MSG,252,1688420650,REQUEST,8,4
25,MSG,253,1688420650,REQUEST,9,4
25,MSG,254,1688420650,REQUEST,10,4
25,MSG,255,1688420650,REQUEST,11,4
25,MSG,256,1688420650,REQUEST,12,4
25,MSG,257,1688420650,REQUEST,13,4
25,MSG,258,1688420650,REQUEST,14,4
25,MSG,259,1688420650,REQUEST,15,4
25,MSG,260,1688420650,REQUEST,16,4
25,MSG,261,1688420650,REQUEST,17,4
25,MSG,262,1688420650,REQUEST,18,4
25,MSG,263,1688420650,REQUEST,19,4
25,MSG,264,1688420650,REQUEST,20,4
25,MSG,265,1688420650,REQUEST,21,4
25,MSG,266,1688420650,REQUEST,22,4
25,MSG,267,1688420650,REQUEST,23,4
25,MSG,268,1688420650,REQUEST,24,4
25,MSG,269,1688420650,REQUEST,26,4
25,MSG,270,1688420650,REQUEST,27,4
25,MSG,271,1688420650,REQUEST,28,4
25,MSG,272,1688420650,REQUEST,29,4
25,MSG,273,1688420650,REQUEST,30,4
25,MSG,274,1688420650,REQUEST,31,4
25,MSG,275,1688420650,REQUEST,32,4
25,MSG,276,1688420650,REQUEST,33,4
25,MSG,277,1688420650,REQUEST,34,4
25,MSG,278,1688420650,REQUEST,35,4
25,MSG,279,1688420650,REQUEST,36,4
25,MSG,280,1688420650,REQUEST,37,4
25,MSG,281,1688420650,REQUEST,38,4
25,MSG,282,1688420650,REQUEST,39,4
25,MSG,283,1688420650,REQUEST,40,4
25,MSG,284,1688420650,REQUEST,41,4
25,MSG,285,1688420650,REQUEST,42,4
25,MSG,286,1688420650,REQUEST,43,4
25,MSG,287,1688420650,REQUEST,44,4
25,MSG,288,1688420650,REQUEST,45,4
25,MSG,289,1688420650,REQUEST,46,4
25,MSG,290,1688420650,REQUEST,47,4
25,MSG,291,1688420650,REQUEST,48,4
25,MSG,292,1688420650,REQUEST,49,4
25,CS_REQUESTED,293,1688420650,,,
25,MSG,294,1688420650,ACK,2,0
41,MSG,295,1688420650,ACK,2,0
8,MSG,296,1688420650,ACK,2,0
11,MSG,297,1688420650,ACK,2,0
14,MSG,298,1688420650,ACK,2,0
13,MSG,299,1688420650,ACK,2,0
1,MSG,300,1688420650,ACK,2,0
9,MSG,301,1688420650,ACK,2,0
21,MSG,302,1688420650,ACK,2,0
12,MSG,303,1688420650,ACK,2,0
31,MSG,304,1688420651,ACK,2,0
3,MSG,305,1688420651,ACK,2,0
34,MSG,306,1688420651,ACK,2,0
19,MSG,307,1688420651,ACK,2,0
15,MSG,308,1688420651,ACK,2,0
4,MSG,309,1688420651,ACK,2,0
5,MSG,310,1688420651,ACK,2,0
7,MSG,311,1688420651,ACK,2,0
47,MSG,312,1688420651,ACK,2,0
29,MSG,313,1688420651,ACK,2,0
22,MSG,314,1688420651,REQUEST,1,4
22,MSG,315,1688420651,REQUEST,2,4
22,MSG,316,1688420651,REQUEST,3,4
22,MSG,317,1688420651,REQUEST,4,4
22,MSG,318,1688420651,REQUEST,5,4
22,MSG,319,1688420651,REQUEST,6,4
22,MSG,320,1688420651,REQUEST,7,4
22,MSG,321,1688420651,REQUEST,8,4
22,MSG,322,1688420651,REQUEST,9,4
22,MSG,323,1688420651,REQUEST,10,4
22,MSG,324,1688420651,REQUEST,11,4
22,MSG,325,1688420651,REQUEST,12,4
22,MSG,326,1688420651,REQUEST,13,4
22,MSG,327,1688420651,REQUEST,14,4
22,MSG,328,1688420651,REQUEST,15,4
22,MSG,329,1688420651,REQUEST,16,4
22,MSG,330,1688420651,REQUEST,17,4
22,MSG,331,1688420651,REQUEST,18,4
22,MSG,332,1688420651,REQUEST,19,4
22,MSG,333,1688420651,REQUEST,20,4
22,MSG,334,1688420651,REQUEST,21,4
22,MSG,335,1688420651,REQUEST,23,4
22,MSG,336,1688420651,REQUEST,24,4
22,MSG,337,1688420651,REQUEST,25,4
22,MSG,338,1688420651,REQUEST,26,4
22,MSG,339,1688420651,REQUEST,27,4
22,MSG,340,1688420651,REQUEST,28,4
22,MSG,341,1688420651,REQUEST,29,4
22,MSG,342,1688420651,REQUEST,30,4
22,MSG,343,1688420651,REQUEST,31,4
22,MSG,344,1688420651,REQUEST,32,4
22,MSG,345,1688420651,REQUEST,33,4
22,MSG,346,1688420651,REQUEST,34,4
22,MSG,347,1688420651,REQUEST,35,4
22,MSG,348,1688420651,REQUEST,36,4
22,MSG,349,1688420651,REQUEST,37,4
22,MSG,350,1688420651,REQUEST,38,4
