procID,event_type,logical_clock,real_clock,msg,msg_receiver,msg_ts
0,START,0,1688462894.1150193,,,
45,MSG,1,1688462894.1169703,REQUEST,5,0
45,MSG,2,1688462894.1169822,REQUEST,15,0
45,MSG,3,1688462894.1169891,REQUEST,25,0
45,MSG,4,1688462894.116996,REQUEST,35,0
45,MSG,5,1688462894.1170018,REQUEST,41,0
45,MSG,6,1688462894.117007,REQUEST,42,0
45,MSG,7,1688462894.1170151,REQUEST,43,0
45,MSG,8,1688462894.117026,REQUEST,44,0
45,MSG,9,1688462894.117034,REQUEST,45,0
45,MSG,10,1688462894.117045,REQUEST,46,0
45,MSG,11,1688462894.117053,REQUEST,47,0
45,MSG,12,1688462894.117061,REQUEST,48,0
45,MSG,13,1688462894.117069,REQUEST,49,0
45,MSG,14,1688462894.1170776,REQUEST,50,0
45,MSG,15,1688462894.1170852,REQUEST,55,0
45,MSG,16,1688462894.117097,REQUEST,65,0
45,MSG,17,1688462894.1171057,REQUEST,75,0
45,MSG,18,1688462894.1171148,REQUEST,85,0
45,MSG,19,1688462894.117124,REQUEST,95,0
45,CS_REQUESTED,20,1688462894.117132,,,
23,MSG,21,1688462894.1176355,REQUEST,3,0
23,MSG,22,1688462894.1176782,REQUEST,13,0
23,MSG,23,1688462894.117686,REQUEST,21,0
23,MSG,24,1688462894.117692,REQUEST,22,0
23,MSG,25,1688462894.1176975,REQUEST,23,0
23,MSG,26,1688462894.1177032,REQUEST,24,0
23,MSG,27,1688462894.1177087,REQUEST,25,0
23,MSG,28,1688462894.117714,REQUEST,26,0
23,MSG,29,1688462894.1177194,REQUEST,27,0
23,MSG,30,1688462894.1177247,REQUEST,28,0
23,MSG,31,1688462894.1177301,REQUEST,29,0
23,MSG,32,1688462894.117735,REQUEST,30,0
23,MSG,33,1688462894.1177404,REQUEST,33,0
23,MSG,34,1688462894.1177464,REQUEST,43,0
23,MSG,35,1688462894.117753,REQUEST,53,0
23,MSG,36,1688462894.117759,REQUEST,63,0
23,MSG,37,1688462894.117764,REQUEST,73,0
23,MSG,38,1688462894.1177695,REQUEST,83,0
23,MSG,39,1688462894.117775,REQUEST,93,0
23,CS_REQUESTED,40,1688462894.1177804,,,
82,MSG,41,1688462894.117949,REQUEST,2,0
82,MSG,42,1688462894.1179833,REQUEST,12,0
82,MSG,43,1688462894.1179903,REQUEST,22,0
82,MSG,44,1688462894.1179984,REQUEST,32,0
82,MSG,45,1688462894.1180048,REQUEST,42,0
82,MSG,46,1688462894.118011,REQUEST,52,0
82,MSG,47,1688462894.1180165,REQUEST,62,0
82,MSG,48,1688462894.1180234,REQUEST,72,0
82,MSG,49,1688462894.1180289,REQUEST,81,0
82,MSG,50,1688462894.1180334,REQUEST,82,0
82,MSG,51,1688462894.1180377,REQUEST,83,0
82,MSG,52,1688462894.1180427,REQUEST,84,0
82,MSG,53,1688462894.1180475,REQUEST,85,0
82,MSG,54,1688462894.1180787,REQUEST,86,0
82,MSG,55,1688462894.118085,REQUEST,87,0
