procID,event_type,logical_clock,real_clock,msg,msg_receiver,msg_ts
0,START,0,1688401337,,,
79,MSG,1,1688401337,REQUEST,9,0
79,MSG,2,1688401337,REQUEST,19,0
79,MSG,3,1688401337,REQUEST,29,0
79,MSG,4,1688401337,REQUEST,39,0
79,MSG,5,1688401337,REQUEST,49,0
79,MSG,6,1688401337,REQUEST,59,0
79,MSG,7,1688401337,REQUEST,69,0
79,MSG,8,1688401337,REQUEST,71,0
79,MSG,9,1688401337,REQUEST,72,0
79,MSG,10,1688401337,REQUEST,73,0
79,MSG,11,1688401337,REQUEST,74,0
79,MSG,12,1688401337,REQUEST,75,0
79,MSG,13,1688401337,REQUEST,76,0
79,MSG,14,1688401337,REQUEST,77,0
79,MSG,15,1688401337,REQUEST,78,0
79,MSG,16,1688401337,REQUEST,79,0
79,MSG,17,1688401337,REQUEST,80,0
79,MSG,18,1688401337,REQUEST,89,0
79,MSG,19,1688401337,REQUEST,99,0
79,CS_REQUESTED,20,1688401337,,,
55,MSG,21,1688401337,REQUEST,5,0
55,MSG,22,1688401337,REQUEST,15,0
55,MSG,23,1688401337,REQUEST,25,0
55,MSG,24,1688401337,REQUEST,35,0
55,MSG,25,1688401337,REQUEST,45,0
55,MSG,26,1688401337,REQUEST,51,0
55,MSG,27,1688401337,REQUEST,52,0
55,MSG,28,1688401337,REQUEST,53,0
55,MSG,29,1688401337,REQUEST,54,0
55,MSG,30,1688401337,REQUEST,55,0
55,MSG,31,1688401337,REQUEST,56,0
55,MSG,32,1688401337,REQUEST,57,0
55,MSG,33,1688401337,REQUEST,58,0
55,MSG,34,1688401337,REQUEST,59,0
55,MSG,35,1688401337,REQUEST,60,0
55,MSG,36,1688401337,REQUEST,65,0
55,MSG,37,1688401337,REQUEST,75,0
55,MSG,38,1688401337,REQUEST,85,0
55,MSG,39,1688401337,REQUEST,95,0
55,CS_REQUESTED,40,1688401337,,,
35,MSG,41,1688401337,REQUEST,5,0
35,MSG,42,1688401337,REQUEST,15,0
35,MSG,43,1688401337,REQUEST,25,0
35,MSG,44,1688401337,REQUEST,31,0
35,MSG,45,1688401337,REQUEST,32,0
35,MSG,46,1688401337,REQUEST,33,0
