procID,event_type,logical_clock,real_clock,msg,msg_receiver,msg_ts
0,START,0,1688396033,,,
7,MSG,1,1688396033,REQUEST,3,0
7,MSG,2,1688396033,REQUEST,5,0
7,MSG,3,1688396033,REQUEST,6,0
7,MSG,4,1688396033,REQUEST,7,0
7,MSG,5,1688396033,REQUEST,8,0
7,MSG,6,1688396033,REQUEST,11,0
7,MSG,7,1688396033,REQUEST,15,0
7,CS_REQUESTED,8,1688396033,,,
16,MSG,9,1688396033,REQUEST,4,0
16,MSG,10,1688396033,REQUEST,8,0
16,MSG,11,1688396033,REQUEST,12,0
16,MSG,12,1688396033,REQUEST,13,0
16,MSG,13,1688396033,REQUEST,14,0
16,MSG,14,1688396033,REQUEST,15,0
16,MSG,15,1688396033,REQUEST,16,0
16,CS_REQUESTED,16,1688396033,,,
6,MSG,17,1688396033,REQUEST,2,0
6,MSG,18,1688396033,REQUEST,5,0
6,MSG,19,1688396033,REQUEST,6,0
6,MSG,20,1688396033,REQUEST,7,0
6,MSG,21,1688396033,REQUEST,8,0
6,MSG,22,1688396033,REQUEST,10,0
6,MSG,23,1688396033,REQUEST,14,0
6,CS_REQUESTED,24,1688396033,,,
13,MSG,25,1688396033,ACK,16,0
14,MSG,26,1688396033,ACK,16,0
11,MSG,27,1688396033,ACK,7,0
2,MSG,28,1688396034,ACK,6,0
4,MSG,29,1688396034,ACK,16,0
15,MSG,30,1688396034,ACK,7,0
12,MSG,31,1688396034,REQUEST,4,0
12,MSG,32,1688396034,REQUEST,8,0
12,MSG,33,1688396034,REQUEST,9,0
12,MSG,34,1688396034,REQUEST,10,0
12,MSG,35,1688396034,REQUEST,11,0
12,MSG,36,1688396034,REQUEST,12,0
12,MSG,37,1688396034,REQUEST,16,0
12,CS_REQUESTED,38,1688396034,,,
8,MSG,39,1688396034,ACK,7,0
3,MSG,40,1688396034,ACK,7,0
10,MSG,41,1688396034,ACK,6,0
5,MSG,42,1688396034,ACK,7,0
7,MSG,43,1688396034,ACK,7,0
16,MSG,44,1688396034,ACK,16,0
6,MSG,45,1688396034,ACK,7,0
9,MSG,46,1688396035,ACK,12,0
12,MSG,47,1688396035,ACK,16,0
7,CS_ACCESS,48,1688396043,,,
7,MSG,49,1688396046,RELEASE,3,0
7,MSG,50,1688396046,RELEASE,5,0
7,MSG,51,1688396046,RELEASE,6,0
7,MSG,52,1688396046,RELEASE,7,0
7,MSG,53,1688396046,RELEASE,8,0
7,MSG,54,1688396046,RELEASE,11,0
7,MSG,55,1688396046,RELEASE,15,0
7,CS_LEAVE,56,1688396046,,,
6,MSG,57,1688396046,ACK,6,0
11,MSG,58,1688396046,ACK,12,0
15,MSG,59,1688396047,ACK,16,0
8,MSG,60,1688396047,ACK,16,0
5,MSG,61,1688396047,ACK,6,0
7,MSG,62,1688396047,ACK,6,0
16,CS_ACCESS,63,1688396049,,,
16,MSG,64,1688396052,RELEASE,4,0
16,MSG,65,1688396052,RELEASE,8,0
16,MSG,66,1688396052,RELEASE,12,0
16,MSG,67,1688396052,RELEASE,13,0
16,MSG,68,1688396052,RELEASE,14,0
16,MSG,69,1688396052,RELEASE,15,0
16,MSG,70,1688396052,RELEASE,16,0
16,CS_LEAVE,71,1688396052,,,
14,MSG,72,1688396052,ACK,6,0
4,MSG,73,1688396053,ACK,12,0
12,MSG,74,1688396053,ACK,12,0
8,MSG,75,1688396053,ACK,6,0
16,MSG,76,1688396053,ACK,12,0
6,CS_ACCESS,77,1688396055,,,
6,MSG,78,1688396058,RELEASE,2,0
6,MSG,79,1688396058,RELEASE,5,0
6,MSG,80,1688396058,RELEASE,6,0
6,MSG,81,1688396058,RELEASE,7,0
6,MSG,82,1688396058,RELEASE,8,0
6,MSG,83,1688396058,RELEASE,10,0
6,MSG,84,1688396058,RELEASE,14,0
6,CS_LEAVE,85,1688396058,,,
8,MSG,86,1688396059,ACK,12,0
10,MSG,87,1688396059,ACK,12,0
12,CS_ACCESS,88,1688396062,,,
8,PROC_STOPPED,89,1688396062,,,
3,PROC_STOPPED,90,1688396062,,,
10,PROC_STOPPED,91,1688396062,,,
5,PROC_STOPPED,92,1688396062,,,
7,PROC_STOPPED,93,1688396062,,,
16,PROC_STOPPED,94,1688396062,,,
6,PROC_STOPPED,95,1688396062,,,
13,PROC_STOPPED,96,1688396062,,,
14,PROC_STOPPED,97,1688396062,,,
11,PROC_STOPPED,98,1688396062,,,
2,PROC_STOPPED,99,1688396063,,,
9,PROC_STOPPED,100,1688396063,,,
1,PROC_STOPPED,101,1688396063,,,
4,PROC_STOPPED,102,1688396063,,,
15,PROC_STOPPED,103,1688396063,,,
12,PROC_STOPPED,104,1688396063,,,
0,END,105,1688396063,,,
