procID,event_type,logical_clock,real_clock,msg,msg_receiver,msg_ts
0,START,0,1688396223,,,
1,MSG,1,1688396224,REQUEST,1,0
1,MSG,2,1688396224,REQUEST,2,0
1,MSG,3,1688396224,REQUEST,3,0
1,MSG,4,1688396224,REQUEST,4,0
1,MSG,5,1688396224,REQUEST,5,0
1,MSG,6,1688396224,REQUEST,9,0
1,MSG,7,1688396224,REQUEST,13,0
1,CS_REQUESTED,8,1688396224,,,
5,MSG,9,1688396224,REQUEST,1,0
5,MSG,10,1688396224,REQUEST,5,0
5,MSG,11,1688396224,REQUEST,6,0
5,MSG,12,1688396224,REQUEST,7,0
5,MSG,13,1688396224,REQUEST,8,0
5,MSG,14,1688396224,REQUEST,9,0
5,MSG,15,1688396224,REQUEST,13,0
5,CS_REQUESTED,16,1688396224,,,
8,MSG,17,1688396224,REQUEST,4,0
8,MSG,18,1688396224,REQUEST,5,0
8,MSG,19,1688396224,REQUEST,6,0
8,MSG,20,1688396224,REQUEST,7,0
8,MSG,21,1688396224,REQUEST,8,0
6,MSG,22,1688396224,REQUEST,2,0
6,MSG,23,1688396224,REQUEST,5,0
6,MSG,24,1688396224,REQUEST,6,0
6,MSG,25,1688396224,REQUEST,7,0
6,MSG,26,1688396224,REQUEST,8,0
6,MSG,27,1688396224,REQUEST,10,0
6,MSG,28,1688396224,REQUEST,14,0
6,CS_REQUESTED,29,1688396224,,,
8,MSG,30,1688396224,REQUEST,12,0
8,MSG,31,1688396224,REQUEST,16,0
8,CS_REQUESTED,32,1688396224,,,
4,MSG,33,1688396224,REQUEST,1,0
4,MSG,34,1688396224,REQUEST,2,0
4,MSG,35,1688396224,REQUEST,3,0
4,MSG,36,1688396224,REQUEST,4,0
4,MSG,37,1688396224,REQUEST,8,0
4,MSG,38,1688396224,REQUEST,12,0
4,MSG,39,1688396224,REQUEST,16,0
4,CS_REQUESTED,40,1688396224,,,
15,MSG,41,1688396224,REQUEST,3,0
15,MSG,42,1688396224,REQUEST,7,0
15,MSG,43,1688396224,REQUEST,11,0
15,MSG,44,1688396224,REQUEST,13,0
15,MSG,45,1688396224,REQUEST,14,0
15,MSG,46,1688396224,REQUEST,15,0
15,MSG,47,1688396224,REQUEST,16,0
15,CS_REQUESTED,48,1688396224,,,
3,MSG,49,1688396224,REQUEST,1,0
3,MSG,50,1688396224,REQUEST,2,0
3,MSG,51,1688396224,REQUEST,3,0
3,MSG,52,1688396224,REQUEST,4,0
3,MSG,53,1688396224,REQUEST,7,0
3,MSG,54,1688396224,REQUEST,11,0
3,MSG,55,1688396224,REQUEST,15,0
3,CS_REQUESTED,56,1688396224,,,
10,MSG,57,1688396224,REQUEST,2,0
10,MSG,58,1688396224,REQUEST,6,0
10,MSG,59,1688396224,REQUEST,9,0
10,MSG,60,1688396224,REQUEST,10,0
10,MSG,61,1688396224,REQUEST,11,0
10,MSG,62,1688396224,REQUEST,12,0
10,MSG,63,1688396224,REQUEST,14,0
10,CS_REQUESTED,64,1688396224,,,
2,MSG,65,1688396224,ACK,1,0
9,MSG,66,1688396224,REQUEST,1,0
9,MSG,67,1688396224,REQUEST,5,0
9,MSG,68,1688396224,REQUEST,9,0
9,MSG,69,1688396224,REQUEST,10,0
9,MSG,70,1688396224,REQUEST,11,0
9,MSG,71,1688396224,REQUEST,12,0
9,MSG,72,1688396224,REQUEST,13,0
9,CS_REQUESTED,73,1688396224,,,
13,MSG,74,1688396224,REQUEST,1,0
13,MSG,75,1688396224,REQUEST,5,0
13,MSG,76,1688396224,REQUEST,9,0
13,MSG,77,1688396224,REQUEST,13,0
13,MSG,78,1688396224,REQUEST,14,0
13,MSG,79,1688396224,REQUEST,15,0
13,MSG,80,1688396224,REQUEST,16,0
13,CS_REQUESTED,81,1688396224,,,
12,MSG,82,1688396224,ACK,8,0
11,MSG,83,1688396224,REQUEST,3,0
11,MSG,84,1688396224,REQUEST,7,0
11,MSG,85,1688396224,REQUEST,9,0
11,MSG,86,1688396224,REQUEST,10,0
11,MSG,87,1688396224,REQUEST,11,0
11,MSG,88,1688396224,REQUEST,12,0
11,MSG,89,1688396224,REQUEST,15,0
11,CS_REQUESTED,90,1688396224,,,
16,MSG,91,1688396224,REQUEST,4,0
14,MSG,92,1688396224,ACK,6,0
7,MSG,93,1688396224,ACK,5,0
16,MSG,94,1688396224,REQUEST,8,0
16,MSG,95,1688396224,REQUEST,12,0
16,MSG,96,1688396224,REQUEST,13,0
16,MSG,97,1688396224,REQUEST,14,0
16,MSG,98,1688396224,REQUEST,15,0
16,MSG,99,1688396224,REQUEST,16,0
16,CS_REQUESTED,100,1688396224,,,
1,MSG,101,1688396225,ACK,1,0
5,MSG,102,1688396225,ACK,1,0
8,MSG,103,1688396225,ACK,5,0
6,MSG,104,1688396225,ACK,5,0
4,MSG,105,1688396225,ACK,1,0
15,MSG,106,1688396225,ACK,15,0
3,MSG,107,1688396225,ACK,1,0
10,MSG,108,1688396225,ACK,6,0
