procID,event_type,logical_clock,real_clock,msg,msg_receiver,msg_ts
0,START,0,1688396567,,,
8,MSG,1,1688396568,REQUEST,3,0
8,MSG,2,1688396568,REQUEST,6,0
8,MSG,3,1688396568,REQUEST,7,0
8,MSG,4,1688396568,REQUEST,8,0
8,MSG,5,1688396568,REQUEST,9,0
8,MSG,6,1688396568,REQUEST,10,0
8,MSG,7,1688396568,REQUEST,13,0
8,MSG,8,1688396568,REQUEST,18,0
8,MSG,9,1688396568,REQUEST,23,0
8,CS_REQUESTED,10,1688396568,,,
13,MSG,11,1688396568,ACK,8,0
4,MSG,12,1688396568,REQUEST,1,0
4,MSG,13,1688396568,REQUEST,2,0
4,MSG,14,1688396568,REQUEST,3,0
4,MSG,15,1688396568,REQUEST,4,0
4,MSG,16,1688396568,REQUEST,5,0
4,MSG,17,1688396568,REQUEST,9,0
4,MSG,18,1688396568,REQUEST,14,0
4,MSG,19,1688396568,REQUEST,19,0
4,MSG,20,1688396568,REQUEST,24,0
4,CS_REQUESTED,21,1688396568,,,
24,MSG,22,1688396568,ACK,4,0
5,MSG,23,1688396568,ACK,4,0
3,MSG,24,1688396568,ACK,8,0
16,MSG,25,1688396568,REQUEST,1,0
16,MSG,26,1688396568,REQUEST,6,0
16,MSG,27,1688396568,REQUEST,11,0
16,MSG,28,1688396568,REQUEST,16,0
16,MSG,29,1688396568,REQUEST,17,0
16,MSG,30,1688396568,REQUEST,18,0
16,MSG,31,1688396568,REQUEST,19,0
16,MSG,32,1688396568,REQUEST,20,0
16,MSG,33,1688396568,REQUEST,21,0
16,CS_REQUESTED,34,1688396568,,,
19,MSG,35,1688396568,REQUEST,4,0
19,MSG,36,1688396568,REQUEST,9,0
19,MSG,37,1688396568,REQUEST,14,0
19,MSG,38,1688396568,REQUEST,16,0
19,MSG,39,1688396568,REQUEST,17,0
19,MSG,40,1688396568,REQUEST,18,0
19,MSG,41,1688396568,REQUEST,19,0
19,MSG,42,1688396568,REQUEST,20,0
19,MSG,43,1688396568,REQUEST,24,0
19,CS_REQUESTED,44,1688396568,,,
11,MSG,45,1688396568,ACK,16,0
20,MSG,46,1688396568,ACK,16,0
18,MSG,47,1688396568,ACK,8,0
1,MSG,48,1688396568,REQUEST,1,0
1,MSG,49,1688396568,REQUEST,2,0
1,MSG,50,1688396568,REQUEST,3,0
1,MSG,51,1688396568,REQUEST,4,0
1,MSG,52,1688396568,REQUEST,5,0
1,MSG,53,1688396568,REQUEST,6,0
1,MSG,54,1688396568,REQUEST,11,0
1,MSG,55,1688396568,REQUEST,16,0
1,MSG,56,1688396568,REQUEST,21,0
1,CS_REQUESTED,57,1688396568,,,
21,MSG,58,1688396568,REQUEST,1,0
2,MSG,59,1688396568,ACK,4,0
21,MSG,60,1688396568,REQUEST,6,0
21,MSG,61,1688396568,REQUEST,11,0
21,MSG,62,1688396568,REQUEST,16,0
21,MSG,63,1688396568,REQUEST,21,0
21,MSG,64,1688396568,REQUEST,22,0
21,MSG,65,1688396568,REQUEST,23,0
21,MSG,66,1688396568,REQUEST,24,0
21,MSG,67,1688396568,REQUEST,25,0
21,CS_REQUESTED,68,1688396568,,,
10,MSG,69,1688396569,ACK,8,0
9,MSG,70,1688396569,ACK,8,0
23,MSG,71,1688396569,ACK,8,0
6,MSG,72,1688396569,ACK,8,0
7,MSG,73,1688396569,ACK,8,0
14,MSG,74,1688396569,ACK,4,0
