procID,event_type,logical_clock,real_clock,msg,msg_receiver,msg_ts
0,START,0,1688466671.1038945,,,
24,MSG,1,1688466671.221592,REQUEST,6,0
24,MSG,2,1688466671.2216237,REQUEST,12,0
24,MSG,3,1688466671.2216306,REQUEST,18,0
24,MSG,4,1688466671.2216363,REQUEST,19,0
24,MSG,5,1688466671.2216413,REQUEST,20,0
24,MSG,6,1688466671.2216468,REQUEST,21,0
24,MSG,7,1688466671.2216527,REQUEST,22,0
24,MSG,8,1688466671.2216604,REQUEST,23,0
24,MSG,9,1688466671.221668,REQUEST,24,0
24,MSG,10,1688466671.2216785,REQUEST,30,0
24,MSG,11,1688466671.2216876,REQUEST,36,0
24,CS_REQUESTED,12,1688466671.221696,,,
6,MSG,13,1688466671.276893,ACK,24,0
20,MSG,14,1688466671.2836733,ACK,24,0
9,MSG,15,1688466671.2967296,REQUEST,3,0
9,MSG,16,1688466671.2967498,REQUEST,7,0
9,MSG,17,1688466671.29676,REQUEST,8,0
9,MSG,18,1688466671.2967696,REQUEST,9,0
9,MSG,19,1688466671.296778,REQUEST,10,0
9,MSG,20,1688466671.296787,REQUEST,11,0
9,MSG,21,1688466671.2967954,REQUEST,12,0
9,MSG,22,1688466671.2968047,REQUEST,15,0
9,MSG,23,1688466671.2968128,REQUEST,21,0
9,MSG,24,1688466671.2968209,REQUEST,27,0
9,MSG,25,1688466671.2968352,REQUEST,33,0
9,CS_REQUESTED,26,1688466671.2968423,,,
10,MSG,27,1688466671.3035116,REQUEST,4,0
10,MSG,28,1688466671.3035426,REQUEST,7,0
10,MSG,29,1688466671.3035502,REQUEST,8,0
10,MSG,30,1688466671.3035572,REQUEST,9,0
10,MSG,31,1688466671.3035653,REQUEST,10,0
10,MSG,32,1688466671.3035736,REQUEST,11,0
10,MSG,33,1688466671.303582,REQUEST,12,0
10,MSG,34,1688466671.3035922,REQUEST,16,0
10,MSG,35,1688466671.3036041,REQUEST,22,0
10,MSG,36,1688466671.3036146,REQUEST,28,0
