procID,event_type,logical_clock,real_clock,msg,msg_receiver,msg_ts
0,START,0,1688397292,,,
9,MSG,1,1688397292,REQUEST,3,0
9,MSG,2,1688397292,REQUEST,7,0
9,MSG,3,1688397292,REQUEST,8,0
9,MSG,4,1688397292,REQUEST,9,0
9,MSG,5,1688397292,REQUEST,10,0
9,MSG,6,1688397292,REQUEST,11,0
9,MSG,7,1688397292,REQUEST,12,0
9,MSG,8,1688397292,REQUEST,15,0
9,MSG,9,1688397292,REQUEST,21,0
9,MSG,10,1688397292,REQUEST,27,0
9,MSG,11,1688397292,REQUEST,33,0
9,CS_REQUESTED,12,1688397292,,,
17,MSG,13,1688397292,REQUEST,5,0
17,MSG,14,1688397292,REQUEST,11,0
17,MSG,15,1688397292,REQUEST,13,0
17,MSG,16,1688397292,REQUEST,14,0
17,MSG,17,1688397292,REQUEST,15,0
17,MSG,18,1688397292,REQUEST,16,0
17,MSG,19,1688397292,REQUEST,17,0
17,MSG,20,1688397292,REQUEST,18,0
17,MSG,21,1688397292,REQUEST,23,0
17,MSG,22,1688397292,REQUEST,29,0
17,MSG,23,1688397292,REQUEST,35,0
17,CS_REQUESTED,24,1688397292,,,
3,MSG,25,1688397292,ACK,9,0
10,MSG,26,1688397292,REQUEST,4,0
10,MSG,27,1688397292,REQUEST,7,0
10,MSG,28,1688397292,REQUEST,8,0
10,MSG,29,1688397292,REQUEST,9,0
10,MSG,30,1688397292,REQUEST,10,0
10,MSG,31,1688397292,REQUEST,11,0
10,MSG,32,1688397292,REQUEST,12,0
10,MSG,33,1688397292,REQUEST,16,0
10,MSG,34,1688397292,REQUEST,22,0
10,MSG,35,1688397292,REQUEST,28,0
10,MSG,36,1688397292,REQUEST,34,0
10,CS_REQUESTED,37,1688397292,,,
34,MSG,38,1688397292,REQUEST,4,0
33,MSG,39,1688397292,REQUEST,3,0
33,MSG,40,1688397292,REQUEST,9,0
33,MSG,41,1688397292,REQUEST,15,0
33,MSG,42,1688397292,REQUEST,21,0
33,MSG,43,1688397292,REQUEST,27,0
33,MSG,44,1688397292,REQUEST,31,0
33,MSG,45,1688397292,REQUEST,32,0
33,MSG,46,1688397292,REQUEST,33,0
33,MSG,47,1688397292,REQUEST,34,0
33,MSG,48,1688397292,REQUEST,35,0
33,MSG,49,1688397292,REQUEST,36,0
33,CS_REQUESTED,50,1688397292,,,
34,MSG,51,1688397292,REQUEST,10,0
