procID,event_type,logical_clock,real_clock,msg,msg_receiver,msg_ts
0,START,0,1688397513,,,
31,MSG,1,1688397513,REQUEST,1,0
31,MSG,2,1688397513,REQUEST,7,0
31,MSG,3,1688397513,REQUEST,13,0
31,MSG,4,1688397513,REQUEST,19,0
31,MSG,5,1688397513,REQUEST,25,0
31,MSG,6,1688397513,REQUEST,31,0
31,MSG,7,1688397513,REQUEST,32,0
31,MSG,8,1688397513,REQUEST,33,0
31,MSG,9,1688397513,REQUEST,34,0
31,MSG,10,1688397513,REQUEST,35,0
31,MSG,11,1688397513,REQUEST,36,0
31,CS_REQUESTED,12,1688397513,,,
21,MSG,13,1688397513,REQUEST,3,0
19,MSG,14,1688397513,ACK,31,0
21,MSG,15,1688397513,REQUEST,9,0
21,MSG,16,1688397513,REQUEST,15,0
21,MSG,17,1688397513,REQUEST,19,0
21,MSG,18,1688397513,REQUEST,20,0
21,MSG,19,1688397513,REQUEST,21,0
21,MSG,20,1688397513,REQUEST,22,0
21,MSG,21,1688397513,REQUEST,23,0
21,MSG,22,1688397513,REQUEST,24,0
21,MSG,23,1688397513,REQUEST,27,0
21,MSG,24,1688397513,REQUEST,33,0
21,CS_REQUESTED,25,1688397513,,,
12,MSG,26,1688397513,REQUEST,6,0
12,MSG,27,1688397513,REQUEST,7,0
12,MSG,28,1688397513,REQUEST,8,0
12,MSG,29,1688397513,REQUEST,9,0
12,MSG,30,1688397513,REQUEST,10,0
12,MSG,31,1688397513,REQUEST,11,0
12,MSG,32,1688397513,REQUEST,12,0
12,MSG,33,1688397513,REQUEST,18,0
12,MSG,34,1688397513,REQUEST,24,0
12,MSG,35,1688397513,REQUEST,30,0
12,MSG,36,1688397513,REQUEST,36,0
12,CS_REQUESTED,37,1688397513,,,
15,MSG,38,1688397513,REQUEST,3,0
15,MSG,39,1688397513,REQUEST,9,0
15,MSG,40,1688397513,REQUEST,13,0
15,MSG,41,1688397513,REQUEST,14,0
15,MSG,42,1688397513,REQUEST,15,0
15,MSG,43,1688397513,REQUEST,16,0
15,MSG,44,1688397513,REQUEST,17,0
15,MSG,45,1688397513,REQUEST,18,0
15,MSG,46,1688397513,REQUEST,21,0
15,MSG,47,1688397513,REQUEST,27,0
15,MSG,48,1688397513,REQUEST,33,0
15,CS_REQUESTED,49,1688397513,,,
25,MSG,50,1688397513,REQUEST,1,0
25,MSG,51,1688397513,REQUEST,7,0
25,MSG,52,1688397513,REQUEST,13,0
25,MSG,53,1688397513,REQUEST,19,0
25,MSG,54,1688397513,REQUEST,25,0
25,MSG,55,1688397513,REQUEST,26,0
25,MSG,56,1688397513,REQUEST,27,0
25,MSG,57,1688397513,REQUEST,28,0
25,MSG,58,1688397513,REQUEST,29,0
25,MSG,59,1688397513,REQUEST,30,0
25,MSG,60,1688397513,REQUEST,31,0
25,CS_REQUESTED,61,1688397513,,,
32,MSG,62,1688397513,REQUEST,2,0
32,MSG,63,1688397513,REQUEST,8,0
32,MSG,64,1688397513,REQUEST,14,0
32,MSG,65,1688397513,REQUEST,20,0
32,MSG,66,1688397513,REQUEST,26,0
32,MSG,67,1688397513,REQUEST,31,0
32,MSG,68,1688397513,REQUEST,32,0
32,MSG,69,1688397513,REQUEST,33,0
32,MSG,70,1688397513,REQUEST,34,0
32,MSG,71,1688397513,REQUEST,35,0
32,MSG,72,1688397513,REQUEST,36,0
32,CS_REQUESTED,73,1688397513,,,
8,MSG,74,1688397513,ACK,12,0
27,MSG,75,1688397513,REQUEST,3,0
27,MSG,76,1688397513,REQUEST,9,0
27,MSG,77,1688397513,REQUEST,15,0
30,MSG,78,1688397513,REQUEST,6,0
30,MSG,79,1688397513,REQUEST,12,0
30,MSG,80,1688397513,REQUEST,18,0
30,MSG,81,1688397513,REQUEST,24,0
30,MSG,82,1688397513,REQUEST,25,0
30,MSG,83,1688397513,REQUEST,26,0
30,MSG,84,1688397513,REQUEST,27,0
30,MSG,85,1688397513,REQUEST,28,0
30,MSG,86,1688397513,REQUEST,29,0
30,MSG,87,1688397513,REQUEST,30,0
30,MSG,88,1688397513,REQUEST,36,0
30,CS_REQUESTED,89,1688397513,,,
27,MSG,90,1688397513,REQUEST,21,0
27,MSG,91,1688397513,REQUEST,25,0
27,MSG,92,1688397513,REQUEST,26,0
27,MSG,93,1688397513,REQUEST,27,0
27,MSG,94,1688397513,REQUEST,28,0
27,MSG,95,1688397513,REQUEST,29,0
27,MSG,96,1688397513,REQUEST,30,0
27,MSG,97,1688397513,REQUEST,33,0
27,CS_REQUESTED,98,1688397513,,,
13,MSG,99,1688397513,REQUEST,1,0
13,MSG,100,1688397513,REQUEST,7,0
13,MSG,101,1688397513,REQUEST,13,0
13,MSG,102,1688397513,REQUEST,14,0
13,MSG,103,1688397513,REQUEST,15,0
13,MSG,104,1688397513,REQUEST,16,0
13,MSG,105,1688397513,REQUEST,17,0
13,MSG,106,1688397513,REQUEST,18,0
13,MSG,107,1688397513,REQUEST,19,0
13,MSG,108,1688397513,REQUEST,25,0
13,MSG,109,1688397513,REQUEST,31,0
13,CS_REQUESTED,110,1688397513,,,
7,MSG,111,1688397514,ACK,31,0
2,MSG,112,1688397514,ACK,32,0
23,MSG,113,1688397514,REQUEST,5,0
23,MSG,114,1688397514,REQUEST,11,0
23,MSG,115,1688397514,REQUEST,17,0
23,MSG,116,1688397514,REQUEST,19,0
23,MSG,117,1688397514,REQUEST,20,0
23,MSG,118,1688397514,REQUEST,21,0
23,MSG,119,1688397514,REQUEST,22,0
23,MSG,120,1688397514,REQUEST,23,0
23,MSG,121,1688397514,REQUEST,24,0
23,MSG,122,1688397514,REQUEST,29,0
23,MSG,123,1688397514,REQUEST,35,0
23,CS_REQUESTED,124,1688397514,,,
17,MSG,125,1688397514,REQUEST,5,0
17,MSG,126,1688397514,REQUEST,11,0
17,MSG,127,1688397514,REQUEST,13,0
17,MSG,128,1688397514,REQUEST,14,0
17,MSG,129,1688397514,REQUEST,15,0
17,MSG,130,1688397514,REQUEST,16,0
17,MSG,131,1688397514,REQUEST,17,0
17,MSG,132,1688397514,REQUEST,18,0
17,MSG,133,1688397514,REQUEST,23,0
17,MSG,134,1688397514,REQUEST,29,0
17,MSG,135,1688397514,REQUEST,35,0
17,CS_REQUESTED,136,1688397514,,,
26,MSG,137,1688397514,REQUEST,2,0
26,MSG,138,1688397514,REQUEST,8,0
26,MSG,139,1688397514,REQUEST,14,0
26,MSG,140,1688397514,REQUEST,20,0
26,MSG,141,1688397514,REQUEST,25,0
26,MSG,142,1688397514,REQUEST,26,0
26,MSG,143,1688397514,REQUEST,27,0
26,MSG,144,1688397514,REQUEST,28,0
26,MSG,145,1688397514,REQUEST,29,0
26,MSG,146,1688397514,REQUEST,30,0
26,MSG,147,1688397514,REQUEST,32,0
26,CS_REQUESTED,148,1688397514,,,
3,MSG,149,1688397514,REQUEST,1,0
3,MSG,150,1688397514,REQUEST,2,0
3,MSG,151,1688397514,REQUEST,3,0
3,MSG,152,1688397514,REQUEST,4,0
3,MSG,153,1688397514,REQUEST,5,0
3,MSG,154,1688397514,REQUEST,6,0
