procID,event_type,logical_clock,real_clock,msg,msg_receiver,msg_ts
0,START,0,1688397798,,,
27,MSG,1,1688397798,REQUEST,3,0
27,MSG,2,1688397798,REQUEST,9,0
27,MSG,3,1688397798,REQUEST,15,0
27,MSG,4,1688397798,REQUEST,21,0
27,MSG,5,1688397798,REQUEST,25,0
27,MSG,6,1688397798,REQUEST,26,0
27,MSG,7,1688397798,REQUEST,27,0
27,MSG,8,1688397798,REQUEST,28,0
27,MSG,9,1688397798,REQUEST,29,0
27,MSG,10,1688397798,REQUEST,30,0
27,MSG,11,1688397798,REQUEST,33,0
27,CS_REQUESTED,12,1688397798,,,
23,MSG,13,1688397798,REQUEST,5,0
23,MSG,14,1688397798,REQUEST,11,0
23,MSG,15,1688397798,REQUEST,17,0
23,MSG,16,1688397798,REQUEST,19,0
23,MSG,17,1688397798,REQUEST,20,0
23,MSG,18,1688397798,REQUEST,21,0
23,MSG,19,1688397798,REQUEST,22,0
23,MSG,20,1688397798,REQUEST,23,0
23,MSG,21,1688397798,REQUEST,24,0
23,MSG,22,1688397798,REQUEST,29,0
23,MSG,23,1688397798,REQUEST,35,0
23,CS_REQUESTED,24,1688397798,,,
28,MSG,25,1688397798,REQUEST,4,0
28,MSG,26,1688397798,REQUEST,10,0
28,MSG,27,1688397798,REQUEST,16,0
28,MSG,28,1688397798,REQUEST,22,0
28,MSG,29,1688397798,REQUEST,25,0
28,MSG,30,1688397798,REQUEST,26,0
28,MSG,31,1688397798,REQUEST,27,0
28,MSG,32,1688397798,REQUEST,28,0
28,MSG,33,1688397798,REQUEST,29,0
28,MSG,34,1688397798,REQUEST,30,0
28,MSG,35,1688397798,REQUEST,34,0
28,CS_REQUESTED,36,1688397798,,,
20,MSG,37,1688397798,REQUEST,2,0
20,MSG,38,1688397798,REQUEST,8,0
20,MSG,39,1688397798,REQUEST,14,0
20,MSG,40,1688397798,REQUEST,19,0
20,MSG,41,1688397798,REQUEST,20,0
20,MSG,42,1688397798,REQUEST,21,0
20,MSG,43,1688397798,REQUEST,22,0
20,MSG,44,1688397798,REQUEST,23,0
20,MSG,45,1688397798,REQUEST,24,0
20,MSG,46,1688397798,REQUEST,26,0
20,MSG,47,1688397798,REQUEST,32,0
20,CS_REQUESTED,48,1688397798,,,
31,MSG,49,1688397798,REQUEST,1,0
31,MSG,50,1688397798,REQUEST,7,0
31,MSG,51,1688397798,REQUEST,13,0
31,MSG,52,1688397798,REQUEST,19,0
