procID,event_type,logical_clock,real_clock,msg,msg_receiver,msg_ts
0,START,0,1688421081,,,
11,MSG,1,1688421085,REQUEST,4,0
11,MSG,2,1688421085,REQUEST,8,0
11,MSG,3,1688421085,REQUEST,9,0
11,MSG,4,1688421085,REQUEST,10,0
11,MSG,5,1688421085,REQUEST,11,0
11,MSG,6,1688421085,REQUEST,12,0
11,MSG,7,1688421085,REQUEST,13,0
11,MSG,8,1688421085,REQUEST,14,0
11,MSG,9,1688421085,REQUEST,18,0
11,MSG,10,1688421085,REQUEST,25,0
11,MSG,11,1688421085,REQUEST,32,0
11,MSG,12,1688421085,REQUEST,39,0
11,MSG,13,1688421085,REQUEST,46,0
11,CS_REQUESTED,14,1688421085,,,
32,MSG,15,1688421085,ACK,11,0
14,MSG,16,1688421085,ACK,11,0
9,MSG,17,1688421085,ACK,11,0
8,MSG,18,1688421085,ACK,11,0
18,MSG,19,1688421085,ACK,11,0
4,MSG,20,1688421085,ACK,11,0
13,MSG,21,1688421085,ACK,11,0
25,MSG,22,1688421085,ACK,11,0
10,MSG,23,1688421085,ACK,11,0
39,MSG,24,1688421086,ACK,11,0
46,MSG,25,1688421086,ACK,11,0
12,MSG,26,1688421086,ACK,11,0
11,MSG,27,1688421086,ACK,11,0
3,MSG,28,1688421089,REQUEST,1,0
3,MSG,29,1688421089,REQUEST,2,0
3,MSG,30,1688421089,REQUEST,3,0
3,MSG,31,1688421089,REQUEST,4,0
3,MSG,32,1688421089,REQUEST,5,0
3,MSG,33,1688421089,REQUEST,6,0
3,MSG,34,1688421089,REQUEST,7,0
3,MSG,35,1688421089,REQUEST,10,0
3,MSG,36,1688421089,REQUEST,17,0
3,MSG,37,1688421089,REQUEST,24,0
3,MSG,38,1688421089,REQUEST,31,0
3,MSG,39,1688421089,REQUEST,38,0
3,MSG,40,1688421089,REQUEST,45,0
3,CS_REQUESTED,41,1688421089,,,
1,MSG,42,1688421089,ACK,3,0
12,MSG,43,1688421089,REQUEST,5,0
12,MSG,44,1688421089,REQUEST,8,0
12,MSG,45,1688421089,REQUEST,9,0
12,MSG,46,1688421089,REQUEST,10,0
12,MSG,47,1688421089,REQUEST,11,0
12,MSG,48,1688421089,REQUEST,12,0
12,MSG,49,1688421089,REQUEST,13,0
12,MSG,50,1688421089,REQUEST,14,0
12,MSG,51,1688421089,REQUEST,19,0
12,MSG,52,1688421089,REQUEST,26,0
12,MSG,53,1688421089,REQUEST,33,0
12,MSG,54,1688421089,REQUEST,40,0
12,MSG,55,1688421089,REQUEST,47,0
12,CS_REQUESTED,56,1688421089,,,
45,MSG,57,1688421089,ACK,3,0
38,MSG,58,1688421089,ACK,3,0
19,MSG,59,1688421089,ACK,12,0
6,MSG,60,1688421089,ACK,3,0
33,MSG,61,1688421089,ACK,12,0
26,MSG,62,1688421089,ACK,12,0
5,MSG,63,1688421089,ACK,3,0
31,MSG,64,1688421089,ACK,3,0
30,MSG,65,1688421089,REQUEST,2,0
30,MSG,66,1688421089,REQUEST,9,0
30,MSG,67,1688421089,REQUEST,16,0
30,MSG,68,1688421089,REQUEST,23,0
30,MSG,69,1688421089,REQUEST,29,0
30,MSG,70,1688421089,REQUEST,30,0
30,MSG,71,1688421089,REQUEST,31,0
30,MSG,72,1688421089,REQUEST,32,0
30,MSG,73,1688421089,REQUEST,33,0
30,MSG,74,1688421089,REQUEST,34,0
30,MSG,75,1688421089,REQUEST,35,0
30,MSG,76,1688421089,REQUEST,37,0
30,MSG,77,1688421089,REQUEST,44,0
