procID,event_type,logical_clock,real_clock,msg,msg_receiver,msg_ts
0,START,0,1688467151.016566,,,
25,MSG,1,1688467151.0281641,REQUEST,4,0
25,MSG,2,1688467151.0282032,REQUEST,11,0
25,MSG,3,1688467151.0282135,REQUEST,18,0
25,MSG,4,1688467151.0282195,REQUEST,22,0
25,MSG,5,1688467151.0282247,REQUEST,23,0
25,MSG,6,1688467151.0282342,REQUEST,24,0
25,MSG,7,1688467151.028241,REQUEST,25,0
25,MSG,8,1688467151.0282462,REQUEST,26,0
25,MSG,9,1688467151.028251,REQUEST,27,0
25,MSG,10,1688467151.028256,REQUEST,28,0
25,MSG,11,1688467151.028261,REQUEST,32,0
25,MSG,12,1688467151.0282671,REQUEST,39,0
25,MSG,13,1688467151.0282726,REQUEST,46,0
25,CS_REQUESTED,14,1688467151.0282772,,,
39,MSG,15,1688467151.0339065,REQUEST,4,0
39,MSG,16,1688467151.0339382,REQUEST,11,0
39,MSG,17,1688467151.0339491,REQUEST,18,0
39,MSG,18,1688467151.0339582,REQUEST,25,0
39,MSG,19,1688467151.0339663,REQUEST,32,0
39,MSG,20,1688467151.0339758,REQUEST,36,0
39,MSG,21,1688467151.033986,REQUEST,37,0
39,MSG,22,1688467151.0339959,REQUEST,38,0
39,MSG,23,1688467151.0340042,REQUEST,39,0
39,MSG,24,1688467151.0340133,REQUEST,40,0
39,MSG,25,1688467151.0340273,REQUEST,41,0
39,MSG,26,1688467151.0340362,REQUEST,42,0
39,MSG,27,1688467151.0340438,REQUEST,46,0
39,CS_REQUESTED,28,1688467151.0340507,,,
38,MSG,29,1688467151.0411227,ACK,39,0
31,MSG,30,1688467151.0723362,REQUEST,3,0
31,MSG,31,1688467151.0723584,REQUEST,10,0
31,MSG,32,1688467151.0723686,REQUEST,17,0
31,MSG,33,1688467151.0723782,REQUEST,24,0
31,MSG,34,1688467151.072387,REQUEST,29,0
31,MSG,35,1688467151.072395,REQUEST,30,0
31,MSG,36,1688467151.072401,REQUEST,31,0
31,MSG,37,1688467151.0724065,REQUEST,32,0
31,MSG,38,1688467151.0724127,REQUEST,33,0
31,MSG,39,1688467151.072418,REQUEST,34,0
31,MSG,40,1688467151.0724237,REQUEST,35,0
31,MSG,41,1688467151.072429,REQUEST,38,0
31,MSG,42,1688467151.0724416,REQUEST,45,0
31,CS_REQUESTED,43,1688467151.0724468,,,
11,MSG,44,1688467151.0807498,REQUEST,4,0
13,MSG,45,1688467151.0807896,REQUEST,6,0
13,MSG,46,1688467151.080812,REQUEST,8,0
13,MSG,47,1688467151.0808246,REQUEST,9,0
13,MSG,48,1688467151.080841,REQUEST,10,0
13,MSG,49,1688467151.0808513,REQUEST,11,0
13,MSG,50,1688467151.0808682,REQUEST,12,0
13,MSG,51,1688467151.0808766,REQUEST,13,0
13,MSG,52,1688467151.0808911,REQUEST,14,0
13,MSG,53,1688467151.0809016,REQUEST,20,0
13,MSG,54,1688467151.0809164,REQUEST,27,0
13,MSG,55,1688467151.080925,REQUEST,34,0
13,MSG,56,1688467151.0809355,REQUEST,41,0
13,MSG,57,1688467151.0809467,REQUEST,48,0
13,CS_REQUESTED,58,1688467151.0809567,,,
11,MSG,59,1688467151.080977,REQUEST,8,0
11,MSG,60,1688467151.080991,REQUEST,9,0
11,MSG,61,1688467151.0810025,REQUEST,10,0
11,MSG,62,1688467151.081052,REQUEST,11,0
11,MSG,63,1688467151.081067,REQUEST,12,0
11,MSG,64,1688467151.0810754,REQUEST,13,0
11,MSG,65,1688467151.0810866,REQUEST,14,0
11,MSG,66,1688467151.0811017,REQUEST,18,0
11,MSG,67,1688467151.0811138,REQUEST,25,0
11,MSG,68,1688467151.0811262,REQUEST,32,0
11,MSG,69,1688467151.081206,REQUEST,39,0
11,MSG,70,1688467151.0812252,REQUEST,46,0
11,CS_REQUESTED,71,1688467151.0812356,,,
21,MSG,72,1688467151.0901692,REQUEST,7,0
21,MSG,73,1688467151.0901983,REQUEST,14,0
21,MSG,74,1688467151.09021,REQUEST,15,0
21,MSG,75,1688467151.0902498,REQUEST,16,0
21,MSG,76,1688467151.0902636,REQUEST,17,0
21,MSG,77,1688467151.0902736,REQUEST,18,0
21,MSG,78,1688467151.0902817,REQUEST,19,0
21,MSG,79,1688467151.0902882,REQUEST,20,0
21,MSG,80,1688467151.0902936,REQUEST,21,0
21,MSG,81,1688467151.0903003,REQUEST,28,0
21,MSG,82,1688467151.0903068,REQUEST,35,0
21,MSG,83,1688467151.0903132,REQUEST,42,0
21,MSG,84,1688467151.0903199,REQUEST,49,0
21,CS_REQUESTED,85,1688467151.0903254,,,
22,MSG,86,1688467151.1036956,ACK,25,0
37,MSG,87,1688467151.103726,ACK,39,0
34,MSG,88,1688467151.120764,ACK,31,0
30,MSG,89,1688467151.1207871,ACK,31,0
15,MSG,90,1688467151.1357057,ACK,21,0
41,MSG,91,1688467151.1428957,ACK,39,0
32,MSG,92,1688467151.1517239,ACK,25,0
4,MSG,93,1688467151.1517515,ACK,25,0
44,MSG,94,1688467151.1651256,REQUEST,2,0
44,MSG,95,1688467151.1651561,REQUEST,9,0
