procID,event_type,logical_clock,real_clock,msg,msg_receiver,msg_ts
0,START,0,1688467445.8250937,,,
22,MSG,1,1688467445.8416386,REQUEST,1,0
22,MSG,2,1688467445.8416789,REQUEST,8,0
22,MSG,3,1688467445.8416865,REQUEST,15,0
22,MSG,4,1688467445.841692,REQUEST,22,0
22,MSG,5,1688467445.841697,REQUEST,23,0
22,MSG,6,1688467445.8417234,REQUEST,24,0
22,MSG,7,1688467445.8417296,REQUEST,25,0
22,MSG,8,1688467445.8417346,REQUEST,26,0
22,MSG,9,1688467445.84174,REQUEST,27,0
22,MSG,10,1688467445.8417451,REQUEST,28,0
22,MSG,11,1688467445.8417513,REQUEST,29,0
22,MSG,12,1688467445.8417594,REQUEST,36,0
22,MSG,13,1688467445.8417652,REQUEST,43,0
22,CS_REQUESTED,14,1688467445.8417697,,,
11,MSG,15,1688467445.8490937,REQUEST,4,0
11,MSG,16,1688467445.8491304,REQUEST,8,0
11,MSG,17,1688467445.849138,REQUEST,9,0
11,MSG,18,1688467445.849144,REQUEST,10,0
11,MSG,19,1688467445.8491495,REQUEST,11,0
11,MSG,20,1688467445.8491554,REQUEST,12,0
11,MSG,21,1688467445.8491604,REQUEST,13,0
11,MSG,22,1688467445.8491812,REQUEST,14,0
11,MSG,23,1688467445.8491867,REQUEST,18,0
11,MSG,24,1688467445.8491933,REQUEST,25,0
11,MSG,25,1688467445.8492024,REQUEST,32,0
11,MSG,26,1688467445.8492112,REQUEST,39,0
11,MSG,27,1688467445.8492198,REQUEST,46,0
11,CS_REQUESTED,28,1688467445.8492274,,,
3,MSG,29,1688467445.8826752,REQUEST,1,0
3,MSG,30,1688467445.8827074,REQUEST,2,0
3,MSG,31,1688467445.8827195,REQUEST,3,0
3,MSG,32,1688467445.8827307,REQUEST,4,0
3,MSG,33,1688467445.8827767,REQUEST,5,0
3,MSG,34,1688467445.8827858,REQUEST,6,0
3,MSG,35,1688467445.8827944,REQUEST,7,0
3,MSG,36,1688467445.8828008,REQUEST,10,0
3,MSG,37,1688467445.8828065,REQUEST,17,0
3,MSG,38,1688467445.882812,REQUEST,24,0
3,MSG,39,1688467445.8828204,REQUEST,31,0
3,MSG,40,1688467445.8828275,REQUEST,38,0
3,MSG,41,1688467445.8828347,REQUEST,45,0
3,CS_REQUESTED,42,1688467445.882842,,,
43,MSG,43,1688467445.889954,REQUEST,1,0
43,MSG,44,1688467445.8899906,REQUEST,8,0
43,MSG,45,1688467445.8899977,REQUEST,15,0
43,MSG,46,1688467445.8900037,REQUEST,22,0
43,MSG,47,1688467445.8900087,REQUEST,29,0
43,MSG,48,1688467445.8900135,REQUEST,36,0
43,MSG,49,1688467445.8900182,REQUEST,43,0
43,MSG,50,1688467445.8900235,REQUEST,44,0
43,MSG,51,1688467445.8900435,REQUEST,45,0
43,MSG,52,1688467445.890049,REQUEST,46,0
43,MSG,53,1688467445.8900542,REQUEST,47,0
43,MSG,54,1688467445.8900602,REQUEST,48,0
43,MSG,55,1688467445.890066,REQUEST,49,0
43,CS_REQUESTED,56,1688467445.8900716,,,
16,MSG,57,1688467445.9011579,REQUEST,2,0
49,MSG,58,1688467445.9011796,REQUEST,7,0
16,MSG,59,1688467445.9012215,REQUEST,9,0
49,MSG,60,1688467445.9012368,REQUEST,14,0
16,MSG,61,1688467445.901257,REQUEST,15,0
49,MSG,62,1688467445.9013112,REQUEST,21,0
16,MSG,63,1688467445.9013596,REQUEST,16,0
