procID,event_type,logical_clock,real_clock,msg,msg_receiver,msg_ts
0,START,0,1688467691.07243,,,
41,MSG,1,1688467691.0929954,REQUEST,6,0
41,MSG,2,1688467691.0930312,REQUEST,13,0
41,MSG,3,1688467691.093042,REQUEST,20,0
41,MSG,4,1688467691.0930505,REQUEST,27,0
41,MSG,5,1688467691.0930586,REQUEST,34,0
41,MSG,6,1688467691.0930705,REQUEST,36,0
41,MSG,7,1688467691.0930793,REQUEST,37,0
41,MSG,8,1688467691.0930896,REQUEST,38,0
41,MSG,9,1688467691.0930984,REQUEST,39,0
41,MSG,10,1688467691.0931072,REQUEST,40,0
41,MSG,11,1688467691.0931177,REQUEST,41,0
41,MSG,12,1688467691.0931273,REQUEST,42,0
41,MSG,13,1688467691.093135,REQUEST,48,0
41,CS_REQUESTED,14,1688467691.0931423,,,
43,MSG,15,1688467691.1012294,REQUEST,1,0
44,MSG,16,1688467691.1012557,REQUEST,2,0
9,MSG,17,1688467691.1013894,REQUEST,2,0
16,MSG,18,1688467691.1014092,REQUEST,2,0
16,MSG,19,1688467691.1014247,REQUEST,9,0
16,MSG,20,1688467691.1014342,REQUEST,15,0
44,MSG,21,1688467691.1014485,REQUEST,9,0
44,MSG,22,1688467691.1014576,REQUEST,16,0
16,MSG,23,1688467691.1014843,REQUEST,16,0
16,MSG,24,1688467691.1014917,REQUEST,17,0
16,MSG,25,1688467691.101498,REQUEST,18,0
43,MSG,26,1688467691.101525,REQUEST,8,0
43,MSG,27,1688467691.1015484,REQUEST,15,0
44,MSG,28,1688467691.1015704,REQUEST,23,0
9,MSG,29,1688467691.1015923,REQUEST,8,0
27,MSG,30,1688467691.1016066,REQUEST,6,0
27,MSG,31,1688467691.1016219,REQUEST,13,0
43,MSG,32,1688467691.1016572,REQUEST,22,0
16,MSG,33,1688467691.1016722,REQUEST,19,0
44,MSG,34,1688467691.101688,REQUEST,30,0
9,MSG,35,1688467691.1018107,REQUEST,9,0
16,MSG,36,1688467691.1018434,REQUEST,20,0
44,MSG,37,1688467691.1018727,REQUEST,37,0
44,MSG,38,1688467691.1018856,REQUEST,43,0
44,MSG,39,1688467691.1018968,REQUEST,44,0
44,MSG,40,1688467691.1019075,REQUEST,45,0
44,MSG,41,1688467691.1019244,REQUEST,46,0
43,MSG,42,1688467691.1019504,REQUEST,29,0
27,MSG,43,1688467691.101998,REQUEST,20,0
9,MSG,44,1688467691.1020327,REQUEST,10,0
16,MSG,45,1688467691.1020513,REQUEST,21,0
43,MSG,46,1688467691.1020942,REQUEST,36,0
27,MSG,47,1688467691.1021202,REQUEST,22,0
44,MSG,48,1688467691.102138,REQUEST,47,0
16,MSG,49,1688467691.1021535,REQUEST,23,0
9,MSG,50,1688467691.1021779,REQUEST,11,0
9,MSG,51,1688467691.1021855,REQUEST,12,0
9,MSG,52,1688467691.1021922,REQUEST,13,0
16,MSG,53,1688467691.1022072,REQUEST,30,0
44,MSG,54,1688467691.102233,REQUEST,48,0
43,MSG,55,1688467691.1022468,REQUEST,43,0
43,MSG,56,1688467691.1022553,REQUEST,44,0
16,MSG,57,1688467691.102439,REQUEST,37,0
44,MSG,58,1688467691.102481,REQUEST,49,0
27,MSG,59,1688467691.1024978,REQUEST,23,0
43,MSG,60,1688467691.102517,REQUEST,45,0
9,MSG,61,1688467691.1025364,REQUEST,14,0
44,CS_REQUESTED,62,1688467691.1025531,,,
16,MSG,63,1688467691.1025627,REQUEST,44,0
16,CS_REQUESTED,64,1688467691.1025696,,,
43,MSG,65,1688467691.1025882,REQUEST,46,0
43,MSG,66,1688467691.102603,REQUEST,47,0
9,MSG,67,1688467691.102631,REQUEST,16,0
27,MSG,68,1688467691.102651,REQUEST,24,0
43,MSG,69,1688467691.1026604,REQUEST,48,0
9,MSG,70,1688467691.1026897,REQUEST,23,0
43,MSG,71,1688467691.1027086,REQUEST,49,0
43,CS_REQUESTED,72,1688467691.1027164,,,
27,MSG,73,1688467691.1027384,REQUEST,25,0
9,MSG,74,1688467691.1027553,REQUEST,30,0
27,MSG,75,1688467691.1027787,REQUEST,26,0
9,MSG,76,1688467691.1027975,REQUEST,37,0
27,MSG,77,1688467691.1028128,REQUEST,27,0
9,MSG,78,1688467691.1028264,REQUEST,44,0
9,CS_REQUESTED,79,1688467691.1028345,,,
27,MSG,80,1688467691.1028433,REQUEST,28,0
27,MSG,81,1688467691.10285,REQUEST,34,0
27,MSG,82,1688467691.102856,REQUEST,41,0
27,MSG,83,1688467691.1028612,REQUEST,48,0
27,CS_REQUESTED,84,1688467691.1028662,,,
6,MSG,85,1688467691.1122143,REQUEST,1,0
6,MSG,86,1688467691.1122465,REQUEST,2,0
6,MSG,87,1688467691.1122534,REQUEST,3,0
6,MSG,88,1688467691.1122587,REQUEST,4,0
6,MSG,89,1688467691.1122637,REQUEST,5,0
6,MSG,90,1688467691.1122687,REQUEST,6,0
6,MSG,91,1688467691.1122766,REQUEST,7,0
6,MSG,92,1688467691.11229,REQUEST,13,0
6,MSG,93,1688467691.1122978,REQUEST,20,0
6,MSG,94,1688467691.1123066,REQUEST,27,0
6,MSG,95,1688467691.1123154,REQUEST,34,0
6,MSG,96,1688467691.112325,REQUEST,41,0
6,MSG,97,1688467691.1123312,REQUEST,48,0
6,CS_REQUESTED,98,1688467691.1123369,,,
14,MSG,99,1688467691.1278887,REQUEST,7,0
48,MSG,100,1688467691.1279218,REQUEST,6,0
48,MSG,101,1688467691.127936,REQUEST,13,0
48,MSG,102,1688467691.1279433,REQUEST,20,0
48,MSG,103,1688467691.1279502,REQUEST,27,0
48,MSG,104,1688467691.1279583,REQUEST,34,0
48,MSG,105,1688467691.1279693,REQUEST,41,0
48,MSG,106,1688467691.1279762,REQUEST,43,0
48,MSG,107,1688467691.1279824,REQUEST,44,0
48,MSG,108,1688467691.1279883,REQUEST,45,0
48,MSG,109,1688467691.1279943,REQUEST,46,0
48,MSG,110,1688467691.1280012,REQUEST,47,0
48,MSG,111,1688467691.128007,REQUEST,48,0
48,MSG,112,1688467691.128013,REQUEST,49,0
48,CS_REQUESTED,113,1688467691.1280184,,,
37,MSG,114,1688467691.1280267,REQUEST,2,0
37,MSG,115,1688467691.1280339,REQUEST,9,0
37,MSG,116,1688467691.1280394,REQUEST,16,0
37,MSG,117,1688467691.128045,REQUEST,23,0
37,MSG,118,1688467691.1280518,REQUEST,30,0
37,MSG,119,1688467691.128072,REQUEST,36,0
