procID,event_type,logical_clock,real_clock,msg,msg_receiver,msg_ts
0,START,0,1688395019,,,
2,MSG,1,1688395020,REQUEST,1,0
2,MSG,2,1688395020,REQUEST,2,0
2,MSG,3,1688395020,REQUEST,4,0
2,CS_REQUESTED,4,1688395020,,,
4,MSG,5,1688395020,ACK,2,0
1,MSG,6,1688395020,REQUEST,1,0
1,MSG,7,1688395020,REQUEST,2,0
1,MSG,8,1688395020,REQUEST,3,0
1,CS_REQUESTED,9,1688395020,,,
2,MSG,10,1688395021,ACK,2,0
3,MSG,11,1688395021,ACK,1,0
1,MSG,12,1688395021,ACK,2,0
2,CS_ACCESS,13,1688395026,,,
2,MSG,14,1688395029,RELEASE,1,0
2,MSG,15,1688395029,RELEASE,2,0
2,MSG,16,1688395029,RELEASE,4,0
2,CS_LEAVE,17,1688395029,,,
1,MSG,18,1688395029,ACK,1,0
2,MSG,19,1688395030,ACK,1,0
1,CS_ACCESS,20,1688395032,,,
2,PROC_STOPPED,21,1688395033,,,
3,PROC_STOPPED,22,1688395033,,,
4,PROC_STOPPED,23,1688395033,,,
1,PROC_STOPPED,24,1688395033,,,
,END,25,1688395033,,,
