procID,event_type,logical_clock,real_clock,msg,msg_receiver,msg_ts
0,START,0,1688392987,,,
4,MSG,1,1688392988,REQUEST,2,0
4,MSG,2,1688392988,REQUEST,3,0
4,MSG,3,1688392988,REQUEST,4,0
4,CS_REQUESTED,4,1688392988,,,
1,MSG,5,1688392988,REQUEST,1,0
1,MSG,6,1688392988,REQUEST,2,0
1,MSG,7,1688392988,REQUEST,3,0
1,CS_REQUESTED,8,1688392988,,,
3,MSG,9,1688392988,REQUEST,1,0
3,MSG,10,1688392988,REQUEST,3,0
3,MSG,11,1688392988,REQUEST,4,0
3,CS_REQUESTED,12,1688392988,,,
2,MSG,13,1688392989,ACK,4,0
4,MSG,14,1688392989,ACK,4,0
1,MSG,15,1688392989,ACK,1,0
3,MSG,16,1688392989,ACK,4,0
4,CS_ACCESS,17,1688392994,,,
4,MSG,18,1688392997,RELEASE,2,0
4,MSG,19,1688392997,RELEASE,3,0
4,MSG,20,1688392997,RELEASE,4,0
4,CS_LEAVE,21,1688392997,,,
3,MSG,22,1688392997,ACK,1,0
2,MSG,23,1688392998,ACK,1,0
4,MSG,24,1688392998,ACK,3,0
1,CS_ACCESS,25,1688393000,,,
1,MSG,26,1688393003,RELEASE,1,0
1,MSG,27,1688393003,RELEASE,2,0
1,MSG,28,1688393003,RELEASE,3,0
1,CS_LEAVE,29,1688393003,,,
3,MSG,30,1688393003,ACK,3,0
1,MSG,31,1688393004,ACK,3,0
3,CS_ACCESS,32,1688393006,,,
2,PROC_STOPPED,33,1688393007,,,
4,PROC_STOPPED,34,1688393007,,,
1,PROC_STOPPED,35,1688393007,,,
3,PROC_STOPPED,36,1688393007,,,
,END,37,1688393007,,,
