procID,event_type,logical_clock,real_clock,msg,msg_receiver,msg_ts
0,START,0,1688395366,,,
3,MSG,1,1688395367,REQUEST,1,0
3,MSG,2,1688395367,REQUEST,3,0
3,MSG,3,1688395367,REQUEST,4,0
3,CS_REQUESTED,4,1688395367,,,
4,MSG,5,1688395367,REQUEST,2,0
4,MSG,6,1688395367,REQUEST,3,0
4,MSG,7,1688395367,REQUEST,4,0
4,CS_REQUESTED,8,1688395367,,,
2,MSG,9,1688395367,ACK,4,0
1,MSG,10,1688395367,REQUEST,1,0
1,MSG,11,1688395367,REQUEST,2,0
1,MSG,12,1688395367,REQUEST,3,0
1,CS_REQUESTED,13,1688395367,,,
3,MSG,14,1688395368,ACK,3,0
4,MSG,15,1688395368,ACK,3,0
1,MSG,16,1688395368,ACK,3,0
3,CS_ACCESS,17,1688395374,,,
3,MSG,18,1688395377,RELEASE,1,0
3,MSG,19,1688395377,RELEASE,3,0
3,MSG,20,1688395377,RELEASE,4,0
3,CS_LEAVE,21,1688395377,,,
4,MSG,22,1688395377,ACK,4,0
1,MSG,23,1688395377,ACK,1,0
3,MSG,24,1688395378,ACK,4,0
4,CS_ACCESS,25,1688395380,,,
4,MSG,26,1688395383,RELEASE,2,0
4,MSG,27,1688395383,RELEASE,3,0
4,MSG,28,1688395383,RELEASE,4,0
4,CS_LEAVE,29,1688395383,,,
2,MSG,30,1688395383,ACK,1,0
3,MSG,31,1688395384,ACK,1,0
1,CS_ACCESS,32,1688395385,,,
3,PROC_STOPPED,33,1688395386,,,
4,PROC_STOPPED,34,1688395386,,,
2,PROC_STOPPED,35,1688395386,,,
1,PROC_STOPPED,36,1688395386,,,
0,END,37,1688395386,,,
