procID,event_type,logical_clock,real_clock,msg,msg_receiver,msg_ts
0,START,0,1688400529,,,
16,MSG,1,1688400529,REQUEST,8,0
16,MSG,2,1688400529,REQUEST,9,0
16,MSG,3,1688400529,REQUEST,10,0
16,MSG,4,1688400529,REQUEST,11,0
16,MSG,5,1688400529,REQUEST,12,0
16,MSG,6,1688400529,REQUEST,13,0
16,MSG,7,1688400529,REQUEST,14,0
16,MSG,8,1688400529,REQUEST,15,0
16,MSG,9,1688400529,REQUEST,16,0
16,MSG,10,1688400529,REQUEST,24,0
16,MSG,11,1688400529,REQUEST,32,0
16,MSG,12,1688400529,REQUEST,40,0
16,MSG,13,1688400529,REQUEST,48,0
16,MSG,14,1688400529,REQUEST,56,0
16,MSG,15,1688400529,REQUEST,64,0
16,CS_REQUESTED,16,1688400529,,,
9,MSG,17,1688400529,ACK,16,0
32,MSG,18,1688400529,REQUEST,8,0
64,MSG,19,1688400529,ACK,16,0
32,MSG,20,1688400529,REQUEST,16,0
32,MSG,21,1688400529,REQUEST,24,0
32,MSG,22,1688400529,REQUEST,25,0
32,MSG,23,1688400529,REQUEST,26,0
32,MSG,24,1688400529,REQUEST,27,0
32,MSG,25,1688400529,REQUEST,28,0
32,MSG,26,1688400529,REQUEST,29,0
32,MSG,27,1688400529,REQUEST,30,0
32,MSG,28,1688400529,REQUEST,31,0
32,MSG,29,1688400529,REQUEST,32,0
32,MSG,30,1688400529,REQUEST,40,0
32,MSG,31,1688400529,REQUEST,48,0
32,MSG,32,1688400529,REQUEST,56,0
32,MSG,33,1688400529,REQUEST,64,0
32,CS_REQUESTED,34,1688400529,,,
12,MSG,35,1688400529,ACK,16,0
49,MSG,36,1688400529,REQUEST,1,0
29,MSG,37,1688400529,ACK,32,0
49,MSG,38,1688400529,REQUEST,9,0
49,MSG,39,1688400529,REQUEST,17,0
49,MSG,40,1688400529,REQUEST,25,0
49,MSG,41,1688400529,REQUEST,33,0
49,MSG,42,1688400529,REQUEST,41,0
49,MSG,43,1688400529,REQUEST,49,0
49,MSG,44,1688400529,REQUEST,50,0
49,MSG,45,1688400529,REQUEST,51,0
49,MSG,46,1688400529,REQUEST,52,0
49,MSG,47,1688400529,REQUEST,53,0
49,MSG,48,1688400529,REQUEST,54,0
49,MSG,49,1688400529,REQUEST,55,0
49,MSG,50,1688400529,REQUEST,56,0
49,MSG,51,1688400529,REQUEST,57,0
49,CS_REQUESTED,52,1688400529,,,
51,MSG,53,1688400529,ACK,49,0
45,MSG,54,1688400529,REQUEST,5,0
45,MSG,55,1688400529,REQUEST,13,0
45,MSG,56,1688400529,REQUEST,21,0
45,MSG,57,1688400529,REQUEST,29,0
45,MSG,58,1688400529,REQUEST,37,0
45,MSG,59,1688400529,REQUEST,41,0
45,MSG,60,1688400529,REQUEST,42,0
45,MSG,61,1688400529,REQUEST,43,0
45,MSG,62,1688400529,REQUEST,44,0
45,MSG,63,1688400529,REQUEST,45,0
45,MSG,64,1688400529,REQUEST,46,0
45,MSG,65,1688400529,REQUEST,47,0
45,MSG,66,1688400529,REQUEST,48,0
45,MSG,67,1688400529,REQUEST,53,0
45,MSG,68,1688400529,REQUEST,61,0
45,CS_REQUESTED,69,1688400529,,,
38,MSG,70,1688400529,REQUEST,6,0
38,MSG,71,1688400529,REQUEST,14,0
38,MSG,72,1688400529,REQUEST,22,0
38,MSG,73,1688400529,REQUEST,30,0
38,MSG,74,1688400529,REQUEST,33,0
38,MSG,75,1688400529,REQUEST,34,0
38,MSG,76,1688400529,REQUEST,35,0
38,MSG,77,1688400529,REQUEST,36,0
38,MSG,78,1688400529,REQUEST,37,0
38,MSG,79,1688400529,REQUEST,38,0
38,MSG,80,1688400529,REQUEST,39,0
38,MSG,81,1688400529,REQUEST,40,0
38,MSG,82,1688400529,REQUEST,46,0
38,MSG,83,1688400529,REQUEST,54,0
38,MSG,84,1688400529,REQUEST,62,0
38,CS_REQUESTED,85,1688400529,,,
56,MSG,86,1688400529,ACK,16,0
18,MSG,87,1688400529,REQUEST,2,0
18,MSG,88,1688400529,REQUEST,10,0
18,MSG,89,1688400529,REQUEST,17,0
18,MSG,90,1688400529,REQUEST,18,0
18,MSG,91,1688400529,REQUEST,19,0
18,MSG,92,1688400529,REQUEST,20,0
18,MSG,93,1688400529,REQUEST,21,0
18,MSG,94,1688400529,REQUEST,22,0
18,MSG,95,1688400529,REQUEST,23,0
18,MSG,96,1688400529,REQUEST,24,0
18,MSG,97,1688400529,REQUEST,26,0
18,MSG,98,1688400529,REQUEST,34,0
18,MSG,99,1688400529,REQUEST,42,0
18,MSG,100,1688400529,REQUEST,50,0
18,MSG,101,1688400529,REQUEST,58,0
18,CS_REQUESTED,102,1688400529,,,
47,MSG,103,1688400529,REQUEST,7,0
47,MSG,104,1688400529,REQUEST,15,0
47,MSG,105,1688400529,REQUEST,23,0
47,MSG,106,1688400529,REQUEST,31,0
47,MSG,107,1688400529,REQUEST,39,0
47,MSG,108,1688400529,REQUEST,41,0
47,MSG,109,1688400529,REQUEST,42,0
