procID,event_type,logical_clock,real_clock,msg,msg_receiver,msg_ts
0,START,0,1688395641,,,
2,MSG,1,1688395641,REQUEST,1,0
2,MSG,2,1688395641,REQUEST,2,0
2,MSG,3,1688395641,REQUEST,3,0
2,MSG,4,1688395641,REQUEST,5,0
2,MSG,5,1688395641,REQUEST,8,0
2,CS_REQUESTED,6,1688395641,,,
3,MSG,7,1688395641,ACK,2,0
8,MSG,8,1688395641,ACK,2,0
1,MSG,9,1688395642,REQUEST,1,0
1,MSG,10,1688395642,REQUEST,2,0
1,MSG,11,1688395642,REQUEST,3,0
5,MSG,12,1688395642,ACK,2,0
1,MSG,13,1688395642,REQUEST,4,0
1,MSG,14,1688395642,REQUEST,7,0
1,CS_REQUESTED,15,1688395642,,,
7,MSG,16,1688395642,ACK,1,0
2,MSG,17,1688395642,ACK,2,0
4,MSG,18,1688395643,ACK,1,0
1,MSG,19,1688395643,ACK,2,0
2,CS_ACCESS,20,1688395649,,,
2,MSG,21,1688395652,RELEASE,1,0
2,MSG,22,1688395652,RELEASE,2,0
2,MSG,23,1688395652,RELEASE,3,0
2,MSG,24,1688395652,RELEASE,5,0
2,MSG,25,1688395652,RELEASE,8,0
2,CS_LEAVE,26,1688395652,,,
3,MSG,27,1688395652,ACK,1,0
1,MSG,28,1688395653,ACK,1,0
2,MSG,29,1688395653,ACK,1,0
1,CS_ACCESS,30,1688395657,,,
7,PROC_STOPPED,31,1688395657,,,
2,PROC_STOPPED,32,1688395657,,,
3,PROC_STOPPED,33,1688395657,,,
8,PROC_STOPPED,34,1688395657,,,
4,PROC_STOPPED,35,1688395658,,,
5,PROC_STOPPED,36,1688395658,,,
6,PROC_STOPPED,37,1688395658,,,
1,PROC_STOPPED,38,1688395658,,,
9,PROC_STOPPED,39,1688395658,,,
0,END,40,1688395658,,,
