procID,event_type,logical_clock,real_clock,msg,msg_receiver,msg_ts
0,START,0,1688395717,,,
7,MSG,1,1688395717,REQUEST,1,0
7,MSG,2,1688395717,REQUEST,4,0
7,MSG,3,1688395717,REQUEST,7,0
7,MSG,4,1688395717,REQUEST,8,0
7,MSG,5,1688395717,REQUEST,9,0
7,CS_REQUESTED,6,1688395717,,,
9,MSG,7,1688395718,REQUEST,3,0
9,MSG,8,1688395718,REQUEST,6,0
9,MSG,9,1688395718,REQUEST,7,0
9,MSG,10,1688395718,REQUEST,8,0
9,MSG,11,1688395718,REQUEST,9,0
9,CS_REQUESTED,12,1688395718,,,
8,MSG,13,1688395718,REQUEST,2,0
8,MSG,14,1688395718,REQUEST,5,0
8,MSG,15,1688395718,REQUEST,7,0
8,MSG,16,1688395718,REQUEST,8,0
8,MSG,17,1688395718,REQUEST,9,0
8,CS_REQUESTED,18,1688395718,,,
3,MSG,19,1688395718,ACK,9,0
1,MSG,20,1688395718,REQUEST,1,0
1,MSG,21,1688395718,REQUEST,2,0
1,MSG,22,1688395718,REQUEST,3,0
1,MSG,23,1688395718,REQUEST,4,0
1,MSG,24,1688395718,REQUEST,7,0
1,CS_REQUESTED,25,1688395718,,,
4,MSG,26,1688395718,ACK,7,0
5,MSG,27,1688395718,ACK,8,0
6,MSG,28,1688395718,ACK,9,0
7,MSG,29,1688395718,ACK,7,0
2,MSG,30,1688395719,ACK,8,0
9,MSG,31,1688395719,ACK,7,0
8,MSG,32,1688395719,ACK,7,0
1,MSG,33,1688395719,ACK,7,0
7,CS_ACCESS,34,1688395727,,,
7,MSG,35,1688395731,RELEASE,1,0
7,MSG,36,1688395731,RELEASE,4,0
7,MSG,37,1688395731,RELEASE,7,0
7,MSG,38,1688395731,RELEASE,8,0
7,MSG,39,1688395731,RELEASE,9,0
7,CS_LEAVE,40,1688395731,,,
9,MSG,41,1688395731,ACK,9,0
8,MSG,42,1688395731,ACK,9,0
1,MSG,43,1688395731,ACK,1,0
4,MSG,44,1688395731,ACK,1,0
7,MSG,45,1688395732,ACK,9,0
9,CS_ACCESS,46,1688395735,,,
9,MSG,47,1688395738,RELEASE,3,0
9,MSG,48,1688395738,RELEASE,6,0
9,MSG,49,1688395738,RELEASE,7,0
9,MSG,50,1688395738,RELEASE,8,0
9,MSG,51,1688395738,RELEASE,9,0
9,CS_LEAVE,52,1688395738,,,
8,MSG,53,1688395738,ACK,8,0
3,MSG,54,1688395738,ACK,1,0
7,MSG,55,1688395739,ACK,8,0
9,MSG,56,1688395739,ACK,8,0
8,CS_ACCESS,57,1688395742,,,
8,MSG,58,1688395745,RELEASE,2,0
8,MSG,59,1688395745,RELEASE,5,0
8,MSG,60,1688395745,RELEASE,7,0
8,MSG,61,1688395745,RELEASE,8,0
8,MSG,62,1688395745,RELEASE,9,0
8,CS_LEAVE,63,1688395745,,,
7,MSG,64,1688395746,ACK,1,0
2,MSG,65,1688395746,ACK,1,0
1,CS_ACCESS,66,1688395748,,,
4,PROC_STOPPED,67,1688395748,,,
5,PROC_STOPPED,68,1688395748,,,
6,PROC_STOPPED,69,1688395748,,,
7,PROC_STOPPED,70,1688395749,,,
2,PROC_STOPPED,71,1688395749,,,
9,PROC_STOPPED,72,1688395749,,,
3,PROC_STOPPED,73,1688395749,,,
8,PROC_STOPPED,74,1688395749,,,
1,PROC_STOPPED,75,1688395749,,,
0,END,76,1688395749,,,
