procID,event_type,logical_clock,real_clock,msg,msg_receiver,msg_ts
0,START,0,1688393339,,,
6,MSG,1,1688393339,REQUEST,3,0
6,MSG,2,1688393339,REQUEST,4,0
6,MSG,3,1688393339,REQUEST,5,0
6,MSG,4,1688393339,REQUEST,6,0
6,MSG,5,1688393339,REQUEST,9,0
6,CS_REQUESTED,6,1688393339,,,
2,MSG,7,1688393339,REQUEST,1,0
2,MSG,8,1688393339,REQUEST,2,0
2,MSG,9,1688393339,REQUEST,3,0
2,MSG,10,1688393339,REQUEST,5,0
2,MSG,11,1688393339,REQUEST,8,0
2,CS_REQUESTED,12,1688393339,,,
7,MSG,13,1688393339,REQUEST,1,0
7,MSG,14,1688393339,REQUEST,4,0
7,MSG,15,1688393339,REQUEST,7,0
7,MSG,16,1688393339,REQUEST,8,0
7,MSG,17,1688393339,REQUEST,9,0
7,CS_REQUESTED,18,1688393339,,,
8,MSG,19,1688393339,ACK,2,0
9,MSG,20,1688393340,ACK,6,0
1,MSG,21,1688393340,REQUEST,1,0
1,MSG,22,1688393340,REQUEST,2,0
1,MSG,23,1688393340,REQUEST,3,0
1,MSG,24,1688393340,REQUEST,4,0
1,MSG,25,1688393340,REQUEST,7,0
1,CS_REQUESTED,26,1688393340,,,
3,MSG,27,1688393340,REQUEST,1,0
3,MSG,28,1688393340,REQUEST,2,0
3,MSG,29,1688393340,REQUEST,3,0
3,MSG,30,1688393340,REQUEST,6,0
3,MSG,31,1688393340,REQUEST,9,0
3,CS_REQUESTED,32,1688393340,,,
4,MSG,33,1688393340,ACK,6,0
5,MSG,34,1688393340,REQUEST,2,0
5,MSG,35,1688393340,REQUEST,4,0
5,MSG,36,1688393340,REQUEST,5,0
5,MSG,37,1688393340,REQUEST,6,0
5,MSG,38,1688393340,REQUEST,8,0
5,CS_REQUESTED,39,1688393340,,,
6,MSG,40,1688393340,ACK,6,0
2,MSG,41,1688393340,ACK,2,0
7,MSG,42,1688393340,ACK,7,0
1,MSG,43,1688393341,ACK,2,0
3,MSG,44,1688393341,ACK,6,0
5,MSG,45,1688393341,ACK,6,0
6,CS_ACCESS,46,1688393348,,,
6,MSG,47,1688393350,RELEASE,3,0
6,MSG,48,1688393350,RELEASE,4,0
6,MSG,49,1688393350,RELEASE,5,0
6,MSG,50,1688393350,RELEASE,6,0
6,MSG,51,1688393350,RELEASE,9,0
6,CS_LEAVE,52,1688393350,,,
9,MSG,53,1688393351,ACK,7,0
3,MSG,54,1688393351,ACK,2,0
4,MSG,55,1688393351,ACK,7,0
5,MSG,56,1688393351,ACK,2,0
6,MSG,57,1688393351,ACK,3,0
2,CS_ACCESS,58,1688393353,,,
2,MSG,59,1688393355,RELEASE,1,0
2,MSG,60,1688393355,RELEASE,2,0
2,MSG,61,1688393355,RELEASE,3,0
2,MSG,62,1688393355,RELEASE,5,0
2,MSG,63,1688393355,RELEASE,8,0
2,CS_LEAVE,64,1688393355,,,
8,MSG,65,1688393355,ACK,7,0
1,MSG,66,1688393356,ACK,7,0
3,MSG,67,1688393356,ACK,1,0
5,MSG,68,1688393356,ACK,5,0
2,MSG,69,1688393356,ACK,1,0
7,CS_ACCESS,70,1688393358,,,
7,MSG,71,1688393360,RELEASE,1,0
7,MSG,72,1688393360,RELEASE,4,0
7,MSG,73,1688393360,RELEASE,7,0
7,MSG,74,1688393360,RELEASE,8,0
7,MSG,75,1688393360,RELEASE,9,0
7,CS_LEAVE,76,1688393360,,,
8,MSG,77,1688393360,ACK,5,0
9,MSG,78,1688393361,ACK,3,0
1,MSG,79,1688393361,ACK,1,0
4,MSG,80,1688393361,ACK,1,0
7,MSG,81,1688393361,ACK,1,0
1,CS_ACCESS,82,1688393365,,,
1,MSG,83,1688393367,RELEASE,1,0
1,MSG,84,1688393367,RELEASE,2,0
1,MSG,85,1688393367,RELEASE,3,0
1,MSG,86,1688393367,RELEASE,4,0
1,MSG,87,1688393367,RELEASE,7,0
1,CS_LEAVE,88,1688393367,,,
3,MSG,89,1688393367,ACK,3,0
4,MSG,90,1688393367,ACK,5,0
2,MSG,91,1688393367,ACK,3,0
1,MSG,92,1688393368,ACK,3,0
3,CS_ACCESS,93,1688393371,,,
3,MSG,94,1688393373,RELEASE,1,0
3,MSG,95,1688393373,RELEASE,2,0
3,MSG,96,1688393373,RELEASE,3,0
3,MSG,97,1688393373,RELEASE,6,0
3,MSG,98,1688393373,RELEASE,9,0
3,CS_LEAVE,99,1688393373,,,
6,MSG,100,1688393373,ACK,5,0
2,MSG,101,1688393373,ACK,5,0
5,CS_ACCESS,102,1688393376,,,
6,PROC_STOPPED,103,1688393376,,,
2,PROC_STOPPED,104,1688393376,,,
7,PROC_STOPPED,105,1688393376,,,
8,PROC_STOPPED,106,1688393376,,,
9,PROC_STOPPED,107,1688393377,,,
1,PROC_STOPPED,108,1688393377,,,
3,PROC_STOPPED,109,1688393377,,,
4,PROC_STOPPED,110,1688393377,,,
5,PROC_STOPPED,111,1688393377,,,
,END,112,1688393377,,,
