procID,event_type,logical_clock,real_clock,msg,msg_receiver,msg_ts
0,START,0,1688395894,,,
8,MSG,1,1688395895,REQUEST,2,0
8,MSG,2,1688395895,REQUEST,5,0
8,MSG,3,1688395895,REQUEST,7,0
8,MSG,4,1688395895,REQUEST,8,0
8,MSG,5,1688395895,REQUEST,9,0
8,CS_REQUESTED,6,1688395895,,,
3,MSG,7,1688395895,REQUEST,1,0
3,MSG,8,1688395895,REQUEST,2,0
3,MSG,9,1688395895,REQUEST,3,0
3,MSG,10,1688395895,REQUEST,6,0
3,MSG,11,1688395895,REQUEST,9,0
3,CS_REQUESTED,12,1688395895,,,
6,MSG,13,1688395895,REQUEST,3,0
6,MSG,14,1688395895,REQUEST,4,0
6,MSG,15,1688395895,REQUEST,5,0
6,MSG,16,1688395895,REQUEST,6,0
6,MSG,17,1688395895,REQUEST,9,0
6,CS_REQUESTED,18,1688395895,,,
7,MSG,19,1688395895,REQUEST,1,0
7,MSG,20,1688395895,REQUEST,4,0
7,MSG,21,1688395895,REQUEST,7,0
7,MSG,22,1688395895,REQUEST,8,0
7,MSG,23,1688395895,REQUEST,9,0
7,CS_REQUESTED,24,1688395895,,,
1,MSG,25,1688395895,REQUEST,1,0
1,MSG,26,1688395895,REQUEST,2,0
1,MSG,27,1688395895,REQUEST,3,0
1,MSG,28,1688395895,REQUEST,4,0
1,MSG,29,1688395895,REQUEST,7,0
1,CS_REQUESTED,30,1688395895,,,
4,MSG,31,1688395895,REQUEST,1,0
4,MSG,32,1688395895,REQUEST,4,0
4,MSG,33,1688395895,REQUEST,5,0
4,MSG,34,1688395895,REQUEST,6,0
4,MSG,35,1688395895,REQUEST,7,0
4,CS_REQUESTED,36,1688395895,,,
9,MSG,37,1688395895,REQUEST,3,0
9,MSG,38,1688395895,REQUEST,6,0
9,MSG,39,1688395895,REQUEST,7,0
9,MSG,40,1688395895,REQUEST,8,0
9,MSG,41,1688395895,REQUEST,9,0
9,CS_REQUESTED,42,1688395895,,,
2,MSG,43,1688395895,REQUEST,1,0
2,MSG,44,1688395895,REQUEST,2,0
2,MSG,45,1688395895,REQUEST,3,0
2,MSG,46,1688395895,REQUEST,5,0
2,MSG,47,1688395895,REQUEST,8,0
2,CS_REQUESTED,48,1688395895,,,
5,MSG,49,1688395895,REQUEST,2,0
5,MSG,50,1688395895,REQUEST,4,0
5,MSG,51,1688395895,REQUEST,5,0
5,MSG,52,1688395895,REQUEST,6,0
5,MSG,53,1688395895,REQUEST,8,0
5,CS_REQUESTED,54,1688395895,,,
8,MSG,55,1688395896,ACK,8,0
3,MSG,56,1688395896,ACK,3,0
6,MSG,57,1688395896,ACK,3,0
7,MSG,58,1688395896,ACK,8,0
1,MSG,59,1688395896,ACK,3,0
4,MSG,60,1688395896,ACK,6,0
9,MSG,61,1688395896,ACK,8,0
2,MSG,62,1688395896,ACK,8,0
5,MSG,63,1688395896,ACK,8,0
8,CS_ACCESS,64,1688395906,,,
8,MSG,65,1688395909,RELEASE,2,0
8,MSG,66,1688395909,RELEASE,5,0
8,MSG,67,1688395909,RELEASE,7,0
8,MSG,68,1688395909,RELEASE,8,0
8,MSG,69,1688395909,RELEASE,9,0
8,CS_LEAVE,70,1688395909,,,
7,MSG,71,1688395909,ACK,7,0
9,MSG,72,1688395909,ACK,3,0
2,MSG,73,1688395909,ACK,3,0
5,MSG,74,1688395909,ACK,6,0
8,MSG,75,1688395910,ACK,7,0
3,CS_ACCESS,76,1688395912,,,
3,MSG,77,1688395915,RELEASE,1,0
3,MSG,78,1688395915,RELEASE,2,0
3,MSG,79,1688395915,RELEASE,3,0
3,MSG,80,1688395915,RELEASE,6,0
3,MSG,81,1688395915,RELEASE,9,0
3,CS_LEAVE,82,1688395915,,,
6,MSG,83,1688395915,ACK,6,0
1,MSG,84,1688395915,ACK,7,0
9,MSG,85,1688395915,ACK,6,0
2,MSG,86,1688395915,ACK,1,0
3,MSG,87,1688395916,ACK,6,0
6,CS_ACCESS,88,1688395919,,,
6,MSG,89,1688395922,RELEASE,3,0
6,MSG,90,1688395922,RELEASE,4,0
6,MSG,91,1688395922,RELEASE,5,0
6,MSG,92,1688395922,RELEASE,6,0
6,MSG,93,1688395922,RELEASE,9,0
6,CS_LEAVE,94,1688395922,,,
4,MSG,95,1688395922,ACK,7,0
9,MSG,96,1688395922,ACK,7,0
5,MSG,97,1688395922,ACK,4,0
3,MSG,98,1688395923,ACK,1,0
6,MSG,99,1688395923,ACK,4,0
