procID,event_type,logical_clock,real_clock,msg,msg_receiver,msg_ts
0,START,0,1688464808.0122836,,,
1,MSG,1,1688464821.2253828,REQUEST,2,2
1,MSG,2,1688464821.2253995,REQUEST,3,2
1,MSG,3,1688464821.2254062,REQUEST,4,2
1,MSG,4,1688464821.225412,REQUEST,5,2
1,MSG,5,1688464821.2254777,REQUEST,6,2
1,MSG,6,1688464821.2254844,REQUEST,7,2
1,MSG,7,1688464821.2254899,REQUEST,8,2
1,MSG,8,1688464821.225495,REQUEST,9,2
1,MSG,9,1688464821.2254996,REQUEST,10,2
1,MSG,10,1688464821.2255044,REQUEST,11,2
1,MSG,11,1688464821.2255092,REQUEST,12,2
1,MSG,12,1688464821.2255135,REQUEST,13,2
1,MSG,13,1688464821.2255182,REQUEST,14,2
1,MSG,14,1688464821.2255232,REQUEST,15,2
1,MSG,15,1688464821.2255278,REQUEST,16,2
1,CS_REQUESTED,16,1688464821.2255335,,,
15,MSG,17,1688464821.2328017,ACK,1,0
8,MSG,18,1688464821.2328928,ACK,1,0
10,MSG,19,1688464821.2713068,ACK,1,0
7,MSG,20,1688464821.315619,ACK,1,0
13,MSG,21,1688464821.3157032,ACK,1,0
16,MSG,22,1688464821.3632278,ACK,1,0
3,MSG,23,1688464821.392931,ACK,1,0
5,MSG,24,1688464821.4338186,ACK,1,0
6,MSG,25,1688464821.4407792,ACK,1,0
11,MSG,26,1688464821.459922,ACK,1,0
12,MSG,27,1688464821.5198646,ACK,1,0
14,MSG,28,1688464821.6047204,ACK,1,0
9,MSG,29,1688464821.6224878,ACK,1,0
4,MSG,30,1688464821.6292584,ACK,1,0
2,MSG,31,1688464821.6292837,ACK,1,0
15,MSG,32,1688464822.4347463,REQUEST,1,3
15,MSG,33,1688464822.4347785,REQUEST,2,3
15,MSG,34,1688464822.4347908,REQUEST,3,3
15,MSG,35,1688464822.4348164,REQUEST,4,3
15,MSG,36,1688464822.4348266,REQUEST,5,3
15,MSG,37,1688464822.4348373,REQUEST,6,3
15,MSG,38,1688464822.4348464,REQUEST,7,3
15,MSG,39,1688464822.434856,REQUEST,8,3
15,MSG,40,1688464822.4348645,REQUEST,9,3
15,MSG,41,1688464822.4348724,REQUEST,10,3
15,MSG,42,1688464822.4348807,REQUEST,11,3
15,MSG,43,1688464822.434889,REQUEST,12,3
15,MSG,44,1688464822.4348967,REQUEST,13,3
15,MSG,45,1688464822.4349096,REQUEST,14,3
15,MSG,46,1688464822.434918,REQUEST,16,3
15,CS_REQUESTED,47,1688464822.4349253,,,
10,MSG,48,1688464822.472265,ACK,15,0
13,MSG,49,1688464822.5168087,ACK,15,0
7,MSG,50,1688464822.5168314,ACK,15,0
16,MSG,51,1688464822.5648072,ACK,15,0
3,MSG,52,1688464822.594462,ACK,15,0
5,MSG,53,1688464822.6353338,ACK,15,0
6,MSG,54,1688464822.6423435,ACK,15,0
11,MSG,55,1688464822.6616066,ACK,15,0
12,MSG,56,1688464822.721379,ACK,15,0
14,MSG,57,1688464822.8062735,ACK,15,0
9,MSG,58,1688464822.8240013,ACK,15,0
4,MSG,59,1688464822.830806,ACK,15,0
8,MSG,60,1688464822.830824,ACK,15,0
2,MSG,61,1688464822.8308983,ACK,15,0
5,MSG,62,1688464824.2375264,REQUEST,1,4
5,MSG,63,1688464824.2427309,REQUEST,2,4
5,MSG,64,1688464824.2427516,REQUEST,3,4
5,MSG,65,1688464824.2427578,REQUEST,4,4
5,MSG,66,1688464824.2427645,REQUEST,6,4
5,MSG,67,1688464824.2428102,REQUEST,7,4
5,MSG,68,1688464824.2428162,REQUEST,8,4
5,MSG,69,1688464824.2428217,REQUEST,9,4
5,MSG,70,1688464824.242827,REQUEST,10,4
5,MSG,71,1688464824.2428327,REQUEST,11,4
5,MSG,72,1688464824.2428384,REQUEST,12,4
5,MSG,73,1688464824.2428436,REQUEST,13,4
5,MSG,74,1688464824.24286,REQUEST,14,4
5,MSG,75,1688464824.242867,REQUEST,15,4
5,MSG,76,1688464824.2428725,REQUEST,16,4
5,CS_REQUESTED,77,1688464824.2428777,,,
11,MSG,78,1688464824.2634826,ACK,5,0
12,MSG,79,1688464824.3234239,ACK,5,0
14,MSG,80,1688464824.4083288,ACK,5,0
9,MSG,81,1688464824.4260218,ACK,5,0
4,MSG,82,1688464824.43278,ACK,5,0
8,MSG,83,1688464824.4328008,ACK,5,0
2,MSG,84,1688464824.4328806,ACK,5,0
10,MSG,85,1688464824.4747615,ACK,5,0
7,MSG,86,1688464824.5192578,ACK,5,0
13,MSG,87,1688464824.519295,ACK,5,0
16,MSG,88,1688464824.5673373,ACK,5,0
3,MSG,89,1688464824.5969756,ACK,5,0
6,MSG,90,1688464824.6448336,ACK,5,0
1,CS_ACCESS,91,1688464827.636993,,,
1,MSG,92,1688464828.842159,ACK,15,0
1,MSG,93,1688464828.842176,ACK,5,0
1,CS_LEAVE,94,1688464828.8421862,,,
15,CS_ACCESS,95,1688464829.6470475,,,
15,MSG,96,1688464830.8513134,ACK,5,0
15,CS_LEAVE,97,1688464830.8513284,,,
5,CS_ACCESS,98,1688464831.45017,,,
