procID,event_type,logical_clock,real_clock,msg,msg_receiver,msg_ts
0,START,0,1688423683,,,
11,MSG,1,1688423684,REQUEST,1,2
11,MSG,2,1688423684,REQUEST,2,2
11,MSG,3,1688423684,REQUEST,3,2
11,MSG,4,1688423684,REQUEST,4,2
11,MSG,5,1688423684,REQUEST,5,2
11,MSG,6,1688423684,REQUEST,6,2
11,MSG,7,1688423684,REQUEST,7,2
11,MSG,8,1688423684,REQUEST,8,2
11,MSG,9,1688423684,REQUEST,9,2
11,MSG,10,1688423684,REQUEST,10,2
11,MSG,11,1688423684,REQUEST,12,2
11,MSG,12,1688423684,REQUEST,13,2
11,MSG,13,1688423684,REQUEST,14,2
11,MSG,14,1688423684,REQUEST,15,2
11,MSG,15,1688423684,REQUEST,16,2
11,CS_REQUESTED,16,1688423684,,,
4,MSG,17,1688423684,ACK,11,0
12,MSG,18,1688423684,ACK,11,0
9,MSG,19,1688423684,ACK,11,0
6,MSG,20,1688423684,ACK,11,0
5,MSG,21,1688423684,ACK,11,0
13,MSG,22,1688423684,ACK,11,0
3,MSG,23,1688423685,ACK,11,0
7,MSG,24,1688423685,ACK,11,0
10,MSG,25,1688423685,ACK,11,0
15,MSG,26,1688423685,ACK,11,0
14,MSG,27,1688423685,ACK,11,0
8,MSG,28,1688423685,ACK,11,0
2,MSG,29,1688423685,ACK,11,0
16,MSG,30,1688423685,ACK,11,0
1,MSG,31,1688423685,ACK,11,0
12,MSG,32,1688423699,REQUEST,1,3
12,MSG,33,1688423699,REQUEST,2,3
12,MSG,34,1688423699,REQUEST,3,3
12,MSG,35,1688423699,REQUEST,4,3
12,MSG,36,1688423699,REQUEST,5,3
12,MSG,37,1688423699,REQUEST,6,3
12,MSG,38,1688423699,REQUEST,7,3
12,MSG,39,1688423699,REQUEST,8,3
12,MSG,40,1688423699,REQUEST,9,3
12,MSG,41,1688423699,REQUEST,10,3
12,MSG,42,1688423699,REQUEST,11,3
12,MSG,43,1688423699,REQUEST,13,3
12,MSG,44,1688423699,REQUEST,14,3
12,MSG,45,1688423699,REQUEST,15,3
12,MSG,46,1688423699,REQUEST,16,3
12,CS_REQUESTED,47,1688423699,,,
9,MSG,48,1688423699,ACK,12,0
6,MSG,49,1688423699,ACK,12,0
5,MSG,50,1688423699,ACK,12,0
13,MSG,51,1688423700,ACK,12,0
3,MSG,52,1688423700,ACK,12,0
7,MSG,53,1688423700,ACK,12,0
15,MSG,54,1688423700,ACK,12,0
10,MSG,55,1688423700,ACK,12,0
14,MSG,56,1688423700,ACK,12,0
8,MSG,57,1688423700,ACK,12,0
2,MSG,58,1688423700,ACK,12,0
16,MSG,59,1688423700,ACK,12,0
1,MSG,60,1688423700,ACK,12,0
11,CS_ACCESS,61,1688423700,,,
4,MSG,62,1688423700,ACK,12,0
11,MSG,63,1688423702,ACK,12,0
11,CS_LEAVE,64,1688423702,,,
6,MSG,65,1688423703,REQUEST,1,4
6,MSG,66,1688423703,REQUEST,2,4
6,MSG,67,1688423703,REQUEST,3,4
6,MSG,68,1688423703,REQUEST,4,4
6,MSG,69,1688423703,REQUEST,5,4
6,MSG,70,1688423703,REQUEST,7,4
6,MSG,71,1688423703,REQUEST,8,4
6,MSG,72,1688423703,REQUEST,9,4
6,MSG,73,1688423703,REQUEST,10,4
6,MSG,74,1688423703,REQUEST,11,4
6,MSG,75,1688423703,REQUEST,12,4
6,MSG,76,1688423703,REQUEST,13,4
6,MSG,77,1688423703,REQUEST,14,4
6,MSG,78,1688423703,REQUEST,15,4
6,MSG,79,1688423703,REQUEST,16,4
6,CS_REQUESTED,80,1688423703,,,
5,MSG,81,1688423703,ACK,6,0
13,MSG,82,1688423704,ACK,6,0
3,MSG,83,1688423704,ACK,6,0
7,MSG,84,1688423704,ACK,6,0
10,MSG,85,1688423704,ACK,6,0
15,MSG,86,1688423704,ACK,6,0
14,MSG,87,1688423704,ACK,6,0
8,MSG,88,1688423704,ACK,6,0
2,MSG,89,1688423704,ACK,6,0
16,MSG,90,1688423704,ACK,6,0
1,MSG,91,1688423704,ACK,6,0
11,MSG,92,1688423704,ACK,6,0
4,MSG,93,1688423704,ACK,6,0
9,MSG,94,1688423704,ACK,6,0
12,CS_ACCESS,95,1688423715,,,
12,MSG,96,1688423717,ACK,6,0
12,CS_LEAVE,97,1688423717,,,
6,CS_ACCESS,98,1688423719,,,
6,CS_LEAVE,99,1688423721,,,
13,MSG,100,1688423739,REQUEST,1,5
13,MSG,101,1688423739,REQUEST,2,5
13,MSG,102,1688423739,REQUEST,3,5
13,MSG,103,1688423739,REQUEST,4,5
13,MSG,104,1688423739,REQUEST,5,5
13,MSG,105,1688423739,REQUEST,6,5
13,MSG,106,1688423739,REQUEST,7,5
13,MSG,107,1688423739,REQUEST,8,5
13,MSG,108,1688423739,REQUEST,9,5
13,MSG,109,1688423739,REQUEST,10,5
13,MSG,110,1688423739,REQUEST,11,5
13,MSG,111,1688423739,REQUEST,12,5
13,MSG,112,1688423739,REQUEST,14,5
13,MSG,113,1688423739,REQUEST,15,5
13,MSG,114,1688423739,REQUEST,16,5
13,CS_REQUESTED,115,1688423739,,,
3,MSG,116,1688423739,ACK,13,0
7,MSG,117,1688423739,ACK,13,0
15,MSG,118,1688423739,ACK,13,0
10,MSG,119,1688423739,ACK,13,0
14,MSG,120,1688423739,ACK,13,0
8,MSG,121,1688423739,ACK,13,0
2,MSG,122,1688423739,ACK,13,0
16,MSG,123,1688423739,ACK,13,0
1,MSG,124,1688423739,ACK,13,0
11,MSG,125,1688423739,ACK,13,0
4,MSG,126,1688423739,ACK,13,0
12,MSG,127,1688423739,ACK,13,0
9,MSG,128,1688423739,ACK,13,0
6,MSG,129,1688423739,ACK,13,0
5,MSG,130,1688423740,ACK,13,0
12,MSG,131,1688423741,REQUEST,1,6
12,MSG,132,1688423741,REQUEST,2,6
12,MSG,133,1688423741,REQUEST,3,6
12,MSG,134,1688423741,REQUEST,4,6
12,MSG,135,1688423741,REQUEST,5,6
12,MSG,136,1688423741,REQUEST,6,6
12,MSG,137,1688423741,REQUEST,7,6
12,MSG,138,1688423741,REQUEST,8,6
12,MSG,139,1688423741,REQUEST,9,6
12,MSG,140,1688423741,REQUEST,10,6
12,MSG,141,1688423741,REQUEST,11,6
12,MSG,142,1688423741,REQUEST,13,6
12,MSG,143,1688423741,REQUEST,14,6
12,MSG,144,1688423741,REQUEST,15,6
12,MSG,145,1688423741,REQUEST,16,6
12,CS_REQUESTED,146,1688423741,,,
9,MSG,147,1688423741,ACK,12,0
6,MSG,148,1688423741,ACK,12,0
5,MSG,149,1688423742,ACK,12,0
3,MSG,150,1688423742,ACK,12,0
7,MSG,151,1688423742,ACK,12,0
10,MSG,152,1688423742,ACK,12,0
15,MSG,153,1688423742,ACK,12,0
14,MSG,154,1688423742,ACK,12,0
8,MSG,155,1688423742,ACK,12,0
2,MSG,156,1688423742,ACK,12,0
16,MSG,157,1688423742,ACK,12,0
1,MSG,158,1688423742,ACK,12,0
11,MSG,159,1688423742,ACK,12,0
4,MSG,160,1688423742,ACK,12,0
15,MSG,161,1688423753,REQUEST,1,7
15,MSG,162,1688423753,REQUEST,2,7
15,MSG,163,1688423753,REQUEST,3,7
15,MSG,164,1688423753,REQUEST,4,7
15,MSG,165,1688423753,REQUEST,5,7
15,MSG,166,1688423753,REQUEST,6,7
15,MSG,167,1688423753,REQUEST,7,7
15,MSG,168,1688423753,REQUEST,8,7
15,MSG,169,1688423753,REQUEST,9,7
15,MSG,170,1688423753,REQUEST,10,7
15,MSG,171,1688423753,REQUEST,11,7
15,MSG,172,1688423753,REQUEST,12,7
15,MSG,173,1688423753,REQUEST,13,7
15,MSG,174,1688423753,REQUEST,14,7
15,MSG,175,1688423753,REQUEST,16,7
15,CS_REQUESTED,176,1688423753,,,
14,MSG,177,1688423753,ACK,15,0
8,MSG,178,1688423753,ACK,15,0
2,MSG,179,1688423753,ACK,15,0
16,MSG,180,1688423753,ACK,15,0
1,MSG,181,1688423753,ACK,15,0
11,MSG,182,1688423753,ACK,15,0
4,MSG,183,1688423753,ACK,15,0
9,MSG,184,1688423753,ACK,15,0
6,MSG,185,1688423753,ACK,15,0
5,MSG,186,1688423754,ACK,15,0
3,MSG,187,1688423754,ACK,15,0
7,MSG,188,1688423754,ACK,15,0
10,MSG,189,1688423754,ACK,15,0
13,CS_ACCESS,190,1688423755,,,
13,MSG,191,1688423757,ACK,12,0
13,MSG,192,1688423757,ACK,15,0
13,CS_LEAVE,193,1688423757,,,
12,CS_ACCESS,194,1688423758,,,
12,MSG,195,1688423760,ACK,15,0
12,CS_LEAVE,196,1688423760,,,
7,MSG,197,1688423768,REQUEST,1,8
7,MSG,198,1688423768,REQUEST,2,8
7,MSG,199,1688423768,REQUEST,3,8
7,MSG,200,1688423768,REQUEST,4,8
7,MSG,201,1688423768,REQUEST,5,8
7,MSG,202,1688423768,REQUEST,6,8
7,MSG,203,1688423768,REQUEST,8,8
7,MSG,204,1688423768,REQUEST,9,8
7,MSG,205,1688423768,REQUEST,10,8
7,MSG,206,1688423768,REQUEST,11,8
7,MSG,207,1688423768,REQUEST,12,8
7,MSG,208,1688423768,REQUEST,13,8
7,MSG,209,1688423768,REQUEST,14,8
7,MSG,210,1688423768,REQUEST,15,8
7,MSG,211,1688423768,REQUEST,16,8
7,CS_REQUESTED,212,1688423768,,,
10,MSG,213,1688423768,ACK,7,0
14,MSG,214,1688423768,ACK,7,0
8,MSG,215,1688423768,ACK,7,0
2,MSG,216,1688423768,ACK,7,0
16,MSG,217,1688423768,ACK,7,0
1,MSG,218,1688423768,ACK,7,0
11,MSG,219,1688423768,ACK,7,0
4,MSG,220,1688423768,ACK,7,0
12,MSG,221,1688423768,ACK,7,0
9,MSG,222,1688423768,ACK,7,0
6,MSG,223,1688423769,ACK,7,0
5,MSG,224,1688423769,ACK,7,0
13,MSG,225,1688423769,ACK,7,0
3,MSG,226,1688423769,ACK,7,0
15,CS_ACCESS,227,1688423769,,,
15,MSG,228,1688423771,ACK,7,0
15,CS_LEAVE,229,1688423771,,,
13,MSG,230,1688423773,REQUEST,1,9
13,MSG,231,1688423773,REQUEST,2,9
13,MSG,232,1688423773,REQUEST,3,9
13,MSG,233,1688423773,REQUEST,4,9
13,MSG,234,1688423773,REQUEST,5,9
13,MSG,235,1688423773,REQUEST,6,9
13,MSG,236,1688423773,REQUEST,7,9
13,MSG,237,1688423773,REQUEST,8,9
13,MSG,238,1688423773,REQUEST,9,9
13,MSG,239,1688423773,REQUEST,10,9
13,MSG,240,1688423773,REQUEST,11,9
13,MSG,241,1688423773,REQUEST,12,9
13,MSG,242,1688423773,REQUEST,14,9
13,MSG,243,1688423773,REQUEST,15,9
13,MSG,244,1688423773,REQUEST,16,9
13,CS_REQUESTED,245,1688423773,,,
3,MSG,246,1688423773,ACK,13,0
10,MSG,247,1688423773,ACK,13,0
15,MSG,248,1688423773,ACK,13,0
14,MSG,249,1688423773,ACK,13,0
8,MSG,250,1688423773,ACK,13,0
2,MSG,251,1688423773,ACK,13,0
16,MSG,252,1688423773,ACK,13,0
1,MSG,253,1688423773,ACK,13,0
11,MSG,254,1688423773,ACK,13,0
4,MSG,255,1688423773,ACK,13,0
12,MSG,256,1688423773,ACK,13,0
9,MSG,257,1688423773,ACK,13,0
6,MSG,258,1688423774,ACK,13,0
5,MSG,259,1688423774,ACK,13,0
1,MSG,260,1688423774,REQUEST,2,10
1,MSG,261,1688423774,REQUEST,3,10
1,MSG,262,1688423774,REQUEST,4,10
1,MSG,263,1688423774,REQUEST,5,10
1,MSG,264,1688423774,REQUEST,6,10
1,MSG,265,1688423774,REQUEST,7,10
1,MSG,266,1688423774,REQUEST,8,10
1,MSG,267,1688423774,REQUEST,9,10
1,MSG,268,1688423774,REQUEST,10,10
1,MSG,269,1688423774,REQUEST,11,10
1,MSG,270,1688423774,REQUEST,12,10
1,MSG,271,1688423774,REQUEST,13,10
1,MSG,272,1688423774,REQUEST,14,10
1,MSG,273,1688423774,REQUEST,15,10
1,MSG,274,1688423774,REQUEST,16,10
1,CS_REQUESTED,275,1688423774,,,
11,MSG,276,1688423774,ACK,1,0
4,MSG,277,1688423774,REQUEST,1,10
4,MSG,278,1688423774,REQUEST,2,10
4,MSG,279,1688423774,REQUEST,3,10
4,MSG,280,1688423774,REQUEST,5,10
4,MSG,281,1688423774,REQUEST,6,10
4,MSG,282,1688423774,REQUEST,7,10
4,MSG,283,1688423774,REQUEST,8,10
4,MSG,284,1688423774,REQUEST,9,10
4,MSG,285,1688423774,REQUEST,10,10
4,MSG,286,1688423774,REQUEST,11,10
4,MSG,287,1688423774,REQUEST,12,10
4,MSG,288,1688423774,REQUEST,13,10
4,MSG,289,1688423774,REQUEST,14,10
4,MSG,290,1688423774,REQUEST,15,10
4,MSG,291,1688423774,REQUEST,16,10
4,CS_REQUESTED,292,1688423774,,,
4,MSG,293,1688423774,ACK,1,0
12,MSG,294,1688423774,ACK,1,0
9,MSG,295,1688423774,ACK,1,0
6,MSG,296,1688423775,ACK,1,0
5,MSG,297,1688423775,ACK,1,0
3,MSG,298,1688423775,ACK,1,0
10,MSG,299,1688423775,ACK,1,0
15,MSG,300,1688423775,ACK,1,0
14,MSG,301,1688423775,ACK,1,0
8,MSG,302,1688423775,ACK,1,0
2,MSG,303,1688423775,ACK,1,0
16,MSG,304,1688423775,ACK,1,0
11,MSG,305,1688423775,ACK,4,0
12,MSG,306,1688423775,ACK,4,0
9,MSG,307,1688423775,ACK,4,0
6,MSG,308,1688423776,ACK,4,0
5,MSG,309,1688423776,ACK,4,0
3,MSG,310,1688423776,ACK,4,0
10,MSG,311,1688423776,ACK,4,0
15,MSG,312,1688423776,ACK,4,0
14,MSG,313,1688423776,ACK,4,0
8,MSG,314,1688423776,ACK,4,0
2,MSG,315,1688423776,ACK,4,0
16,MSG,316,1688423776,ACK,4,0
9,MSG,317,1688423779,REQUEST,1,11
9,MSG,318,1688423779,REQUEST,2,11
9,MSG,319,1688423779,REQUEST,3,11
9,MSG,320,1688423779,REQUEST,4,11
9,MSG,321,1688423779,REQUEST,5,11
9,MSG,322,1688423779,REQUEST,6,11
9,MSG,323,1688423779,REQUEST,7,11
9,MSG,324,1688423779,REQUEST,8,11
9,MSG,325,1688423779,REQUEST,10,11
9,MSG,326,1688423779,REQUEST,11,11
9,MSG,327,1688423779,REQUEST,12,11
9,MSG,328,1688423779,REQUEST,13,11
9,MSG,329,1688423779,REQUEST,14,11
9,MSG,330,1688423779,REQUEST,15,11
9,MSG,331,1688423779,REQUEST,16,11
9,CS_REQUESTED,332,1688423779,,,
6,MSG,333,1688423780,ACK,9,0
5,MSG,334,1688423780,ACK,9,0
3,MSG,335,1688423780,ACK,9,0
10,MSG,336,1688423780,ACK,9,0
15,MSG,337,1688423780,ACK,9,0
14,MSG,338,1688423780,ACK,9,0
8,MSG,339,1688423780,ACK,9,0
2,MSG,340,1688423780,ACK,9,0
16,MSG,341,1688423780,ACK,9,0
11,MSG,342,1688423780,ACK,9,0
12,MSG,343,1688423780,ACK,9,0
7,CS_ACCESS,344,1688423784,,,
7,MSG,345,1688423786,ACK,13,0
7,MSG,346,1688423786,ACK,1,0
7,CS_LEAVE,347,1688423786,,,
7,MSG,348,1688423786,ACK,4,0
7,MSG,349,1688423787,ACK,9,0
13,CS_ACCESS,350,1688423792,,,
6,MSG,351,1688423794,REQUEST,1,12
6,MSG,352,1688423794,REQUEST,2,12
6,MSG,353,1688423794,REQUEST,3,12
6,MSG,354,1688423794,REQUEST,4,12
6,MSG,355,1688423794,REQUEST,5,12
6,MSG,356,1688423794,REQUEST,7,12
6,MSG,357,1688423794,REQUEST,8,12
6,MSG,358,1688423794,REQUEST,9,12
6,MSG,359,1688423794,REQUEST,10,12
6,MSG,360,1688423794,REQUEST,11,12
6,MSG,361,1688423794,REQUEST,12,12
6,MSG,362,1688423794,REQUEST,13,12
6,MSG,363,1688423794,REQUEST,14,12
6,MSG,364,1688423794,REQUEST,15,12
6,MSG,365,1688423794,REQUEST,16,12
6,CS_REQUESTED,366,1688423794,,,
5,MSG,367,1688423794,ACK,6,0
13,MSG,368,1688423794,ACK,1,0
13,MSG,369,1688423794,ACK,4,0
13,MSG,370,1688423794,ACK,9,0
13,CS_LEAVE,371,1688423794,,,
13,MSG,372,1688423794,ACK,6,0
3,MSG,373,1688423794,ACK,6,0
7,MSG,374,1688423794,ACK,6,0
10,MSG,375,1688423794,ACK,6,0
15,MSG,376,1688423794,ACK,6,0
14,MSG,377,1688423794,ACK,6,0
8,MSG,378,1688423794,ACK,6,0
2,MSG,379,1688423794,ACK,6,0
16,MSG,380,1688423794,ACK,6,0
11,MSG,381,1688423794,ACK,6,0
12,MSG,382,1688423794,ACK,6,0
1,CS_ACCESS,383,1688423796,,,
1,MSG,384,1688423798,ACK,4,0
1,MSG,385,1688423798,ACK,9,0
1,MSG,386,1688423798,ACK,6,0
1,CS_LEAVE,387,1688423798,,,
4,CS_ACCESS,388,1688423799,,,
11,MSG,389,1688423800,REQUEST,1,13
11,MSG,390,1688423800,REQUEST,2,13
11,MSG,391,1688423800,REQUEST,3,13
11,MSG,392,1688423800,REQUEST,4,13
11,MSG,393,1688423800,REQUEST,5,13
11,MSG,394,1688423800,REQUEST,6,13
11,MSG,395,1688423800,REQUEST,7,13
11,MSG,396,1688423800,REQUEST,8,13
11,MSG,397,1688423800,REQUEST,9,13
11,MSG,398,1688423800,REQUEST,10,13
11,MSG,399,1688423800,REQUEST,12,13
11,MSG,400,1688423800,REQUEST,13,13
11,MSG,401,1688423800,REQUEST,14,13
11,MSG,402,1688423800,REQUEST,15,13
11,MSG,403,1688423800,REQUEST,16,13
11,CS_REQUESTED,404,1688423800,,,
12,MSG,405,1688423800,ACK,11,0
5,MSG,406,1688423801,ACK,11,0
13,MSG,407,1688423801,ACK,11,0
3,MSG,408,1688423801,ACK,11,0
7,MSG,409,1688423801,ACK,11,0
10,MSG,410,1688423801,ACK,11,0
15,MSG,411,1688423801,ACK,11,0
14,MSG,412,1688423801,ACK,11,0
8,MSG,413,1688423801,ACK,11,0
2,MSG,414,1688423801,ACK,11,0
16,MSG,415,1688423801,ACK,11,0
1,MSG,416,1688423801,ACK,11,0
4,MSG,417,1688423801,ACK,9,0
4,MSG,418,1688423801,ACK,6,0
4,MSG,419,1688423801,ACK,11,0
4,CS_LEAVE,420,1688423801,,,
9,CS_ACCESS,421,1688423802,,,
16,MSG,422,1688423803,REQUEST,1,14
16,MSG,423,1688423803,REQUEST,2,14
16,MSG,424,1688423803,REQUEST,3,14
16,MSG,425,1688423803,REQUEST,4,14
16,MSG,426,1688423803,REQUEST,5,14
16,MSG,427,1688423803,REQUEST,6,14
16,MSG,428,1688423803,REQUEST,7,14
16,MSG,429,1688423803,REQUEST,8,14
16,MSG,430,1688423803,REQUEST,9,14
16,MSG,431,1688423803,REQUEST,10,14
