procID,event_type,logical_clock,real_clock,msg,msg_receiver,msg_ts
0,START,0,1688464531.99647,,,
17,MSG,1,1688464535.246714,REQUEST,1,2
17,MSG,2,1688464535.2467325,REQUEST,2,2
17,MSG,3,1688464535.246739,REQUEST,3,2
17,MSG,4,1688464535.2467444,REQUEST,4,2
17,MSG,5,1688464535.2467494,REQUEST,5,2
17,MSG,6,1688464535.246755,REQUEST,6,2
17,MSG,7,1688464535.24676,REQUEST,7,2
17,MSG,8,1688464535.2467685,REQUEST,8,2
17,MSG,9,1688464535.246864,REQUEST,9,2
17,MSG,10,1688464535.2469213,REQUEST,10,2
17,MSG,11,1688464535.2469282,REQUEST,11,2
17,MSG,12,1688464535.2469354,REQUEST,12,2
17,MSG,13,1688464535.2469409,REQUEST,13,2
17,MSG,14,1688464535.2469482,REQUEST,14,2
17,MSG,15,1688464535.2469552,REQUEST,15,2
17,MSG,16,1688464535.2469609,REQUEST,16,2
17,MSG,17,1688464535.247025,REQUEST,18,2
17,MSG,18,1688464535.2470343,REQUEST,19,2
17,MSG,19,1688464535.2470455,REQUEST,20,2
17,MSG,20,1688464535.247053,REQUEST,21,2
17,MSG,21,1688464535.247061,REQUEST,22,2
17,MSG,22,1688464535.247069,REQUEST,23,2
17,MSG,23,1688464535.2470775,REQUEST,24,2
17,MSG,24,1688464535.2470846,REQUEST,25,2
17,CS_REQUESTED,25,1688464535.2470984,,,
21,MSG,26,1688464535.2646067,ACK,17,0
13,MSG,27,1688464535.2646344,ACK,17,0
2,MSG,28,1688464535.289025,ACK,17,0
22,MSG,29,1688464535.2958517,ACK,17,0
3,MSG,30,1688464535.3207724,ACK,17,0
19,MSG,31,1688464535.3303406,ACK,17,0
9,MSG,32,1688464535.3303688,ACK,17,0
4,MSG,33,1688464535.3713186,ACK,17,0
5,MSG,34,1688464535.4226122,ACK,17,0
10,MSG,35,1688464535.4669242,ACK,17,0
23,MSG,36,1688464535.5144012,ACK,17,0
18,MSG,37,1688464535.514421,ACK,17,0
7,MSG,38,1688464535.5236762,ACK,17,0
25,MSG,39,1688464535.5237842,ACK,17,0
11,MSG,40,1688464535.5568128,ACK,17,0
6,MSG,41,1688464535.5569265,ACK,17,0
20,MSG,42,1688464535.5570545,ACK,17,0
8,MSG,43,1688464535.596863,ACK,17,0
16,MSG,44,1688464535.6060991,ACK,17,0
14,MSG,45,1688464535.6288183,ACK,17,0
12,MSG,46,1688464535.6288366,ACK,17,0
1,MSG,47,1688464535.6347194,ACK,17,0
24,MSG,48,1688464535.634733,ACK,17,0
15,MSG,49,1688464535.6347442,ACK,17,0
5,MSG,50,1688464538.6262677,REQUEST,1,3
5,MSG,51,1688464538.6262841,REQUEST,2,3
5,MSG,52,1688464538.6262991,REQUEST,3,3
5,MSG,53,1688464538.626305,REQUEST,4,3
5,MSG,54,1688464538.626312,REQUEST,6,3
5,MSG,55,1688464538.6263173,REQUEST,7,3
5,MSG,56,1688464538.626323,REQUEST,8,3
5,MSG,57,1688464538.626328,REQUEST,9,3
5,MSG,58,1688464538.6263335,REQUEST,10,3
5,MSG,59,1688464538.62634,REQUEST,11,3
5,MSG,60,1688464538.6263452,REQUEST,12,3
5,MSG,61,1688464538.6263502,REQUEST,13,3
5,MSG,62,1688464538.6263554,REQUEST,14,3
5,MSG,63,1688464538.6263607,REQUEST,15,3
5,MSG,64,1688464538.6263657,REQUEST,16,3
5,MSG,65,1688464538.6263714,REQUEST,17,3
5,MSG,66,1688464538.6264038,REQUEST,18,3
5,MSG,67,1688464538.6264105,REQUEST,19,3
5,MSG,68,1688464538.6264179,REQUEST,20,3
5,MSG,69,1688464538.626425,REQUEST,21,3
5,MSG,70,1688464538.6264343,REQUEST,22,3
5,MSG,71,1688464538.626442,REQUEST,23,3
5,MSG,72,1688464538.6264505,REQUEST,24,3
5,MSG,73,1688464538.626459,REQUEST,25,3
5,CS_REQUESTED,74,1688464538.6264837,,,
10,MSG,75,1688464538.67046,ACK,5,0
18,MSG,76,1688464538.7184498,ACK,5,0
23,MSG,77,1688464538.7184875,ACK,5,0
25,MSG,78,1688464538.7278383,ACK,5,0
7,MSG,79,1688464538.7279541,ACK,5,0
11,MSG,80,1688464538.7607968,ACK,5,0
20,MSG,81,1688464538.7608173,ACK,5,0
6,MSG,82,1688464538.7609024,ACK,5,0
8,MSG,83,1688464538.8010309,ACK,5,0
16,MSG,84,1688464538.8098767,ACK,5,0
14,MSG,85,1688464538.8328881,ACK,5,0
12,MSG,86,1688464538.832998,ACK,5,0
1,MSG,87,1688464538.8386657,ACK,5,0
24,MSG,88,1688464538.8387225,ACK,5,0
15,MSG,89,1688464538.8387468,ACK,5,0
21,MSG,90,1688464538.8691342,ACK,5,0
13,MSG,91,1688464538.8691587,ACK,5,0
2,MSG,92,1688464538.8934398,ACK,5,0
22,MSG,93,1688464538.8998237,ACK,5,0
3,MSG,94,1688464538.9252741,ACK,5,0
19,MSG,95,1688464538.9348023,ACK,5,0
9,MSG,96,1688464538.9349082,ACK,5,0
4,MSG,97,1688464538.9759355,ACK,5,0
17,CS_ACCESS,98,1688464545.2634504,,,
21,MSG,99,1688464545.6773696,REQUEST,1,4
21,MSG,100,1688464545.6773856,REQUEST,2,4
21,MSG,101,1688464545.6773913,REQUEST,3,4
21,MSG,102,1688464545.6773968,REQUEST,4,4
21,MSG,103,1688464545.6774013,REQUEST,5,4
21,MSG,104,1688464545.6774063,REQUEST,6,4
21,MSG,105,1688464545.6774113,REQUEST,7,4
21,MSG,106,1688464545.6774158,REQUEST,8,4
21,MSG,107,1688464545.6774297,REQUEST,9,4
21,MSG,108,1688464545.677435,REQUEST,10,4
21,MSG,109,1688464545.6774397,REQUEST,11,4
21,MSG,110,1688464545.6774454,REQUEST,12,4
21,MSG,111,1688464545.6774502,REQUEST,13,4
21,MSG,112,1688464545.6774564,REQUEST,14,4
21,MSG,113,1688464545.6774633,REQUEST,15,4
21,MSG,114,1688464545.6774688,REQUEST,16,4
21,MSG,115,1688464545.677474,REQUEST,17,4
21,MSG,116,1688464545.6774795,REQUEST,18,4
21,MSG,117,1688464545.6774843,REQUEST,19,4
21,MSG,118,1688464545.6774898,REQUEST,20,4
21,MSG,119,1688464545.6774948,REQUEST,22,4
21,MSG,120,1688464545.6774995,REQUEST,23,4
21,MSG,121,1688464545.6775045,REQUEST,24,4
21,MSG,122,1688464545.677511,REQUEST,25,4
21,CS_REQUESTED,123,1688464545.6775155,,,
2,MSG,124,1688464545.701666,ACK,21,0
22,MSG,125,1688464545.7077234,ACK,21,0
3,MSG,126,1688464545.7335396,ACK,21,0
9,MSG,127,1688464545.743514,ACK,21,0
19,MSG,128,1688464545.7436268,ACK,21,0
4,MSG,129,1688464545.7844043,ACK,21,0
10,MSG,130,1688464545.8791301,ACK,21,0
23,MSG,131,1688464545.9275541,ACK,21,0
18,MSG,132,1688464545.9277363,ACK,21,0
7,MSG,133,1688464545.9362934,ACK,21,0
25,MSG,134,1688464545.9364088,ACK,21,0
20,MSG,135,1688464545.9696019,ACK,21,0
11,MSG,136,1688464545.9696195,ACK,21,0
6,MSG,137,1688464545.9697819,ACK,21,0
8,MSG,138,1688464546.0099068,ACK,21,0
16,MSG,139,1688464546.0187097,ACK,21,0
12,MSG,140,1688464546.0418255,ACK,21,0
14,MSG,141,1688464546.0419352,ACK,21,0
24,MSG,142,1688464546.0477715,ACK,21,0
1,MSG,143,1688464546.0479326,ACK,21,0
15,MSG,144,1688464546.0481749,ACK,21,0
13,MSG,145,1688464546.0796607,ACK,21,0
17,MSG,146,1688464546.4682167,ACK,5,0
17,MSG,147,1688464546.4682326,ACK,21,0
17,CS_LEAVE,148,1688464546.468239,,,
5,CS_ACCESS,149,1688464549.04291,,,
5,MSG,150,1688464550.247461,ACK,21,0
5,CS_LEAVE,151,1688464550.2474756,,,
21,CS_ACCESS,152,1688464555.6936858,,,
21,CS_LEAVE,153,1688464556.8980565,,,
1,MSG,154,1688464564.4704556,REQUEST,2,5
1,MSG,155,1688464564.4704788,REQUEST,3,5
1,MSG,156,1688464564.470486,REQUEST,4,5
1,MSG,157,1688464564.4704916,REQUEST,5,5
1,MSG,158,1688464564.4704964,REQUEST,6,5
1,MSG,159,1688464564.4705014,REQUEST,7,5
1,MSG,160,1688464564.4705064,REQUEST,8,5
1,MSG,161,1688464564.4705267,REQUEST,9,5
1,MSG,162,1688464564.4705317,REQUEST,10,5
1,MSG,163,1688464564.4705367,REQUEST,11,5
1,MSG,164,1688464564.4705415,REQUEST,12,5
1,MSG,165,1688464564.4705462,REQUEST,13,5
1,MSG,166,1688464564.4705517,REQUEST,14,5
1,MSG,167,1688464564.4705567,REQUEST,15,5
1,MSG,168,1688464564.4705625,REQUEST,16,5
1,MSG,169,1688464564.4705687,REQUEST,17,5
1,MSG,170,1688464564.4706154,REQUEST,18,5
1,MSG,171,1688464564.470622,REQUEST,19,5
1,MSG,172,1688464564.4706342,REQUEST,20,5
1,MSG,173,1688464564.4707355,REQUEST,21,5
1,MSG,174,1688464564.4707496,REQUEST,22,5
1,MSG,175,1688464564.4707565,REQUEST,23,5
1,MSG,176,1688464564.470763,REQUEST,24,5
1,MSG,177,1688464564.47077,REQUEST,25,5
1,CS_REQUESTED,178,1688464564.4707901,,,
17,MSG,179,1688464564.4906127,ACK,1,0
13,MSG,180,1688464564.5017436,ACK,1,0
21,MSG,181,1688464564.5072803,ACK,1,0
2,MSG,182,1688464564.5244029,ACK,1,0
22,MSG,183,1688464564.5307584,ACK,1,0
3,MSG,184,1688464564.5563896,ACK,1,0
9,MSG,185,1688464564.5670133,ACK,1,0
19,MSG,186,1688464564.5670793,ACK,1,0
4,MSG,187,1688464564.607189,ACK,1,0
5,MSG,188,1688464564.6649208,ACK,1,0
10,MSG,189,1688464564.7021768,ACK,1,0
18,MSG,190,1688464564.750388,ACK,1,0
23,MSG,191,1688464564.7504563,ACK,1,0
25,MSG,192,1688464564.7599237,ACK,1,0
7,MSG,193,1688464564.7600226,ACK,1,0
11,MSG,194,1688464564.7922869,ACK,1,0
20,MSG,195,1688464564.7923222,ACK,1,0
6,MSG,196,1688464564.797544,ACK,1,0
8,MSG,197,1688464564.8323693,ACK,1,0
16,MSG,198,1688464564.8414648,ACK,1,0
14,MSG,199,1688464564.8649087,ACK,1,0
12,MSG,200,1688464564.870148,ACK,1,0
15,MSG,201,1688464564.870248,ACK,1,0
24,MSG,202,1688464564.8702698,ACK,1,0
19,MSG,203,1688464573.7783277,REQUEST,1,6
19,MSG,204,1688464573.7783446,REQUEST,2,6
19,MSG,205,1688464573.7783518,REQUEST,3,6
19,MSG,206,1688464573.7783582,REQUEST,4,6
19,MSG,207,1688464573.778364,REQUEST,5,6
19,MSG,208,1688464573.7783694,REQUEST,6,6
19,MSG,209,1688464573.7783754,REQUEST,7,6
19,MSG,210,1688464573.778388,REQUEST,8,6
19,MSG,211,1688464573.7783935,REQUEST,9,6
19,MSG,212,1688464573.7783988,REQUEST,10,6
19,MSG,213,1688464573.7784042,REQUEST,11,6
19,MSG,214,1688464573.7784097,REQUEST,12,6
19,MSG,215,1688464573.7784152,REQUEST,13,6
19,MSG,216,1688464573.7784207,REQUEST,14,6
19,MSG,217,1688464573.7784262,REQUEST,15,6
19,MSG,218,1688464573.7784317,REQUEST,16,6
19,MSG,219,1688464573.7784595,REQUEST,17,6
19,MSG,220,1688464573.7784648,REQUEST,18,6
19,MSG,221,1688464573.7784743,REQUEST,20,6
19,MSG,222,1688464573.7784793,REQUEST,21,6
19,MSG,223,1688464573.7784855,REQUEST,22,6
19,MSG,224,1688464573.7786689,REQUEST,23,6
19,MSG,225,1688464573.7786815,REQUEST,24,6
19,MSG,226,1688464573.7786884,REQUEST,25,6
19,CS_REQUESTED,227,1688464573.778709,,,
4,MSG,228,1688464573.8182614,ACK,19,0
5,MSG,229,1688464573.8763554,ACK,19,0
10,MSG,230,1688464573.9131167,ACK,19,0
