procID,event_type,logical_clock,real_clock,msg,msg_receiver,msg_ts
0,START,0,1688463682.280257,,,
3,MSG,1,1688463682.89166,REQUEST,1,2
3,MSG,2,1688463682.8917189,REQUEST,2,2
3,MSG,3,1688463682.8917274,REQUEST,4,2
3,MSG,4,1688463682.8917334,REQUEST,5,2
3,MSG,5,1688463682.891739,REQUEST,6,2
3,MSG,6,1688463682.8917468,REQUEST,7,2
3,MSG,7,1688463682.891753,REQUEST,8,2
3,MSG,8,1688463682.891759,REQUEST,9,2
3,MSG,9,1688463682.8917634,REQUEST,10,2
3,MSG,10,1688463682.8917694,REQUEST,11,2
3,MSG,11,1688463682.8917751,REQUEST,12,2
3,MSG,12,1688463682.8917828,REQUEST,13,2
3,MSG,13,1688463682.8917885,REQUEST,14,2
3,MSG,14,1688463682.8917947,REQUEST,15,2
3,MSG,15,1688463682.8918009,REQUEST,16,2
3,MSG,16,1688463682.891807,REQUEST,17,2
3,MSG,17,1688463682.8918455,REQUEST,18,2
3,MSG,18,1688463682.8918529,REQUEST,19,2
3,MSG,19,1688463682.8918586,REQUEST,20,2
3,MSG,20,1688463682.891865,REQUEST,21,2
3,MSG,21,1688463682.8918703,REQUEST,22,2
3,MSG,22,1688463682.8918765,REQUEST,23,2
3,MSG,23,1688463682.8918817,REQUEST,24,2
3,MSG,24,1688463682.8918877,REQUEST,25,2
3,MSG,25,1688463682.8918955,REQUEST,26,2
3,MSG,26,1688463682.8919015,REQUEST,27,2
3,MSG,27,1688463682.891907,REQUEST,28,2
3,MSG,28,1688463682.8919127,REQUEST,29,2
3,MSG,29,1688463682.8919177,REQUEST,30,2
3,MSG,30,1688463682.8919234,REQUEST,31,2
3,MSG,31,1688463682.891932,REQUEST,32,2
3,MSG,32,1688463682.8919404,REQUEST,33,2
3,MSG,33,1688463682.8919506,REQUEST,34,2
3,MSG,34,1688463682.8919618,REQUEST,35,2
3,MSG,35,1688463682.8919709,REQUEST,36,2
3,CS_REQUESTED,36,1688463682.892006,,,
18,MSG,37,1688463682.929613,ACK,3,0
30,MSG,38,1688463682.9383204,ACK,3,0
