procID,event_type,logical_clock,real_clock,msg,msg_receiver,msg_ts
0,START,0,1688466573.0587692,,,
17,MSG,1,1688466573.1917205,REQUEST,1,2
15,MSG,2,1688466573.196978,REQUEST,1,2
17,MSG,3,1688466573.197008,REQUEST,2,2
15,MSG,4,1688466573.1971052,REQUEST,2,2
15,MSG,5,1688466573.1972058,REQUEST,3,2
15,MSG,6,1688466573.197216,REQUEST,4,2
15,MSG,7,1688466573.1972225,REQUEST,5,2
15,MSG,8,1688466573.197228,REQUEST,6,2
15,MSG,9,1688466573.197234,REQUEST,7,2
15,MSG,10,1688466573.1972427,REQUEST,8,2
15,MSG,11,1688466573.1972482,REQUEST,9,2
15,MSG,12,1688466573.197259,REQUEST,10,2
15,MSG,13,1688466573.1972644,REQUEST,11,2
15,MSG,14,1688466573.1972706,REQUEST,12,2
15,MSG,15,1688466573.197276,REQUEST,13,2
15,MSG,16,1688466573.1973374,REQUEST,14,2
15,MSG,17,1688466573.1973429,REQUEST,16,2
15,MSG,18,1688466573.1973486,REQUEST,17,2
17,MSG,19,1688466573.1973796,REQUEST,3,2
17,MSG,20,1688466573.197392,REQUEST,4,2
17,MSG,21,1688466573.197399,REQUEST,5,2
17,MSG,22,1688466573.1974046,REQUEST,6,2
17,MSG,23,1688466573.19741,REQUEST,7,2
17,MSG,24,1688466573.1974158,REQUEST,8,2
17,MSG,25,1688466573.1974244,REQUEST,9,2
17,MSG,26,1688466573.1974316,REQUEST,10,2
17,MSG,27,1688466573.1974378,REQUEST,11,2
17,MSG,28,1688466573.1974432,REQUEST,12,2
17,MSG,29,1688466573.1974487,REQUEST,13,2
17,MSG,30,1688466573.1974545,REQUEST,14,2
17,MSG,31,1688466573.1974595,REQUEST,15,2
17,MSG,32,1688466573.1974652,REQUEST,16,2
15,MSG,33,1688466573.197487,REQUEST,18,2
15,MSG,34,1688466573.1974947,REQUEST,19,2
15,MSG,35,1688466573.197503,REQUEST,20,2
15,MSG,36,1688466573.1975088,REQUEST,21,2
15,MSG,37,1688466573.1975145,REQUEST,22,2
15,MSG,38,1688466573.1975205,REQUEST,23,2
15,MSG,39,1688466573.1981046,REQUEST,24,2
15,MSG,40,1688466573.1981153,REQUEST,25,2
15,MSG,41,1688466573.198144,REQUEST,26,2
15,MSG,42,1688466573.1981742,REQUEST,27,2
15,MSG,43,1688466573.1981828,REQUEST,28,2
15,MSG,44,1688466573.1981885,REQUEST,29,2
15,MSG,45,1688466573.1981943,REQUEST,30,2
15,MSG,46,1688466573.198199,REQUEST,31,2
15,MSG,47,1688466573.1982048,REQUEST,32,2
15,MSG,48,1688466573.1982102,REQUEST,33,2
15,MSG,49,1688466573.1982152,REQUEST,34,2
15,MSG,50,1688466573.1982203,REQUEST,35,2
15,MSG,51,1688466573.1982255,REQUEST,36,2
17,MSG,52,1688466573.198251,REQUEST,18,2
17,MSG,53,1688466573.1982605,REQUEST,19,2
