procID,event_type,logical_clock,real_clock,msg,msg_receiver,msg_ts
0,START,0,1688467290.966686,,,
22,MSG,1,1688467290.9987128,REQUEST,1,2
22,MSG,2,1688467290.9987407,REQUEST,2,2
22,MSG,3,1688467290.998748,REQUEST,3,2
22,MSG,4,1688467290.9987607,REQUEST,4,2
22,MSG,5,1688467290.998767,REQUEST,5,2
22,MSG,6,1688467290.9987833,REQUEST,6,2
22,MSG,7,1688467290.9987893,REQUEST,7,2
22,MSG,8,1688467290.9987953,REQUEST,8,2
22,MSG,9,1688467290.998803,REQUEST,9,2
22,MSG,10,1688467290.9988093,REQUEST,10,2
22,MSG,11,1688467290.9988184,REQUEST,11,2
22,MSG,12,1688467290.9988334,REQUEST,12,2
22,MSG,13,1688467290.9988427,REQUEST,13,2
22,MSG,14,1688467290.9988534,REQUEST,14,2
22,MSG,15,1688467290.9988625,REQUEST,15,2
22,MSG,16,1688467290.9988732,REQUEST,16,2
22,MSG,17,1688467290.9989452,REQUEST,17,2
22,MSG,18,1688467290.9989529,REQUEST,18,2
22,MSG,19,1688467290.9989583,REQUEST,19,2
22,MSG,20,1688467290.998968,REQUEST,20,2
22,MSG,21,1688467290.9989734,REQUEST,21,2
22,MSG,22,1688467290.9989784,REQUEST,23,2
22,MSG,23,1688467290.9989848,REQUEST,24,2
22,MSG,24,1688467290.998992,REQUEST,25,2
22,MSG,25,1688467290.9989972,REQUEST,26,2
22,MSG,26,1688467290.999003,REQUEST,27,2
22,MSG,27,1688467290.99901,REQUEST,28,2
22,MSG,28,1688467290.9990163,REQUEST,29,2
22,MSG,29,1688467290.9990876,REQUEST,30,2
22,MSG,30,1688467290.9990938,REQUEST,31,2
22,MSG,31,1688467290.9990997,REQUEST,32,2
22,MSG,32,1688467290.9991052,REQUEST,33,2
22,MSG,33,1688467290.999112,REQUEST,34,2
22,MSG,34,1688467290.9991205,REQUEST,35,2
22,MSG,35,1688467290.9991257,REQUEST,36,2
22,MSG,36,1688467290.9991312,REQUEST,37,2
22,MSG,37,1688467290.9991367,REQUEST,38,2
22,MSG,38,1688467290.9991417,REQUEST,39,2
22,MSG,39,1688467290.999147,REQUEST,40,2
22,MSG,40,1688467290.9991548,REQUEST,41,2
22,MSG,41,1688467290.999163,REQUEST,42,2
22,MSG,42,1688467290.999174,REQUEST,43,2
22,MSG,43,1688467290.9991832,REQUEST,44,2
22,MSG,44,1688467290.9991927,REQUEST,45,2
22,MSG,45,1688467290.9992018,REQUEST,46,2
22,MSG,46,1688467290.9992106,REQUEST,47,2
22,MSG,47,1688467290.9992201,REQUEST,48,2
22,MSG,48,1688467290.9992287,REQUEST,49,2
22,CS_REQUESTED,49,1688467290.9992545,,,
43,MSG,50,1688467291.010851,ACK,22,0
17,MSG,51,1688467291.0237675,REQUEST,1,2
17,MSG,52,1688467291.0238104,REQUEST,2,2
17,MSG,53,1688467291.0238218,REQUEST,3,2
17,MSG,54,1688467291.023832,REQUEST,4,2
17,MSG,55,1688467291.0238378,REQUEST,5,2
17,MSG,56,1688467291.0238435,REQUEST,6,2
17,MSG,57,1688467291.0238504,REQUEST,7,2
17,MSG,58,1688467291.023857,REQUEST,8,2
17,MSG,59,1688467291.023863,REQUEST,9,2
17,MSG,60,1688467291.0238698,REQUEST,10,2
17,MSG,61,1688467291.0238755,REQUEST,11,2
17,MSG,62,1688467291.0238814,REQUEST,12,2
17,MSG,63,1688467291.0238874,REQUEST,13,2
17,MSG,64,1688467291.0238936,REQUEST,14,2
17,MSG,65,1688467291.0239007,REQUEST,15,2
17,MSG,66,1688467291.0239096,REQUEST,16,2
17,MSG,67,1688467291.0239599,REQUEST,18,2
17,MSG,68,1688467291.023969,REQUEST,19,2
17,MSG,69,1688467291.0239756,REQUEST,20,2
17,MSG,70,1688467291.0239818,REQUEST,21,2
17,MSG,71,1688467291.023988,REQUEST,22,2
17,MSG,72,1688467291.0239942,REQUEST,23,2
17,MSG,73,1688467291.0240004,REQUEST,24,2
17,MSG,74,1688467291.0240061,REQUEST,25,2
17,MSG,75,1688467291.0240128,REQUEST,26,2
17,MSG,76,1688467291.0240185,REQUEST,27,2
17,MSG,77,1688467291.024024,REQUEST,28,2
17,MSG,78,1688467291.0240302,REQUEST,29,2
17,MSG,79,1688467291.0240362,REQUEST,30,2
17,MSG,80,1688467291.0240414,REQUEST,31,2
17,MSG,81,1688467291.0240471,REQUEST,32,2
17,MSG,82,1688467291.0240524,REQUEST,33,2
17,MSG,83,1688467291.024058,REQUEST,34,2
17,MSG,84,1688467291.0240638,REQUEST,35,2
17,MSG,85,1688467291.0240698,REQUEST,36,2
17,MSG,86,1688467291.0240755,REQUEST,37,2
17,MSG,87,1688467291.024082,REQUEST,38,2
17,MSG,88,1688467291.0240915,REQUEST,39,2
17,MSG,89,1688467291.0241005,REQUEST,40,2
17,MSG,90,1688467291.02411,REQUEST,41,2
17,MSG,91,1688467291.0241191,REQUEST,42,2
17,MSG,92,1688467291.0241296,REQUEST,43,2
17,MSG,93,1688467291.0241392,REQUEST,44,2
17,MSG,94,1688467291.024149,REQUEST,45,2
17,MSG,95,1688467291.0241685,REQUEST,46,2
17,MSG,96,1688467291.0241787,REQUEST,47,2
17,MSG,97,1688467291.0241888,REQUEST,48,2
17,MSG,98,1688467291.0241988,REQUEST,49,2
17,CS_REQUESTED,99,1688467291.0242238,,,
29,MSG,100,1688467291.0584042,ACK,22,0
19,MSG,101,1688467291.058443,REQUEST,1,2
19,MSG,102,1688467291.0584626,REQUEST,2,2
19,MSG,103,1688467291.058506,REQUEST,3,2
19,MSG,104,1688467291.0585158,REQUEST,4,2
19,MSG,105,1688467291.0585248,REQUEST,5,2
19,MSG,106,1688467291.0585341,REQUEST,6,2
19,MSG,107,1688467291.058543,REQUEST,7,2
19,MSG,108,1688467291.0585496,REQUEST,8,2
19,MSG,109,1688467291.0585558,REQUEST,9,2
19,MSG,110,1688467291.0585628,REQUEST,10,2
19,MSG,111,1688467291.0585692,REQUEST,11,2
19,MSG,112,1688467291.0585759,REQUEST,12,2
19,MSG,113,1688467291.058582,REQUEST,13,2
19,MSG,114,1688467291.0585902,REQUEST,14,2
19,MSG,115,1688467291.0586002,REQUEST,15,2
19,MSG,116,1688467291.0586102,REQUEST,16,2
19,MSG,117,1688467291.058684,REQUEST,17,2
19,MSG,118,1688467291.0586927,REQUEST,18,2
19,MSG,119,1688467291.0586996,REQUEST,20,2
19,MSG,120,1688467291.0587096,REQUEST,21,2
19,MSG,121,1688467291.058719,REQUEST,22,2
19,MSG,122,1688467291.0587265,REQUEST,23,2
19,MSG,123,1688467291.0587351,REQUEST,24,2
19,MSG,124,1688467291.058745,REQUEST,25,2
19,MSG,125,1688467291.058754,REQUEST,26,2
19,MSG,126,1688467291.0587628,REQUEST,27,2
19,MSG,127,1688467291.0587702,REQUEST,28,2
19,MSG,128,1688467291.0587764,REQUEST,29,2
19,MSG,129,1688467291.058782,REQUEST,30,2
19,MSG,130,1688467291.0588021,REQUEST,31,2
19,MSG,131,1688467291.058808,REQUEST,32,2
19,MSG,132,1688467291.0588162,REQUEST,33,2
19,MSG,133,1688467291.0588248,REQUEST,34,2
19,MSG,134,1688467291.058833,REQUEST,35,2
19,MSG,135,1688467291.058842,REQUEST,36,2
19,MSG,136,1688467291.0588508,REQUEST,37,2
19,MSG,137,1688467291.05886,REQUEST,38,2
19,MSG,138,1688467291.0588717,REQUEST,39,2
19,MSG,139,1688467291.0588813,REQUEST,40,2
19,MSG,140,1688467291.0588913,REQUEST,41,2
19,MSG,141,1688467291.0589008,REQUEST,42,2
19,MSG,142,1688467291.0589075,REQUEST,43,2
19,MSG,143,1688467291.0589128,REQUEST,44,2
19,MSG,144,1688467291.058921,REQUEST,45,2
19,MSG,145,1688467291.0589294,REQUEST,46,2
19,MSG,146,1688467291.0589373,REQUEST,47,2
19,MSG,147,1688467291.0589461,REQUEST,48,2
19,MSG,148,1688467291.0589557,REQUEST,49,2
19,CS_REQUESTED,149,1688467291.059002,,,
2,MSG,150,1688467291.0727324,REQUEST,1,2
10,MSG,151,1688467291.0727558,ACK,22,0
2,MSG,152,1688467291.0727923,REQUEST,3,2
2,MSG,153,1688467291.0728014,REQUEST,4,2
2,MSG,154,1688467291.0728073,REQUEST,5,2
