procID,event_type,logical_clock,real_clock,msg,msg_receiver,msg_ts
0,START,0,1688461321.1125302,,,
56,MSG,1,1688461321.1141477,REQUEST,1,2
56,MSG,2,1688461321.1141593,REQUEST,2,2
56,MSG,3,1688461321.1141663,REQUEST,3,2
56,MSG,4,1688461321.1141734,REQUEST,4,2
56,MSG,5,1688461321.114181,REQUEST,5,2
56,MSG,6,1688461321.1141899,REQUEST,6,2
56,MSG,7,1688461321.114198,REQUEST,7,2
56,MSG,8,1688461321.114208,REQUEST,8,2
56,MSG,9,1688461321.114217,REQUEST,9,2
56,MSG,10,1688461321.114224,REQUEST,10,2
56,MSG,11,1688461321.1142323,REQUEST,11,2
56,MSG,12,1688461321.114238,REQUEST,12,2
56,MSG,13,1688461321.1142433,REQUEST,13,2
56,MSG,14,1688461321.114249,REQUEST,14,2
56,MSG,15,1688461321.1142569,REQUEST,15,2
56,MSG,16,1688461321.114266,REQUEST,16,2
56,MSG,17,1688461321.114275,REQUEST,17,2
56,MSG,18,1688461321.1142814,REQUEST,18,2
56,MSG,19,1688461321.114287,REQUEST,19,2
56,MSG,20,1688461321.114292,REQUEST,20,2
56,MSG,21,1688461321.1142979,REQUEST,21,2
56,MSG,22,1688461321.1143034,REQUEST,22,2
56,MSG,23,1688461321.1143086,REQUEST,23,2
56,MSG,24,1688461321.114314,REQUEST,24,2
56,MSG,25,1688461321.1143215,REQUEST,25,2
56,MSG,26,1688461321.1143272,REQUEST,26,2
56,MSG,27,1688461321.114333,REQUEST,27,2
56,MSG,28,1688461321.1143384,REQUEST,28,2
56,MSG,29,1688461321.1143434,REQUEST,29,2
56,MSG,30,1688461321.1143491,REQUEST,30,2
56,MSG,31,1688461321.1143544,REQUEST,31,2
56,MSG,32,1688461321.1143599,REQUEST,32,2
56,MSG,33,1688461321.1143656,REQUEST,33,2
56,MSG,34,1688461321.1143713,REQUEST,34,2
56,MSG,35,1688461321.1143768,REQUEST,35,2
56,MSG,36,1688461321.1143818,REQUEST,36,2
56,MSG,37,1688461321.114387,REQUEST,37,2
56,MSG,38,1688461321.1143925,REQUEST,38,2
56,MSG,39,1688461321.114398,REQUEST,39,2
56,MSG,40,1688461321.1144037,REQUEST,40,2
56,MSG,41,1688461321.1144092,REQUEST,41,2
56,MSG,42,1688461321.1144147,REQUEST,42,2
56,MSG,43,1688461321.1144216,REQUEST,43,2
56,MSG,44,1688461321.1144266,REQUEST,44,2
56,MSG,45,1688461321.1144326,REQUEST,45,2
56,MSG,46,1688461321.1144392,REQUEST,46,2
56,MSG,47,1688461321.1144445,REQUEST,47,2
56,MSG,48,1688461321.1144502,REQUEST,48,2
56,MSG,49,1688461321.1144552,REQUEST,49,2
56,MSG,50,1688461321.1144607,REQUEST,50,2
56,MSG,51,1688461321.1144655,REQUEST,51,2
56,MSG,52,1688461321.1144938,REQUEST,52,2
56,MSG,53,1688461321.114502,REQUEST,53,2
56,MSG,54,1688461321.114507,REQUEST,54,2
56,MSG,55,1688461321.114512,REQUEST,55,2
56,MSG,56,1688461321.1145165,REQUEST,57,2
56,MSG,57,1688461321.1145692,REQUEST,58,2
56,MSG,58,1688461321.1146116,REQUEST,59,2
56,MSG,59,1688461321.1146173,REQUEST,60,2
56,MSG,60,1688461321.1146243,REQUEST,61,2
56,MSG,61,1688461321.1146297,REQUEST,62,2
56,MSG,62,1688461321.1146352,REQUEST,63,2
56,MSG,63,1688461321.1146407,REQUEST,64,2
56,CS_REQUESTED,64,1688461321.1146462,,,
45,MSG,65,1688461321.1273198,ACK,56,0
17,MSG,66,1688461321.1441312,ACK,56,0
35,MSG,67,1688461321.1441627,ACK,56,0
55,MSG,68,1688461321.144188,ACK,56,0
6,MSG,69,1688461321.1442037,ACK,56,0
36,MSG,70,1688461321.1607108,ACK,56,0
1,MSG,71,1688461321.1608076,ACK,56,0
12,MSG,72,1688461321.1608558,ACK,56,0
16,MSG,73,1688461321.160892,ACK,56,0
22,MSG,74,1688461321.1611705,ACK,56,0
61,MSG,75,1688461321.1673996,ACK,56,0
58,MSG,76,1688461321.1674237,ACK,56,0
52,MSG,77,1688461321.1674428,ACK,56,0
26,MSG,78,1688461321.1674557,ACK,56,0
39,MSG,79,1688461321.1892364,ACK,56,0
3,MSG,80,1688461321.1892653,ACK,56,0
21,MSG,81,1688461321.189284,ACK,56,0
54,MSG,82,1688461321.1892993,ACK,56,0
31,MSG,83,1688461321.196143,ACK,56,0
11,MSG,84,1688461321.2091503,ACK,56,0
47,MSG,85,1688461321.2372963,ACK,56,0
60,MSG,86,1688461321.2442656,ACK,56,0
43,MSG,87,1688461321.2443004,ACK,56,0
50,MSG,88,1688461321.2618558,ACK,56,0
28,MSG,89,1688461321.2618933,ACK,56,0
10,MSG,90,1688461321.2670372,ACK,56,0
23,MSG,91,1688461321.302296,ACK,56,0
20,MSG,92,1688461321.31158,ACK,56,0
5,MSG,93,1688461321.3116522,ACK,56,0
40,MSG,94,1688461321.325305,ACK,56,0
2,MSG,95,1688461321.3253348,ACK,56,0
46,MSG,96,1688461321.3366606,ACK,56,0
29,MSG,97,1688461321.336697,ACK,56,0
25,MSG,98,1688461321.3491948,ACK,56,0
27,MSG,99,1688461321.3492427,ACK,56,0
59,MSG,100,1688461321.3556821,ACK,56,0
34,MSG,101,1688461321.3557065,ACK,56,0
42,MSG,102,1688461321.3557332,ACK,56,0
51,MSG,103,1688461321.380224,ACK,56,0
63,MSG,104,1688461321.3802478,ACK,56,0
19,MSG,105,1688461321.3802736,ACK,56,0
14,MSG,106,1688461321.3802962,ACK,56,0
62,MSG,107,1688461321.3994813,ACK,56,0
18,MSG,108,1688461321.3995228,ACK,56,0
15,MSG,109,1688461321.4086657,ACK,56,0
64,MSG,110,1688461321.426182,ACK,56,0
13,MSG,111,1688461321.426215,ACK,56,0
37,MSG,112,1688461321.426235,ACK,56,0
49,MSG,113,1688461321.4437141,ACK,56,0
48,MSG,114,1688461321.4437444,ACK,56,0
33,MSG,115,1688461321.443768,ACK,56,0
30,MSG,116,1688461321.4503682,ACK,56,0
4,MSG,117,1688461321.4640994,ACK,56,0
53,MSG,118,1688461321.483069,ACK,56,0
32,MSG,119,1688461321.4831104,ACK,56,0
8,MSG,120,1688461321.4926214,ACK,56,0
38,MSG,121,1688461321.5034988,ACK,56,0
9,MSG,122,1688461321.503523,ACK,56,0
57,MSG,123,1688461321.5087354,ACK,56,0
7,MSG,124,1688461321.5087647,ACK,56,0
