procID,event_type,logical_clock,real_clock,msg,msg_receiver,msg_ts
0,START,0,1688418149,,,
39,MSG,1,1688418149,REQUEST,1,2
39,MSG,2,1688418149,REQUEST,2,2
39,MSG,3,1688418149,REQUEST,3,2
39,MSG,4,1688418149,REQUEST,4,2
39,MSG,5,1688418149,REQUEST,5,2
39,MSG,6,1688418149,REQUEST,6,2
39,MSG,7,1688418149,REQUEST,7,2
39,MSG,8,1688418149,REQUEST,8,2
39,MSG,9,1688418149,REQUEST,9,2
39,MSG,10,1688418149,REQUEST,10,2
39,MSG,11,1688418149,REQUEST,11,2
39,MSG,12,1688418149,REQUEST,12,2
39,MSG,13,1688418149,REQUEST,13,2
39,MSG,14,1688418149,REQUEST,14,2
39,MSG,15,1688418149,REQUEST,15,2
39,MSG,16,1688418149,REQUEST,16,2
39,MSG,17,1688418149,REQUEST,17,2
39,MSG,18,1688418149,REQUEST,18,2
39,MSG,19,1688418149,REQUEST,19,2
39,MSG,20,1688418149,REQUEST,20,2
39,MSG,21,1688418149,REQUEST,21,2
39,MSG,22,1688418149,REQUEST,22,2
39,MSG,23,1688418149,REQUEST,23,2
39,MSG,24,1688418149,REQUEST,24,2
39,MSG,25,1688418149,REQUEST,25,2
39,MSG,26,1688418149,REQUEST,26,2
39,MSG,27,1688418149,REQUEST,27,2
39,MSG,28,1688418149,REQUEST,28,2
39,MSG,29,1688418149,REQUEST,29,2
39,MSG,30,1688418149,REQUEST,30,2
39,MSG,31,1688418149,REQUEST,31,2
39,MSG,32,1688418149,REQUEST,32,2
39,MSG,33,1688418149,REQUEST,33,2
39,MSG,34,1688418149,REQUEST,34,2
39,MSG,35,1688418149,REQUEST,35,2
39,MSG,36,1688418149,REQUEST,36,2
39,MSG,37,1688418149,REQUEST,37,2
39,MSG,38,1688418149,REQUEST,38,2
39,MSG,39,1688418149,REQUEST,40,2
39,MSG,40,1688418149,REQUEST,41,2
39,MSG,41,1688418149,REQUEST,42,2
39,MSG,42,1688418149,REQUEST,43,2
39,MSG,43,1688418149,REQUEST,44,2
39,MSG,44,1688418149,REQUEST,45,2
39,MSG,45,1688418149,REQUEST,46,2
39,MSG,46,1688418149,REQUEST,47,2
39,MSG,47,1688418149,REQUEST,48,2
39,MSG,48,1688418149,REQUEST,49,2
39,MSG,49,1688418149,REQUEST,50,2
39,MSG,50,1688418149,REQUEST,51,2
39,MSG,51,1688418149,REQUEST,52,2
39,MSG,52,1688418149,REQUEST,53,2
39,MSG,53,1688418149,REQUEST,54,2
39,MSG,54,1688418149,REQUEST,55,2
39,MSG,55,1688418149,REQUEST,56,2
39,MSG,56,1688418149,REQUEST,57,2
39,MSG,57,1688418149,REQUEST,58,2
39,MSG,58,1688418149,REQUEST,59,2
39,MSG,59,1688418149,REQUEST,60,2
39,MSG,60,1688418149,REQUEST,61,2
39,MSG,61,1688418149,REQUEST,62,2
39,MSG,62,1688418149,REQUEST,63,2
39,MSG,63,1688418149,REQUEST,64,2
39,MSG,64,1688418149,REQUEST,65,2
39,MSG,65,1688418149,REQUEST,66,2
39,MSG,66,1688418149,REQUEST,67,2
39,MSG,67,1688418149,REQUEST,68,2
39,MSG,68,1688418149,REQUEST,69,2
