procID,event_type,logical_clock,real_clock,msg,msg_receiver,msg_ts
0,START,0,1688465532.3209357,,,
8,MSG,1,1688465541.2349536,REQUEST,1,2
8,MSG,2,1688465541.234972,REQUEST,2,2
8,MSG,3,1688465541.2349782,REQUEST,3,2
8,MSG,4,1688465541.2349837,REQUEST,4,2
8,MSG,5,1688465541.2349887,REQUEST,5,2
8,MSG,6,1688465541.2349946,REQUEST,6,2
8,MSG,7,1688465541.2349997,REQUEST,7,2
8,MSG,8,1688465541.2350042,REQUEST,9,2
8,CS_REQUESTED,9,1688465541.235009,,,
7,MSG,10,1688465541.2839327,ACK,8,0
6,MSG,11,1688465541.3616161,ACK,8,0
4,MSG,12,1688465541.3824108,ACK,8,0
9,MSG,13,1688465541.3932838,ACK,8,0
5,MSG,14,1688465541.4577513,ACK,8,0
3,MSG,15,1688465541.4986985,ACK,8,0
1,MSG,16,1688465541.537693,ACK,8,0
2,MSG,17,1688465541.6277807,ACK,8,0
8,CS_ACCESS,18,1688465544.8433733,,,
8,CS_LEAVE,19,1688465546.0477033,,,
1,MSG,20,1688465550.3479543,REQUEST,2,3
1,MSG,21,1688465550.347972,REQUEST,3,3
1,MSG,22,1688465550.3479784,REQUEST,4,3
1,MSG,23,1688465550.3479831,REQUEST,5,3
1,MSG,24,1688465550.3479881,REQUEST,6,3
1,MSG,25,1688465550.3479931,REQUEST,7,3
1,MSG,26,1688465550.3479981,REQUEST,8,3
1,MSG,27,1688465550.3480031,REQUEST,9,3
1,CS_REQUESTED,28,1688465550.3480074,,,
2,MSG,29,1688465550.4387147,ACK,1,0
8,MSG,30,1688465550.4534879,ACK,1,0
7,MSG,31,1688465550.4954243,ACK,1,0
6,MSG,32,1688465550.5728374,ACK,1,0
4,MSG,33,1688465550.5938838,ACK,1,0
9,MSG,34,1688465550.604712,ACK,1,0
5,MSG,35,1688465550.668832,ACK,1,0
3,MSG,36,1688465550.7092085,ACK,1,0
1,CS_ACCESS,37,1688465553.956519,,,
1,CS_LEAVE,38,1688465555.1609166,,,
3,MSG,39,1688465562.323364,REQUEST,1,4
3,MSG,40,1688465562.3233802,REQUEST,2,4
3,MSG,41,1688465562.323386,REQUEST,4,4
3,MSG,42,1688465562.323392,REQUEST,5,4
3,MSG,43,1688465562.3233972,REQUEST,6,4
3,MSG,44,1688465562.323402,REQUEST,7,4
3,MSG,45,1688465562.323407,REQUEST,8,4
3,MSG,46,1688465562.3234186,REQUEST,9,4
3,CS_REQUESTED,47,1688465562.3234258,,,
1,MSG,48,1688465562.3700752,ACK,3,0
2,MSG,49,1688465562.4536386,ACK,3,0
8,MSG,50,1688465562.468236,ACK,3,0
7,MSG,51,1688465562.5101883,ACK,3,0
6,MSG,52,1688465562.5879223,ACK,3,0
4,MSG,53,1688465562.6077776,ACK,3,0
9,MSG,54,1688465562.6198032,ACK,3,0
5,MSG,55,1688465562.6835709,ACK,3,0
7,MSG,56,1688465564.512643,REQUEST,1,5
7,MSG,57,1688465564.5126607,REQUEST,2,5
7,MSG,58,1688465564.51267,REQUEST,3,5
7,MSG,59,1688465564.512679,REQUEST,4,5
7,MSG,60,1688465564.5126877,REQUEST,5,5
7,MSG,61,1688465564.5126963,REQUEST,6,5
7,MSG,62,1688465564.5127044,REQUEST,8,5
7,MSG,63,1688465564.512712,REQUEST,9,5
7,CS_REQUESTED,64,1688465564.5127184,,,
6,MSG,65,1688465564.5904906,ACK,7,0
4,MSG,66,1688465564.6103609,ACK,7,0
9,MSG,67,1688465564.622304,ACK,7,0
5,MSG,68,1688465564.6861413,ACK,7,0
1,MSG,69,1688465564.7729363,ACK,7,0
2,MSG,70,1688465564.8566902,ACK,7,0
8,MSG,71,1688465564.8712544,ACK,7,0
3,CS_ACCESS,72,1688465565.9321566,,,
3,MSG,73,1688465567.1363323,ACK,7,0
3,CS_LEAVE,74,1688465567.1363595,,,
7,CS_ACCESS,75,1688465568.121162,,,
7,CS_LEAVE,76,1688465569.3259645,,,
1,MSG,77,1688465616.8375497,REQUEST,2,6
1,MSG,78,1688465616.837566,REQUEST,3,6
1,MSG,79,1688465616.8375723,REQUEST,4,6
1,MSG,80,1688465616.8375769,REQUEST,5,6
1,MSG,81,1688465616.8375819,REQUEST,6,6
1,MSG,82,1688465616.8375869,REQUEST,7,6
1,MSG,83,1688465616.8375914,REQUEST,8,6
1,MSG,84,1688465616.837596,REQUEST,9,6
1,CS_REQUESTED,85,1688465616.8376005,,,
2,MSG,86,1688465616.9213135,ACK,1,0
8,MSG,87,1688465616.9358442,ACK,1,0
7,MSG,88,1688465616.985323,ACK,1,0
6,MSG,89,1688465617.054203,ACK,1,0
4,MSG,90,1688465617.0741165,ACK,1,0
9,MSG,91,1688465617.0870755,ACK,1,0
5,MSG,92,1688465617.1495152,ACK,1,0
3,MSG,93,1688465617.1977932,ACK,1,0
1,CS_ACCESS,94,1688465620.4450479,,,
8,MSG,95,1688465620.9410365,REQUEST,1,7
8,MSG,96,1688465620.9410539,REQUEST,2,7
8,MSG,97,1688465620.9410603,REQUEST,3,7
8,MSG,98,1688465620.9410658,REQUEST,4,7
8,MSG,99,1688465620.9410706,REQUEST,5,7
8,MSG,100,1688465620.941075,REQUEST,6,7
8,MSG,101,1688465620.9410799,REQUEST,7,7
8,MSG,102,1688465620.9410856,REQUEST,9,7
8,CS_REQUESTED,103,1688465620.94109,,,
7,MSG,104,1688465620.9902241,ACK,8,0
6,MSG,105,1688465621.0592048,ACK,8,0
4,MSG,106,1688465621.0790508,ACK,8,0
9,MSG,107,1688465621.092069,ACK,8,0
5,MSG,108,1688465621.15435,ACK,8,0
3,MSG,109,1688465621.2028716,ACK,8,0
2,MSG,110,1688465621.3268394,ACK,8,0
1,MSG,111,1688465621.6501446,ACK,8,0
1,CS_LEAVE,112,1688465621.6501584,,,
8,CS_ACCESS,113,1688465624.5481892,,,
8,CS_LEAVE,114,1688465625.7524555,,,
6,MSG,115,1688465653.4987621,REQUEST,1,8
6,MSG,116,1688465653.498778,REQUEST,2,8
6,MSG,117,1688465653.4987843,REQUEST,3,8
6,MSG,118,1688465653.49879,REQUEST,4,8
6,MSG,119,1688465653.4987948,REQUEST,5,8
6,MSG,120,1688465653.4988003,REQUEST,7,8
6,MSG,121,1688465653.4988053,REQUEST,8,8
6,MSG,122,1688465653.4988103,REQUEST,9,8
6,CS_REQUESTED,123,1688465653.4988153,,,
4,MSG,124,1688465653.5189087,ACK,6,0
9,MSG,125,1688465653.5318072,REQUEST,1,8
9,MSG,126,1688465653.5318394,REQUEST,2,8
9,MSG,127,1688465653.5318508,REQUEST,3,8
9,MSG,128,1688465653.5318758,REQUEST,4,8
9,MSG,129,1688465653.5318863,REQUEST,5,8
9,MSG,130,1688465653.5319026,REQUEST,6,8
9,MSG,131,1688465653.5319116,REQUEST,7,8
9,MSG,132,1688465653.5319223,REQUEST,8,8
9,CS_REQUESTED,133,1688465653.5319295,,,
9,MSG,134,1688465653.53194,ACK,6,0
5,MSG,135,1688465653.5934834,ACK,6,0
3,MSG,136,1688465653.6432009,ACK,6,0
1,MSG,137,1688465653.6898422,ACK,6,0
2,MSG,138,1688465653.7667966,ACK,6,0
8,MSG,139,1688465653.787317,ACK,6,0
7,MSG,140,1688465653.8303435,ACK,6,0
4,MSG,141,1688465653.91944,ACK,9,0
5,MSG,142,1688465653.993963,ACK,9,0
3,MSG,143,1688465654.0438292,ACK,9,0
1,MSG,144,1688465654.090375,ACK,9,0
2,MSG,145,1688465654.1673913,ACK,9,0
8,MSG,146,1688465654.187701,ACK,9,0
7,MSG,147,1688465654.2308538,ACK,9,0
6,CS_ACCESS,148,1688465657.5078065,,,
6,MSG,149,1688465658.7120478,ACK,9,0
6,CS_LEAVE,150,1688465658.7120633,,,
9,CS_ACCESS,151,1688465659.1429074,,,
9,CS_LEAVE,152,1688465660.347481,,,
5,MSG,153,1688465663.2048154,REQUEST,1,9
5,MSG,154,1688465663.2048311,REQUEST,2,9
5,MSG,155,1688465663.2048366,REQUEST,3,9
5,MSG,156,1688465663.2048414,REQUEST,4,9
5,MSG,157,1688465663.2048457,REQUEST,6,9
5,MSG,158,1688465663.204851,REQUEST,7,9
5,MSG,159,1688465663.2048552,REQUEST,8,9
5,MSG,160,1688465663.20486,REQUEST,9,9
5,CS_REQUESTED,161,1688465663.204864,,,
3,MSG,162,1688465663.2553535,ACK,5,0
1,MSG,163,1688465663.301876,ACK,5,0
2,MSG,164,1688465663.3787355,ACK,5,0
8,MSG,165,1688465663.3987763,ACK,5,0
7,MSG,166,1688465663.4422593,ACK,5,0
6,MSG,167,1688465663.517868,ACK,5,0
4,MSG,168,1688465663.531309,ACK,5,0
9,MSG,169,1688465663.5517173,ACK,5,0
4,MSG,170,1688465665.1333516,REQUEST,1,10
4,MSG,171,1688465665.133368,REQUEST,2,10
4,MSG,172,1688465665.133374,REQUEST,3,10
4,MSG,173,1688465665.1333787,REQUEST,5,10
4,MSG,174,1688465665.133384,REQUEST,6,10
4,MSG,175,1688465665.1333888,REQUEST,7,10
4,MSG,176,1688465665.133393,REQUEST,8,10
4,MSG,177,1688465665.1333976,REQUEST,9,10
4,CS_REQUESTED,178,1688465665.1334112,,,
9,MSG,179,1688465665.153714,ACK,4,0
3,MSG,180,1688465665.2578707,ACK,4,0
1,MSG,181,1688465665.304374,ACK,4,0
2,MSG,182,1688465665.3813252,ACK,4,0
8,MSG,183,1688465665.4013798,ACK,4,0
7,MSG,184,1688465665.4448128,ACK,4,0
6,MSG,185,1688465665.5203958,ACK,4,0
5,CS_ACCESS,186,1688465666.8129663,,,
5,MSG,187,1688465668.017505,ACK,4,0
5,CS_LEAVE,188,1688465668.0175183,,,
4,CS_ACCESS,189,1688465668.74229,,,
4,CS_LEAVE,190,1688465669.9469128,,,
6,MSG,191,1688465677.1348474,REQUEST,1,11
6,MSG,192,1688465677.1348636,REQUEST,2,11
6,MSG,193,1688465677.134869,REQUEST,3,11
6,MSG,194,1688465677.1348739,REQUEST,4,11
6,MSG,195,1688465677.1348782,REQUEST,5,11
6,MSG,196,1688465677.1348825,REQUEST,7,11
6,MSG,197,1688465677.1348872,REQUEST,8,11
6,MSG,198,1688465677.134892,REQUEST,9,11
6,CS_REQUESTED,199,1688465677.13491,,,
4,MSG,200,1688465677.1560023,ACK,6,0
9,MSG,201,1688465677.168426,ACK,6,0
5,MSG,202,1688465677.2288084,ACK,6,0
3,MSG,203,1688465677.2729793,ACK,6,0
1,MSG,204,1688465677.318722,ACK,6,0
2,MSG,205,1688465677.396363,ACK,6,0
8,MSG,206,1688465677.416099,ACK,6,0
7,MSG,207,1688465677.4596653,ACK,6,0
7,MSG,208,1688465679.0613842,REQUEST,1,12
7,MSG,209,1688465679.0614002,REQUEST,2,12
7,MSG,210,1688465679.0614057,REQUEST,3,12
7,MSG,211,1688465679.0614107,REQUEST,4,12
7,MSG,212,1688465679.0614154,REQUEST,5,12
7,MSG,213,1688465679.06142,REQUEST,6,12
7,MSG,214,1688465679.061425,REQUEST,8,12
7,MSG,215,1688465679.061439,REQUEST,9,12
7,CS_REQUESTED,216,1688465679.0614443,,,
4,MSG,217,1688465679.1586797,ACK,7,0
9,MSG,218,1688465679.170833,ACK,7,0
5,MSG,219,1688465679.2312992,ACK,7,0
3,MSG,220,1688465679.2755916,ACK,7,0
1,MSG,221,1688465679.3214712,ACK,7,0
2,MSG,222,1688465679.3988488,ACK,7,0
8,MSG,223,1688465679.4186084,ACK,7,0
6,CS_ACCESS,224,1688465680.7426243,,,
6,MSG,225,1688465681.9467251,ACK,7,0
6,CS_LEAVE,226,1688465681.9467368,,,
7,CS_ACCESS,227,1688465682.6690366,,,
7,CS_LEAVE,228,1688465683.8732793,,,
6,MSG,229,1688465706.37698,REQUEST,1,13
6,MSG,230,1688465706.3770196,REQUEST,2,13
6,MSG,231,1688465706.3770316,REQUEST,3,13
6,MSG,232,1688465706.3770406,REQUEST,4,13
6,MSG,233,1688465706.3770485,REQUEST,5,13
6,MSG,234,1688465706.3770578,REQUEST,7,13
6,MSG,235,1688465706.3770678,REQUEST,8,13
6,MSG,236,1688465706.377119,REQUEST,9,13
6,CS_REQUESTED,237,1688465706.377127,,,
4,MSG,238,1688465706.3923988,ACK,6,0
9,MSG,239,1688465706.4048364,ACK,6,0
5,MSG,240,1688465706.4643166,ACK,6,0
3,MSG,241,1688465706.507826,ACK,6,0
1,MSG,242,1688465706.555351,ACK,6,0
2,MSG,243,1688465706.6318083,ACK,6,0
8,MSG,244,1688465706.651871,ACK,6,0
7,MSG,245,1688465706.7008314,ACK,6,0
6,CS_ACCESS,246,1688465709.984682,,,
6,CS_LEAVE,247,1688465711.1891606,,,
6,PROC_STOPPED,248,1688465712.3908353,,,
4,PROC_STOPPED,249,1688465712.3998313,,,
9,PROC_STOPPED,250,1688465712.4123998,,,
5,PROC_STOPPED,251,1688465712.4718366,,,
3,PROC_STOPPED,252,1688465712.5152318,,,
1,PROC_STOPPED,253,1688465712.5627866,,,
2,PROC_STOPPED,254,1688465712.6392057,,,
8,PROC_STOPPED,255,1688465712.6593456,,,
7,PROC_STOPPED,256,1688465712.7078042,,,
0,END,257,1688465712.7078264,,,
