procID,event_type,logical_clock,real_clock,msg,msg_receiver,msg_ts
0,START,0,1688383040,,,
4,MSG,1,1688383040,REQUEST,1,2
4,MSG,2,1688383040,REQUEST,2,2
4,MSG,3,1688383040,REQUEST,3,2
4,MSG,4,1688383040,REQUEST,5,2
4,MSG,5,1688383040,REQUEST,6,2
4,MSG,6,1688383040,REQUEST,7,2
4,MSG,7,1688383040,REQUEST,8,2
4,MSG,8,1688383040,REQUEST,9,2
4,CS_REQUESTED,9,1688383040,,,
6,MSG,10,1688383040,REQUEST,1,2
6,MSG,11,1688383040,REQUEST,2,2
6,MSG,12,1688383040,REQUEST,3,2
6,MSG,13,1688383040,REQUEST,4,2
6,MSG,14,1688383040,REQUEST,5,2
6,MSG,15,1688383040,REQUEST,7,2
6,MSG,16,1688383040,REQUEST,8,2
6,MSG,17,1688383040,REQUEST,9,2
6,CS_REQUESTED,18,1688383040,,,
3,MSG,19,1688383040,REQUEST,1,2
3,MSG,20,1688383040,REQUEST,2,2
3,MSG,21,1688383040,REQUEST,4,2
3,MSG,22,1688383040,REQUEST,5,2
3,MSG,23,1688383040,REQUEST,6,2
3,MSG,24,1688383040,REQUEST,7,2
3,MSG,25,1688383040,REQUEST,8,2
3,MSG,26,1688383040,REQUEST,9,2
3,CS_REQUESTED,27,1688383040,,,
8,MSG,28,1688383040,REQUEST,1,2
2,MSG,29,1688383040,REQUEST,1,2
8,MSG,30,1688383040,REQUEST,2,2
2,MSG,31,1688383040,REQUEST,3,2
2,MSG,32,1688383040,REQUEST,4,2
2,MSG,33,1688383040,REQUEST,5,2
2,MSG,34,1688383040,REQUEST,6,2
2,MSG,35,1688383040,REQUEST,7,2
2,MSG,36,1688383040,REQUEST,8,2
2,MSG,37,1688383040,REQUEST,9,2
2,CS_REQUESTED,38,1688383040,,,
8,MSG,39,1688383040,REQUEST,3,2
8,MSG,40,1688383040,REQUEST,4,2
8,MSG,41,1688383040,REQUEST,5,2
8,MSG,42,1688383040,REQUEST,6,2
8,MSG,43,1688383040,REQUEST,7,2
