procID,event_type,logical_clock,real_clock,msg,msg_receiver,msg_ts
0,START,0,1688465041.9116633,,,
7,MSG,1,1688465044.1075327,REQUEST,3,0
7,MSG,2,1688465044.1075637,REQUEST,5,0
7,MSG,3,1688465044.1075706,REQUEST,6,0
7,MSG,4,1688465044.1076787,REQUEST,7,0
7,MSG,5,1688465044.1076858,REQUEST,8,0
7,MSG,6,1688465044.107692,REQUEST,11,0
7,MSG,7,1688465044.107698,REQUEST,15,0
7,CS_REQUESTED,8,1688465044.1077032,,,
15,MSG,9,1688465044.2137427,ACK,7,0
5,MSG,10,1688465044.2212317,ACK,7,0
3,MSG,11,1688465044.2504835,ACK,7,0
6,MSG,12,1688465044.313213,ACK,7,0
8,MSG,13,1688465044.3699014,ACK,7,0
11,MSG,14,1688465044.4608893,ACK,7,0
7,MSG,15,1688465044.5081859,ACK,7,0
7,CS_ACCESS,16,1688465047.7159672,,,
7,MSG,17,1688465048.9210505,RELEASE,3,0
7,MSG,18,1688465048.9210653,RELEASE,5,0
7,MSG,19,1688465048.9210715,RELEASE,6,0
7,MSG,20,1688465048.921102,RELEASE,7,0
7,MSG,21,1688465048.9211066,RELEASE,8,0
7,MSG,22,1688465048.9212594,RELEASE,11,0
7,MSG,23,1688465048.9212737,RELEASE,15,0
7,CS_LEAVE,24,1688465048.921283,,,
4,MSG,25,1688465058.0572343,REQUEST,1,0
4,MSG,26,1688465058.0572684,REQUEST,2,0
4,MSG,27,1688465058.0572789,REQUEST,3,0
4,MSG,28,1688465058.0572882,REQUEST,4,0
4,MSG,29,1688465058.0572968,REQUEST,8,0
4,MSG,30,1688465058.0573075,REQUEST,12,0
4,MSG,31,1688465058.0573163,REQUEST,16,0
4,CS_REQUESTED,32,1688465058.0573235,,,
1,MSG,33,1688465058.1765912,ACK,4,0
3,MSG,34,1688465058.2678256,ACK,4,0
2,MSG,35,1688465058.294636,ACK,4,0
12,MSG,36,1688465058.3128264,ACK,4,0
16,MSG,37,1688465058.3510127,ACK,4,0
8,MSG,38,1688465058.3872151,ACK,4,0
4,MSG,39,1688465058.4578247,ACK,4,0
4,CS_ACCESS,40,1688465061.6659143,,,
6,MSG,41,1688465062.735918,REQUEST,2,0
6,MSG,42,1688465062.7359347,REQUEST,5,0
6,MSG,43,1688465062.7359421,REQUEST,6,0
6,MSG,44,1688465062.7359478,REQUEST,7,0
6,MSG,45,1688465062.7359607,REQUEST,8,0
6,MSG,46,1688465062.7359667,REQUEST,10,0
6,MSG,47,1688465062.7359722,REQUEST,14,0
6,CS_REQUESTED,48,1688465062.7359776,,,
10,MSG,49,1688465062.7426658,ACK,6,0
4,MSG,50,1688465062.870661,RELEASE,1,0
4,MSG,51,1688465062.8706768,RELEASE,2,0
4,MSG,52,1688465062.8706853,RELEASE,3,0
4,MSG,53,1688465062.8706944,RELEASE,4,0
4,MSG,54,1688465062.8707035,RELEASE,8,0
4,MSG,55,1688465062.8707108,RELEASE,12,0
4,MSG,56,1688465062.8707187,RELEASE,16,0
4,CS_LEAVE,57,1688465062.870726,,,
7,MSG,58,1688465062.938476,ACK,6,0
14,MSG,59,1688465063.0222075,ACK,6,0
5,MSG,60,1688465063.0438633,ACK,6,0
6,MSG,61,1688465063.13661,ACK,6,0
8,MSG,62,1688465063.193344,ACK,6,0
2,MSG,63,1688465063.5010784,ACK,6,0
6,CS_ACCESS,64,1688465066.344242,,,
6,MSG,65,1688465067.5486312,RELEASE,2,0
6,MSG,66,1688465067.5486653,RELEASE,5,0
6,MSG,67,1688465067.548676,RELEASE,6,0
6,MSG,68,1688465067.548686,RELEASE,7,0
6,MSG,69,1688465067.548713,RELEASE,8,0
6,MSG,70,1688465067.5487227,RELEASE,10,0
6,MSG,71,1688465067.5487401,RELEASE,14,0
6,CS_LEAVE,72,1688465067.5487866,,,
11,MSG,73,1688465077.7011566,REQUEST,3,0
11,MSG,74,1688465077.701173,REQUEST,7,0
11,MSG,75,1688465077.7011795,REQUEST,9,0
11,MSG,76,1688465077.7011936,REQUEST,10,0
11,MSG,77,1688465077.7011986,REQUEST,11,0
11,MSG,78,1688465077.701205,REQUEST,12,0
11,MSG,79,1688465077.701211,REQUEST,15,0
11,CS_REQUESTED,80,1688465077.7012167,,,
7,MSG,81,1688465077.7569582,ACK,11,0
9,MSG,82,1688465077.8355248,ACK,11,0
15,MSG,83,1688465077.8555071,ACK,11,0
3,MSG,84,1688465077.8924396,ACK,11,0
12,MSG,85,1688465077.9366558,ACK,11,0
10,MSG,86,1688465077.961108,ACK,11,0
11,MSG,87,1688465078.1017578,ACK,11,0
5,MSG,88,1688465078.6633506,REQUEST,1,0
5,MSG,89,1688465078.6633666,REQUEST,5,0
