procID,event_type,logical_clock,real_clock,msg,msg_receiver,msg_ts
0,START,0,1688463173.0942988,,,
15,MSG,1,1688463173.5347178,REQUEST,1,0
15,MSG,2,1688463173.534765,REQUEST,8,0
15,MSG,3,1688463173.5347807,REQUEST,15,0
15,MSG,4,1688463173.5347898,REQUEST,16,0
15,MSG,5,1688463173.5347977,REQUEST,17,0
15,MSG,6,1688463173.5348065,REQUEST,18,0
15,MSG,7,1688463173.5348198,REQUEST,19,0
15,MSG,8,1688463173.5348318,REQUEST,20,0
15,MSG,9,1688463173.5348408,REQUEST,21,0
15,MSG,10,1688463173.5348501,REQUEST,22,0
15,MSG,11,1688463173.5348585,REQUEST,29,0
15,MSG,12,1688463173.5348687,REQUEST,36,0
15,MSG,13,1688463173.5348785,REQUEST,43,0
15,CS_REQUESTED,14,1688463173.5348868,,,
1,MSG,15,1688463173.5757244,ACK,15,0
16,MSG,16,1688463173.6180604,ACK,15,0
36,MSG,17,1688463173.6181467,ACK,15,0
21,MSG,18,1688463173.6740518,ACK,15,0
18,MSG,19,1688463173.6812098,ACK,15,0
17,MSG,20,1688463173.6901152,ACK,15,0
29,MSG,21,1688463173.7214024,ACK,15,0
8,MSG,22,1688463173.7486162,ACK,15,0
22,MSG,23,1688463173.812193,ACK,15,0
19,MSG,24,1688463173.838641,ACK,15,0
43,MSG,25,1688463173.8866732,ACK,15,0
20,MSG,26,1688463173.9299197,ACK,15,0
15,MSG,27,1688463173.9353933,ACK,15,0
43,MSG,28,1688463174.687748,REQUEST,1,0
43,MSG,29,1688463174.6877635,REQUEST,8,0
43,MSG,30,1688463174.6877697,REQUEST,15,0
43,MSG,31,1688463174.6877747,REQUEST,22,0
43,MSG,32,1688463174.68778,REQUEST,29,0
43,MSG,33,1688463174.6877842,REQUEST,36,0
43,MSG,34,1688463174.687791,REQUEST,43,0
43,MSG,35,1688463174.6877966,REQUEST,44,0
43,MSG,36,1688463174.6878011,REQUEST,45,0
43,MSG,37,1688463174.6878066,REQUEST,46,0
43,MSG,38,1688463174.6878123,REQUEST,47,0
43,MSG,39,1688463174.6879494,REQUEST,48,0
43,MSG,40,1688463174.687966,REQUEST,49,0
43,CS_REQUESTED,41,1688463174.687976,,,
46,MSG,42,1688463174.70767,ACK,43,0
49,MSG,43,1688463174.7847083,ACK,43,0
48,MSG,44,1688463174.8337748,ACK,43,0
45,MSG,45,1688463174.8977406,ACK,43,0
47,MSG,46,1688463174.9363496,ACK,43,0
44,MSG,47,1688463175.0712724,ACK,43,0
35,MSG,48,1688463178.2318356,REQUEST,7,0
35,MSG,49,1688463178.2318606,REQUEST,14,0
35,MSG,50,1688463178.2318676,REQUEST,21,0
35,MSG,51,1688463178.2318742,REQUEST,28,0
35,MSG,52,1688463178.2318792,REQUEST,29,0
35,MSG,53,1688463178.2318838,REQUEST,30,0
35,MSG,54,1688463178.2318897,REQUEST,31,0
35,MSG,55,1688463178.2318947,REQUEST,32,0
35,MSG,56,1688463178.232037,REQUEST,33,0
35,MSG,57,1688463178.2320983,REQUEST,34,0
35,MSG,58,1688463178.232106,REQUEST,35,0
35,MSG,59,1688463178.2321153,REQUEST,42,0
35,MSG,60,1688463178.2321217,REQUEST,49,0
35,CS_REQUESTED,61,1688463178.2322397,,,
3,MSG,62,1688463178.2998445,REQUEST,1,0
3,MSG,63,1688463178.299864,REQUEST,2,0
3,MSG,64,1688463178.2998738,REQUEST,3,0
3,MSG,65,1688463178.2998853,REQUEST,4,0
3,MSG,66,1688463178.2998965,REQUEST,5,0
3,MSG,67,1688463178.2999063,REQUEST,6,0
3,MSG,68,1688463178.299916,REQUEST,7,0
3,MSG,69,1688463178.2999241,REQUEST,10,0
3,MSG,70,1688463178.2999325,REQUEST,17,0
3,MSG,71,1688463178.2999403,REQUEST,24,0
3,MSG,72,1688463178.2999487,REQUEST,31,0
3,MSG,73,1688463178.299957,REQUEST,38,0
3,MSG,74,1688463178.2999654,REQUEST,45,0
3,CS_REQUESTED,75,1688463178.2999728,,,
33,MSG,76,1688463178.3105972,ACK,35,0
31,MSG,77,1688463178.3279233,ACK,35,0
24,MSG,78,1688463178.3385048,ACK,3,0
14,MSG,79,1688463178.367534,ACK,35,0
30,MSG,80,1688463178.4189045,ACK,35,0
28,MSG,81,1688463178.443252,ACK,35,0
7,MSG,82,1688463178.4545023,ACK,35,0
38,MSG,83,1688463178.472658,ACK,3,0
10,MSG,84,1688463178.4726884,ACK,3,0
32,MSG,85,1688463178.4780698,ACK,35,0
18,MSG,86,1688463178.4871948,REQUEST,4,0
18,MSG,87,1688463178.4872272,REQUEST,11,0
18,MSG,88,1688463178.4872336,REQUEST,15,0
18,MSG,89,1688463178.4872515,REQUEST,16,0
18,MSG,90,1688463178.4872572,REQUEST,17,0
18,MSG,91,1688463178.4872627,REQUEST,18,0
18,MSG,92,1688463178.487269,REQUEST,19,0
18,MSG,93,1688463178.4872744,REQUEST,20,0
18,MSG,94,1688463178.487281,REQUEST,21,0
18,MSG,95,1688463178.4872868,REQUEST,25,0
18,MSG,96,1688463178.4872985,REQUEST,32,0
18,MSG,97,1688463178.4873044,REQUEST,39,0
18,MSG,98,1688463178.4873106,REQUEST,46,0
18,CS_REQUESTED,99,1688463178.487316,,,
34,MSG,100,1688463178.496174,ACK,35,0
6,MSG,101,1688463178.525957,ACK,3,0
11,MSG,102,1688463178.6016617,ACK,18,0
42,MSG,103,1688463178.6144881,ACK,35,0
2,MSG,104,1688463178.6273665,ACK,3,0
35,MSG,105,1688463178.6274915,ACK,35,0
5,MSG,106,1688463178.6718824,ACK,3,0
4,MSG,107,1688463178.679859,ACK,3,0
3,MSG,108,1688463178.7005498,ACK,3,0
25,MSG,109,1688463178.719381,ACK,18,0
39,MSG,110,1688463178.887806,ACK,18,0
15,CS_ACCESS,111,1688463179.5457377,,,
12,MSG,112,1688463180.6717968,REQUEST,5,0
12,MSG,113,1688463180.6718287,REQUEST,8,0
12,MSG,114,1688463180.6718404,REQUEST,9,0
12,MSG,115,1688463180.6718495,REQUEST,10,0
12,MSG,116,1688463180.671876,REQUEST,11,0
12,MSG,117,1688463180.671886,REQUEST,12,0
12,MSG,118,1688463180.6718953,REQUEST,13,0
12,MSG,119,1688463180.671904,REQUEST,14,0
12,MSG,120,1688463180.671912,REQUEST,19,0
12,MSG,121,1688463180.6719627,REQUEST,26,0
12,MSG,122,1688463180.6719713,REQUEST,33,0
12,MSG,123,1688463180.6719797,REQUEST,40,0
12,MSG,124,1688463180.6719882,REQUEST,47,0
12,CS_REQUESTED,125,1688463180.671996,,,
9,MSG,126,1688463180.687324,ACK,12,0
15,MSG,127,1688463180.7503426,RELEASE,1,0
15,MSG,128,1688463180.750358,RELEASE,8,0
15,MSG,129,1688463180.7503698,RELEASE,15,0
15,MSG,130,1688463180.7503793,RELEASE,16,0
15,MSG,131,1688463180.750385,RELEASE,17,0
15,MSG,132,1688463180.7503915,RELEASE,18,0
15,MSG,133,1688463180.750397,RELEASE,19,0
15,MSG,134,1688463180.750403,RELEASE,20,0
15,MSG,135,1688463180.7504086,RELEASE,21,0
15,MSG,136,1688463180.7504146,RELEASE,22,0
15,MSG,137,1688463180.7504199,RELEASE,29,0
15,MSG,138,1688463180.7504268,RELEASE,36,0
15,MSG,139,1688463180.7504342,RELEASE,43,0
15,CS_LEAVE,140,1688463180.7504396,,,
1,MSG,141,1688463180.7846344,ACK,43,0
16,MSG,142,1688463180.8261063,ACK,18,0
36,MSG,143,1688463180.8319104,ACK,43,0
13,MSG,144,1688463180.8319337,ACK,12,0
21,MSG,145,1688463180.8822026,ACK,35,0
18,MSG,146,1688463180.8898444,ACK,18,0
17,MSG,147,1688463180.898667,ACK,3,0
29,MSG,148,1688463180.9296963,ACK,43,0
40,MSG,149,1688463180.9552093,ACK,12,0
26,MSG,150,1688463180.9552312,ACK,12,0
22,MSG,151,1688463181.0204835,ACK,43,0
12,MSG,152,1688463181.0724156,ACK,12,0
43,MSG,153,1688463181.0956452,ACK,43,0
20,MSG,154,1688463181.1386163,ACK,18,0
15,MSG,155,1688463181.1511428,ACK,43,0
8,MSG,156,1688463181.3579245,ACK,43,0
19,MSG,157,1688463181.4475572,ACK,18,0
43,CS_ACCESS,158,1688463184.3039575,,,
43,MSG,159,1688463185.5091586,RELEASE,1,0
43,MSG,160,1688463185.5092134,RELEASE,8,0
43,MSG,161,1688463185.509241,RELEASE,15,0
43,MSG,162,1688463185.5092492,RELEASE,22,0
43,MSG,163,1688463185.5092547,RELEASE,29,0
43,MSG,164,1688463185.5092592,RELEASE,36,0
