procID,event_type,logical_clock,real_clock,msg,msg_receiver,msg_ts
0,START,0,1688466014.2225692,,,
4,MSG,1,1688466017.8322873,REQUEST,2,0
4,MSG,2,1688466017.8323038,REQUEST,3,0
4,MSG,3,1688466017.8323104,REQUEST,4,0
4,CS_REQUESTED,4,1688466017.832316,,,
2,MSG,5,1688466018.141723,ACK,4,0
3,MSG,6,1688466018.2188587,ACK,4,0
4,MSG,7,1688466018.2327874,ACK,4,0
4,CS_ACCESS,8,1688466019.8388631,,,
4,MSG,9,1688466021.0432577,RELEASE,2,0
4,MSG,10,1688466021.0484567,RELEASE,3,0
4,MSG,11,1688466021.048468,RELEASE,4,0
4,CS_LEAVE,12,1688466021.0484755,,,
1,MSG,13,1688466045.2612345,REQUEST,1,0
1,MSG,14,1688466045.261253,REQUEST,2,0
1,MSG,15,1688466045.261263,REQUEST,3,0
1,CS_REQUESTED,16,1688466045.2612712,,,
2,MSG,17,1688466045.3752077,ACK,1,0
3,MSG,18,1688466045.452829,ACK,1,0
1,MSG,19,1688466045.6617842,ACK,1,0
1,CS_ACCESS,20,1688466047.267842,,,
1,MSG,21,1688466048.4722736,RELEASE,1,0
1,MSG,22,1688466048.472308,RELEASE,2,0
1,MSG,23,1688466048.472347,RELEASE,3,0
1,CS_LEAVE,24,1688466048.4723568,,,
1,MSG,25,1688466077.7089107,REQUEST,1,0
1,MSG,26,1688466077.7142305,REQUEST,2,0
1,MSG,27,1688466077.7142978,REQUEST,3,0
1,CS_REQUESTED,28,1688466077.7143037,,,
2,MSG,29,1688466077.8152723,ACK,1,0
3,MSG,30,1688466077.8925834,ACK,1,0
1,MSG,31,1688466078.1095102,ACK,1,0
1,CS_ACCESS,32,1688466079.7144156,,,
1,MSG,33,1688466080.9187865,RELEASE,1,0
1,MSG,34,1688466080.9188037,RELEASE,2,0
1,MSG,35,1688466080.91881,RELEASE,3,0
1,CS_LEAVE,36,1688466080.918815,,,
1,MSG,37,1688466135.3867378,REQUEST,1,0
1,MSG,38,1688466135.391862,REQUEST,2,0
1,MSG,39,1688466135.3918738,REQUEST,3,0
1,CS_REQUESTED,40,1688466135.391883,,,
2,MSG,41,1688466135.4863114,ACK,1,0
3,MSG,42,1688466135.5631266,ACK,1,0
1,MSG,43,1688466135.7874708,ACK,1,0
1,CS_ACCESS,44,1688466137.39238,,,
1,MSG,45,1688466138.5970798,RELEASE,1,0
1,MSG,46,1688466138.5970953,RELEASE,2,0
1,MSG,47,1688466138.5971024,RELEASE,3,0
1,CS_LEAVE,48,1688466138.5971072,,,
4,MSG,49,1688466140.3888905,REQUEST,2,0
4,MSG,50,1688466140.431905,REQUEST,3,0
4,MSG,51,1688466140.4319394,REQUEST,4,0
4,CS_REQUESTED,52,1688466140.431946,,,
2,MSG,53,1688466140.692956,ACK,4,0
3,MSG,54,1688466140.7697227,ACK,4,0
4,MSG,55,1688466140.7894542,ACK,4,0
4,CS_ACCESS,56,1688466142.3944893,,,
4,MSG,57,1688466143.5991642,RELEASE,2,0
4,MSG,58,1688466143.59921,RELEASE,3,0
4,MSG,59,1688466143.5992165,RELEASE,4,0
4,CS_LEAVE,60,1688466143.599222,,,
3,MSG,61,1688466148.779605,REQUEST,1,0
3,MSG,62,1688466148.7796202,REQUEST,3,0
3,MSG,63,1688466148.779626,REQUEST,4,0
3,CS_REQUESTED,64,1688466148.779631,,,
4,MSG,65,1688466148.8057518,ACK,3,0
1,MSG,66,1688466149.009725,ACK,3,0
3,MSG,67,1688466149.1802852,ACK,3,0
3,CS_ACCESS,68,1688466150.7859774,,,
3,MSG,69,1688466151.990458,RELEASE,1,0
3,MSG,70,1688466151.990497,RELEASE,3,0
3,MSG,71,1688466151.9905407,RELEASE,4,0
3,CS_LEAVE,72,1688466151.990557,,,
4,MSG,73,1688466180.0438817,REQUEST,2,0
4,MSG,74,1688466180.0438976,REQUEST,3,0
4,MSG,75,1688466180.0439038,REQUEST,4,0
4,CS_REQUESTED,76,1688466180.043909,,,
2,MSG,77,1688466180.3410938,ACK,4,0
3,MSG,78,1688466180.4247863,ACK,4,0
4,MSG,79,1688466180.444543,ACK,4,0
4,CS_ACCESS,80,1688466182.0496845,,,
4,MSG,81,1688466183.2549846,RELEASE,2,0
4,MSG,82,1688466183.2602496,RELEASE,3,0
4,MSG,83,1688466183.2602623,RELEASE,4,0
4,CS_LEAVE,84,1688466183.2602687,,,
1,PROC_STOPPED,85,1688466194.2658448,,,
2,PROC_STOPPED,86,1688466194.3583827,,,
3,PROC_STOPPED,87,1688466194.4418764,,,
4,PROC_STOPPED,88,1688466194.4687328,,,
0,END,89,1688466194.46887,,,
