procID,event_type,logical_clock,real_clock,msg,msg_receiver,msg_ts
0,START,0,1688461578.6003535,,,
56,MSG,1,1688461578.60384,REQUEST,8,0
56,MSG,2,1688461578.6038704,REQUEST,16,0
56,MSG,3,1688461578.6038785,REQUEST,24,0
56,MSG,4,1688461578.6038897,REQUEST,32,0
56,MSG,5,1688461578.603896,REQUEST,40,0
56,MSG,6,1688461578.6039035,REQUEST,48,0
56,MSG,7,1688461578.6039124,REQUEST,49,0
56,MSG,8,1688461578.6039183,REQUEST,50,0
56,MSG,9,1688461578.6039245,REQUEST,51,0
56,MSG,10,1688461578.6039333,REQUEST,52,0
56,MSG,11,1688461578.6039414,REQUEST,53,0
56,MSG,12,1688461578.6039498,REQUEST,54,0
56,MSG,13,1688461578.603966,REQUEST,55,0
56,MSG,14,1688461578.603977,REQUEST,56,0
56,MSG,15,1688461578.6039855,REQUEST,64,0
56,CS_REQUESTED,16,1688461578.6039941,,,
51,MSG,17,1688461578.6317837,ACK,56,0
52,MSG,18,1688461578.6706476,ACK,56,0
53,MSG,19,1688461578.6841867,ACK,56,0
50,MSG,20,1688461578.7064521,ACK,56,0
54,MSG,21,1688461578.7167602,ACK,56,0
16,MSG,22,1688461578.7285929,ACK,56,0
49,MSG,23,1688461578.760663,ACK,56,0
40,MSG,24,1688461578.7817118,ACK,56,0
48,MSG,25,1688461578.810466,ACK,56,0
24,MSG,26,1688461578.8218262,ACK,56,0
56,MSG,27,1688461578.8337421,ACK,56,0
55,MSG,28,1688461578.8714726,ACK,56,0
8,MSG,29,1688461578.9152527,ACK,56,0
64,MSG,30,1688461578.9862032,ACK,56,0
32,MSG,31,1688461578.9916093,ACK,56,0
27,MSG,32,1688461580.0518951,REQUEST,3,0
27,MSG,33,1688461580.0519123,REQUEST,11,0
27,MSG,34,1688461580.0519204,REQUEST,19,0
27,MSG,35,1688461580.051926,REQUEST,25,0
27,MSG,36,1688461580.051969,REQUEST,26,0
27,MSG,37,1688461580.051974,REQUEST,27,0
27,MSG,38,1688461580.0519812,REQUEST,28,0
27,MSG,39,1688461580.0519876,REQUEST,29,0
27,MSG,40,1688461580.0519934,REQUEST,30,0
27,MSG,41,1688461580.0519981,REQUEST,31,0
27,MSG,42,1688461580.052004,REQUEST,32,0
27,MSG,43,1688461580.0521357,REQUEST,35,0
27,MSG,44,1688461580.052187,REQUEST,43,0
27,MSG,45,1688461580.052233,REQUEST,51,0
27,MSG,46,1688461580.0522408,REQUEST,59,0
27,CS_REQUESTED,47,1688461580.0523987,,,
29,MSG,48,1688461580.0652945,ACK,27,0
28,MSG,49,1688461580.0887156,ACK,27,0
35,MSG,50,1688461580.1806338,ACK,27,0
30,MSG,51,1688461580.2105954,ACK,27,0
26,MSG,52,1688461580.2106314,ACK,27,0
11,MSG,53,1688461580.2260144,ACK,27,0
3,MSG,54,1688461580.2803204,ACK,27,0
59,MSG,55,1688461580.3127747,ACK,27,0
25,MSG,56,1688461580.328699,ACK,27,0
43,MSG,57,1688461580.373253,ACK,27,0
19,MSG,58,1688461580.3732848,ACK,27,0
27,MSG,59,1688461580.4527264,ACK,27,0
31,MSG,60,1688461580.4529328,ACK,27,0
56,CS_ACCESS,61,1688461585.2461705,,,
56,MSG,62,1688461586.4506736,RELEASE,8,0
56,MSG,63,1688461586.4507155,RELEASE,16,0
56,MSG,64,1688461586.4507241,RELEASE,24,0
56,MSG,65,1688461586.4507298,RELEASE,32,0
56,MSG,66,1688461586.4507365,RELEASE,40,0
56,MSG,67,1688461586.4507415,RELEASE,48,0
56,MSG,68,1688461586.450746,RELEASE,49,0
56,MSG,69,1688461586.4507508,RELEASE,50,0
56,MSG,70,1688461586.4507582,RELEASE,51,0
56,MSG,71,1688461586.4507637,RELEASE,52,0
56,MSG,72,1688461586.4507773,RELEASE,53,0
56,MSG,73,1688461586.4507837,RELEASE,54,0
56,MSG,74,1688461586.4507897,RELEASE,55,0
56,MSG,75,1688461586.4507947,RELEASE,56,0
56,MSG,76,1688461586.4508002,RELEASE,64,0
56,CS_LEAVE,77,1688461586.450806,,,
32,MSG,78,1688461586.6001647,ACK,27,0
51,MSG,79,1688461586.6414177,ACK,27,0
27,CS_ACCESS,80,1688461587.6646755,,,
27,MSG,81,1688461588.8687935,RELEASE,3,0
27,MSG,82,1688461588.8688133,RELEASE,11,0
27,MSG,83,1688461588.86882,RELEASE,19,0
27,MSG,84,1688461588.8688262,RELEASE,25,0
27,MSG,85,1688461588.8688312,RELEASE,26,0
27,MSG,86,1688461588.8688629,RELEASE,27,0
27,MSG,87,1688461588.8688695,RELEASE,28,0
27,MSG,88,1688461588.8688748,RELEASE,29,0
27,MSG,89,1688461588.8688798,RELEASE,30,0
27,MSG,90,1688461588.8688853,RELEASE,31,0
27,MSG,91,1688461588.8688905,RELEASE,32,0
27,MSG,92,1688461588.8688958,RELEASE,35,0
27,MSG,93,1688461588.868901,RELEASE,43,0
27,MSG,94,1688461588.8689067,RELEASE,51,0
27,MSG,95,1688461588.8689134,RELEASE,59,0
27,CS_LEAVE,96,1688461588.868919,,,
47,MSG,97,1688461589.8281202,REQUEST,7,0
47,MSG,98,1688461589.8281758,REQUEST,15,0
47,MSG,99,1688461589.8283086,REQUEST,23,0
47,MSG,100,1688461589.828325,REQUEST,31,0
47,MSG,101,1688461589.828333,REQUEST,39,0
47,MSG,102,1688461589.8283384,REQUEST,41,0
47,MSG,103,1688461589.828344,REQUEST,42,0
47,MSG,104,1688461589.8283882,REQUEST,43,0
47,MSG,105,1688461589.8284323,REQUEST,44,0
47,MSG,106,1688461589.8284383,REQUEST,45,0
47,MSG,107,1688461589.828446,REQUEST,46,0
47,MSG,108,1688461589.8284519,REQUEST,47,0
47,MSG,109,1688461589.828457,REQUEST,48,0
47,MSG,110,1688461589.8284647,REQUEST,55,0
47,MSG,111,1688461589.8284707,REQUEST,63,0
47,CS_REQUESTED,112,1688461589.8284762,,,
45,MSG,113,1688461589.931116,ACK,47,0
43,MSG,114,1688461589.9847636,ACK,47,0
48,MSG,115,1688461590.0236897,ACK,47,0
23,MSG,116,1688461590.0414476,ACK,47,0
31,MSG,117,1688461590.0637481,ACK,47,0
55,MSG,118,1688461590.0844188,ACK,47,0
63,MSG,119,1688461590.0844376,ACK,47,0
41,MSG,120,1688461590.0951595,ACK,47,0
15,MSG,121,1688461590.095192,ACK,47,0
7,MSG,122,1688461590.1137424,ACK,47,0
39,MSG,123,1688461590.1370418,ACK,47,0
42,MSG,124,1688461590.1731734,ACK,47,0
44,MSG,125,1688461590.2017882,ACK,47,0
46,MSG,126,1688461590.2191162,ACK,47,0
47,MSG,127,1688461590.228554,ACK,47,0
46,MSG,128,1688461591.8208463,REQUEST,6,0
46,MSG,129,1688461591.8208616,REQUEST,14,0
46,MSG,130,1688461591.820914,REQUEST,22,0
