procID,event_type,logical_clock,real_clock,msg,msg_receiver,msg_ts
0,START,0,1688461859.7502382,,,
41,MSG,1,1688461859.7526011,REQUEST,5,0
41,MSG,2,1688461859.752615,REQUEST,14,0
41,MSG,3,1688461859.752622,REQUEST,23,0
41,MSG,4,1688461859.7526278,REQUEST,32,0
41,MSG,5,1688461859.7526336,REQUEST,37,0
41,MSG,6,1688461859.7526398,REQUEST,38,0
41,MSG,7,1688461859.752646,REQUEST,39,0
41,MSG,8,1688461859.7526534,REQUEST,40,0
41,MSG,9,1688461859.752661,REQUEST,41,0
41,MSG,10,1688461859.75267,REQUEST,42,0
41,MSG,11,1688461859.7526872,REQUEST,43,0
41,MSG,12,1688461859.7526972,REQUEST,44,0
41,MSG,13,1688461859.752707,REQUEST,45,0
41,MSG,14,1688461859.7527163,REQUEST,50,0
41,MSG,15,1688461859.7527256,REQUEST,59,0
41,MSG,16,1688461859.752735,REQUEST,68,0
41,MSG,17,1688461859.7527452,REQUEST,77,0
41,CS_REQUESTED,18,1688461859.7527525,,,
32,MSG,19,1688461859.753266,REQUEST,5,0
32,MSG,20,1688461859.7532754,REQUEST,14,0
32,MSG,21,1688461859.7533016,REQUEST,23,0
32,MSG,22,1688461859.7533078,REQUEST,28,0
32,MSG,23,1688461859.7533135,REQUEST,29,0
32,MSG,24,1688461859.7533185,REQUEST,30,0
32,MSG,25,1688461859.7533243,REQUEST,31,0
32,MSG,26,1688461859.75333,REQUEST,32,0
32,MSG,27,1688461859.7533376,REQUEST,33,0
32,MSG,28,1688461859.7533429,REQUEST,34,0
32,MSG,29,1688461859.7533484,REQUEST,35,0
32,MSG,30,1688461859.7533598,REQUEST,36,0
32,MSG,31,1688461859.7533696,REQUEST,41,0
32,MSG,32,1688461859.7533789,REQUEST,50,0
32,MSG,33,1688461859.7533872,REQUEST,59,0
32,MSG,34,1688461859.7533965,REQUEST,68,0
32,MSG,35,1688461859.7534046,REQUEST,77,0
32,CS_REQUESTED,36,1688461859.7534127,,,
61,MSG,37,1688461859.75508,REQUEST,7,0
61,MSG,38,1688461859.7550917,REQUEST,16,0
61,MSG,39,1688461859.7550983,REQUEST,25,0
61,MSG,40,1688461859.7551045,REQUEST,34,0
