procID,event_type,logical_clock,real_clock,msg,msg_receiver,msg_ts
0,START,0,1688465310.4296196,,,
1,MSG,1,1688465323.5954638,REQUEST,1,0
1,MSG,2,1688465323.5954802,REQUEST,2,0
1,MSG,3,1688465323.5954866,REQUEST,3,0
1,MSG,4,1688465323.5954921,REQUEST,4,0
1,MSG,5,1688465323.5954971,REQUEST,7,0
1,CS_REQUESTED,6,1688465323.5955024,,,
4,MSG,7,1688465323.6513696,ACK,1,0
3,MSG,8,1688465323.7109685,ACK,1,0
7,MSG,9,1688465323.957125,ACK,1,0
1,MSG,10,1688465323.9961097,ACK,1,0
2,MSG,11,1688465323.9962244,ACK,1,0
1,CS_ACCESS,12,1688465326.4035063,,,
1,MSG,13,1688465327.6085963,RELEASE,1,0
1,MSG,14,1688465327.6086113,RELEASE,2,0
1,MSG,15,1688465327.6086175,RELEASE,3,0
1,MSG,16,1688465327.608661,RELEASE,4,0
1,MSG,17,1688465327.6086657,RELEASE,7,0
1,CS_LEAVE,18,1688465327.6086717,,,
8,MSG,19,1688465336.8083,REQUEST,2,0
8,MSG,20,1688465336.8083193,REQUEST,5,0
8,MSG,21,1688465336.8083284,REQUEST,7,0
8,MSG,22,1688465336.808338,REQUEST,8,0
8,MSG,23,1688465336.8083472,REQUEST,9,0
8,CS_REQUESTED,24,1688465336.808355,,,
9,MSG,25,1688465336.9668994,ACK,8,0
5,MSG,26,1688465337.0267694,ACK,8,0
7,MSG,27,1688465337.1732876,ACK,8,0
2,MSG,28,1688465337.2089467,ACK,8,0
8,MSG,29,1688465337.2089677,ACK,8,0
8,CS_ACCESS,30,1688465339.615541,,,
8,MSG,31,1688465340.8202863,RELEASE,2,0
8,MSG,32,1688465340.8204644,RELEASE,5,0
8,MSG,33,1688465340.8204908,RELEASE,7,0
8,MSG,34,1688465340.8204992,RELEASE,8,0
8,MSG,35,1688465340.8205051,RELEASE,9,0
8,CS_LEAVE,36,1688465340.8205113,,,
8,MSG,37,1688465344.8248253,REQUEST,2,0
8,MSG,38,1688465344.8679256,REQUEST,5,0
8,MSG,39,1688465344.867947,REQUEST,7,0
8,MSG,40,1688465344.8679543,REQUEST,8,0
8,MSG,41,1688465344.86796,REQUEST,9,0
8,CS_REQUESTED,42,1688465344.8679647,,,
9,MSG,43,1688465344.9762712,ACK,8,0
5,MSG,44,1688465345.0363183,ACK,8,0
7,MSG,45,1688465345.1834621,ACK,8,0
2,MSG,46,1688465345.2222986,ACK,8,0
8,MSG,47,1688465345.2223198,ACK,8,0
8,CS_ACCESS,48,1688465347.631174,,,
8,MSG,49,1688465348.835644,RELEASE,2,0
8,MSG,50,1688465348.8356588,RELEASE,5,0
8,MSG,51,1688465348.8356683,RELEASE,7,0
8,MSG,52,1688465348.8356817,RELEASE,8,0
8,MSG,53,1688465348.835691,RELEASE,9,0
8,CS_LEAVE,54,1688465348.835699,,,
3,MSG,55,1688465352.1455297,REQUEST,1,0
3,MSG,56,1688465352.145546,REQUEST,2,0
3,MSG,57,1688465352.1455524,REQUEST,3,0
3,MSG,58,1688465352.1455584,REQUEST,6,0
3,MSG,59,1688465352.1455636,REQUEST,9,0
3,CS_REQUESTED,60,1688465352.1455698,,,
6,MSG,61,1688465352.1708746,ACK,3,0
9,MSG,62,1688465352.1852388,ACK,3,0
2,MSG,63,1688465352.4313078,ACK,3,0
1,MSG,64,1688465352.4369097,ACK,3,0
3,MSG,65,1688465352.5462089,ACK,3,0
4,MSG,66,1688465353.6878695,REQUEST,1,0
4,MSG,67,1688465353.6878872,REQUEST,4,0
4,MSG,68,1688465353.687893,REQUEST,5,0
4,MSG,69,1688465353.6878982,REQUEST,6,0
4,MSG,70,1688465353.6879034,REQUEST,7,0
4,CS_REQUESTED,71,1688465353.6879082,,,
5,MSG,72,1688465353.8473175,ACK,4,0
7,MSG,73,1688465353.994391,ACK,4,0
4,MSG,74,1688465354.088489,ACK,4,0
3,CS_ACCESS,75,1688465354.952822,,,
3,MSG,76,1688465356.1577005,RELEASE,1,0
3,MSG,77,1688465356.1577282,RELEASE,2,0
3,MSG,78,1688465356.1577356,RELEASE,3,0
3,MSG,79,1688465356.1577437,RELEASE,6,0
3,MSG,80,1688465356.1577518,RELEASE,9,0
3,CS_LEAVE,81,1688465356.1577587,,,
6,MSG,82,1688465356.1759508,ACK,4,0
1,MSG,83,1688465356.4420028,ACK,4,0
4,CS_ACCESS,84,1688465357.2966619,,,
4,MSG,85,1688465358.5012264,RELEASE,1,0
