procID,event_type,logical_clock,real_clock,msg,msg_receiver,msg_ts
0,START,0,1688465788.1697583,,,
1,MSG,1,1688465865.9068801,REQUEST,2,2
1,MSG,2,1688465865.906899,REQUEST,3,2
1,MSG,3,1688465865.9069061,REQUEST,4,2
1,CS_REQUESTED,4,1688465865.9069114,,,
4,MSG,5,1688465866.016982,ACK,1,0
3,MSG,6,1688465866.2170408,ACK,1,0
2,MSG,7,1688465866.2709193,ACK,1,0
1,CS_ACCESS,8,1688465867.512563,,,
1,CS_LEAVE,9,1688465868.7173026,,,
3,MSG,10,1688465877.0304227,REQUEST,1,3
3,MSG,11,1688465877.0304391,REQUEST,2,3
3,MSG,12,1688465877.0304456,REQUEST,4,3
3,CS_REQUESTED,13,1688465877.0304506,,,
2,MSG,14,1688465877.0844984,ACK,3,0
1,MSG,15,1688465877.1278036,ACK,3,0
4,MSG,16,1688465877.2309716,ACK,3,0
3,CS_ACCESS,17,1688465878.6361496,,,
3,CS_LEAVE,18,1688465879.8406537,,,
3,MSG,19,1688465921.091961,REQUEST,1,4
3,MSG,20,1688465921.0919826,REQUEST,2,4
3,MSG,21,1688465921.0919883,REQUEST,4,4
3,CS_REQUESTED,22,1688465921.0919933,,,
2,MSG,23,1688465921.138817,ACK,3,0
1,MSG,24,1688465921.1827128,ACK,3,0
4,MSG,25,1688465921.2855341,ACK,3,0
3,CS_ACCESS,26,1688465922.6969495,,,
3,CS_LEAVE,27,1688465923.9014213,,,
3,PROC_STOPPED,28,1688465968.3563747,,,
2,PROC_STOPPED,29,1688465968.397456,,,
1,PROC_STOPPED,30,1688465968.4413116,,,
4,PROC_STOPPED,31,1688465968.5440295,,,
0,END,32,1688465968.544052,,,
