procID,event_type,logical_clock,real_clock,msg,msg_receiver,msg_ts
0,START,0,1688462112.9445183,,,
42,MSG,1,1688462112.947037,REQUEST,1,2
42,MSG,2,1688462112.9470558,REQUEST,2,2
42,MSG,3,1688462112.947067,REQUEST,3,2
42,MSG,4,1688462112.947077,REQUEST,4,2
42,MSG,5,1688462112.9470866,REQUEST,5,2
42,MSG,6,1688462112.9470963,REQUEST,6,2
42,MSG,7,1688462112.9471061,REQUEST,7,2
42,MSG,8,1688462112.9471164,REQUEST,8,2
42,MSG,9,1688462112.947126,REQUEST,9,2
42,MSG,10,1688462112.9471364,REQUEST,10,2
42,MSG,11,1688462112.9471467,REQUEST,11,2
42,MSG,12,1688462112.9471576,REQUEST,12,2
42,MSG,13,1688462112.9471676,REQUEST,13,2
42,MSG,14,1688462112.9471798,REQUEST,14,2
42,MSG,15,1688462112.9471884,REQUEST,15,2
42,MSG,16,1688462112.947198,REQUEST,16,2
42,MSG,17,1688462112.9472082,REQUEST,17,2
42,MSG,18,1688462112.9472187,REQUEST,18,2
42,MSG,19,1688462112.9472277,REQUEST,19,2
42,MSG,20,1688462112.9472363,REQUEST,20,2
42,MSG,21,1688462112.947245,REQUEST,21,2
42,MSG,22,1688462112.9472563,REQUEST,22,2
42,MSG,23,1688462112.9472666,REQUEST,23,2
42,MSG,24,1688462112.947275,REQUEST,24,2
42,MSG,25,1688462112.9472845,REQUEST,25,2
42,MSG,26,1688462112.9472933,REQUEST,26,2
42,MSG,27,1688462112.947302,REQUEST,27,2
42,MSG,28,1688462112.947311,REQUEST,28,2
42,MSG,29,1688462112.9473245,REQUEST,29,2
42,MSG,30,1688462112.9474082,REQUEST,30,2
42,MSG,31,1688462112.94742,REQUEST,31,2
42,MSG,32,1688462112.9474292,REQUEST,32,2
42,MSG,33,1688462112.947439,REQUEST,33,2
42,MSG,34,1688462112.9474483,REQUEST,34,2
42,MSG,35,1688462112.9474578,REQUEST,35,2
42,MSG,36,1688462112.9474676,REQUEST,36,2
42,MSG,37,1688462112.9474773,REQUEST,37,2
42,MSG,38,1688462112.9474878,REQUEST,38,2
42,MSG,39,1688462112.9474978,REQUEST,39,2
42,MSG,40,1688462112.9475074,REQUEST,40,2
42,MSG,41,1688462112.947518,REQUEST,41,2
42,MSG,42,1688462112.9475317,REQUEST,43,2
42,MSG,43,1688462112.947542,REQUEST,44,2
42,MSG,44,1688462112.947552,REQUEST,45,2
42,MSG,45,1688462112.947594,REQUEST,46,2
42,MSG,46,1688462112.947615,REQUEST,47,2
42,MSG,47,1688462112.9476242,REQUEST,48,2
42,MSG,48,1688462112.9483423,REQUEST,49,2
42,MSG,49,1688462112.948364,REQUEST,50,2
42,MSG,50,1688462112.9483764,REQUEST,51,2
42,MSG,51,1688462112.948387,REQUEST,52,2
42,MSG,52,1688462112.9483943,REQUEST,53,2
42,MSG,53,1688462112.9484024,REQUEST,54,2
42,MSG,54,1688462112.9484122,REQUEST,55,2
42,MSG,55,1688462112.9484248,REQUEST,56,2
42,MSG,56,1688462112.948433,REQUEST,57,2
42,MSG,57,1688462112.9484417,REQUEST,58,2
42,MSG,58,1688462112.9484499,REQUEST,59,2
42,MSG,59,1688462112.948457,REQUEST,60,2
42,MSG,60,1688462112.948465,REQUEST,61,2
42,MSG,61,1688462112.948474,REQUEST,62,2
42,MSG,62,1688462112.948484,REQUEST,63,2
42,MSG,63,1688462112.948492,REQUEST,64,2
42,MSG,64,1688462112.948499,REQUEST,65,2
42,MSG,65,1688462112.948506,REQUEST,66,2
42,MSG,66,1688462112.9485185,REQUEST,67,2
42,MSG,67,1688462112.9485261,REQUEST,68,2
42,MSG,68,1688462112.9485378,REQUEST,69,2
42,MSG,69,1688462112.9485476,REQUEST,70,2
42,MSG,70,1688462112.9485567,REQUEST,71,2
42,MSG,71,1688462112.9485648,REQUEST,72,2
42,MSG,72,1688462112.9485743,REQUEST,73,2
